Date,Adj Close_JUBLCPL.NS,Close_JUBLCPL.NS,High_JUBLCPL.NS,Low_JUBLCPL.NS,Open_JUBLCPL.NS,Volume_JUBLCPL.NS,Date
2025-02-10,1510.4000244140625,1510.4000244140625,1589.9000244140625,1510.4000244140625,1589.9000244140625,458,2025-02-10
2025-02-17,1320.5999755859375,1320.5999755859375,1434.9000244140625,1230.25,1434.9000244140625,37334,2025-02-17
2025-02-24,1246.75,1246.75,1350.0,1240.0,1310.0,28346,2025-02-24
2025-03-03,1356.949951171875,1356.949951171875,1385.0,1151.050048828125,1299.0,49024,2025-03-03
2025-03-10,1283.699951171875,1283.699951171875,1394.949951171875,1232.050048828125,1365.0,47662,2025-03-10
2025-03-17,1301.75,1301.75,1341.9000244140625,1260.050048828125,1290.1500244140625,40311,2025-03-17
2025-03-24,1255.25,1255.25,1392.5,1249.9000244140625,1310.0,48298,2025-03-24
2025-03-31,1139.550048828125,1139.550048828125,1274.8499755859375,1135.0,1255.9000244140625,37747,2025-03-31
2025-04-07,1089.699951171875,1089.699951171875,1128.699951171875,1020.0,1076.0,39672,2025-04-07
2025-04-14,1279.0,1279.0,1324.9000244140625,1089.699951171875,1089.699951171875,47824,2025-04-14
2025-04-21,1444.5999755859375,1444.5999755859375,1480.0,1261.0,1261.0,64175,2025-04-21
2025-04-28,1455.4000244140625,1455.4000244140625,1549.0,1390.5,1390.5,35786,2025-04-28
2025-05-05,1410.9000244140625,1410.9000244140625,1467.800048828125,1342.300048828125,1440.0,30799,2025-05-05
2025-05-12,1523.0,1523.0,1610.0,1426.199951171875,1500.0,26915,2025-05-12
2025-05-19,1519.9000244140625,1519.9000244140625,1565.0,1420.0,1522.800048828125,18996,2025-05-19
2025-05-26,1561.699951171875,1561.699951171875,1689.699951171875,1500.0,1500.0,32747,2025-05-26
2025-06-02,1620.0999755859375,1620.0999755859375,1645.0,1509.9000244140625,1561.699951171875,20186,2025-06-02
2025-06-09,1732.199951171875,1732.199951171875,1809.5999755859375,1620.0999755859375,1620.0999755859375,40649,2025-06-09
2025-06-16,1611.0999755859375,1611.0999755859375,1740.5999755859375,1564.0999755859375,1740.5999755859375,23744,2025-06-16
2025-06-23,1701.300048828125,1701.300048828125,1771.9000244140625,1587.199951171875,1611.0999755859375,23436,2025-06-23
2025-06-30,1749.5999755859375,1749.5999755859375,1800.199951171875,1683.0,1760.800048828125,16644,2025-06-30
2025-07-07,1692.199951171875,1692.199951171875,1789.800048828125,1680.0,1749.699951171875,12071,2025-07-07
2025-07-14,1768.5,1768.5,1796.0,1652.199951171875,1740.0,12033,2025-07-14
