Date,Adj Close_LUMAXTECH.NS,Close_LUMAXTECH.NS,High_LUMAXTECH.NS,Low_LUMAXTECH.NS,Open_LUMAXTECH.NS,Volume_LUMAXTECH.NS,Date
2021-10-11,139.1807098388672,144.60000610351562,154.5,144.0,151.6999969482422,575644,2021-10-11
2021-10-18,129.17047119140625,134.1999969482422,146.10000610351562,133.5,144.0,513944,2021-10-18
2021-10-25,124.93538665771484,129.8000030517578,135.75,128.64999389648438,133.0,297232,2021-10-25
2021-11-01,125.176025390625,130.0500030517578,133.5,127.5,127.5,181381,2021-11-01
2021-11-08,139.71009826660156,145.14999389648438,148.89999389648438,128.1999969482422,132.64999389648438,2126172,2021-11-08
2021-11-15,137.40005493164062,142.75,151.4499969482422,135.60000610351562,148.0,739794,2021-11-15
2021-11-22,142.4532928466797,148.0,158.60000610351562,136.25,139.5,1929342,2021-11-22
2021-11-29,146.83277893066406,152.5500030517578,155.39999389648438,139.60000610351562,146.0,808941,2021-11-29
2021-12-06,155.11044311523438,161.14999389648438,165.39999389648438,140.60000610351562,153.6999969482422,999748,2021-12-06
2021-12-13,147.65090942382812,153.39999389648438,166.5,152.3000030517578,162.3000030517578,766143,2021-12-13
2021-12-20,146.78463745117188,152.5,155.0,141.6999969482422,148.0500030517578,530802,2021-12-20
2021-12-27,150.44223022460938,156.3000030517578,163.0,152.60000610351562,155.0,355007,2021-12-27
2022-01-03,167.91200256347656,174.4499969482422,183.6999969482422,157.85000610351562,159.8000030517578,2777833,2022-01-03
2022-01-10,180.9541778564453,188.0,189.89999389648438,168.0500030517578,177.4499969482422,2344121,2022-01-10
2022-01-17,191.59005737304688,199.0500030517578,210.0,188.0,188.85000610351562,3468322,2022-01-17
2022-01-24,186.4405517578125,193.6999969482422,203.4499969482422,180.0,201.8000030517578,1303831,2022-01-24
2022-01-31,184.6117706298828,191.8000030517578,200.0,189.89999389648438,195.0,666327,2022-01-31
2022-02-07,178.11474609375,185.0500030517578,207.6999969482422,156.89999389648438,191.85000610351562,2284993,2022-02-07
