Date,Adj Close_BAJAJ-AUTO.NS,Close_BAJAJ-AUTO.NS,High_BAJAJ-AUTO.NS,Low_BAJAJ-AUTO.NS,Open_BAJAJ-AUTO.NS,Volume_BAJAJ-AUTO.NS,Date
2020-07-13,2619.07080078125,2995.0,3000.0,2898.89990234375,2915.0,2117537,2020-07-13
2020-07-20,2610.76318359375,2985.5,3057.0,2906.550048828125,3001.0,5252892,2020-07-20
2020-07-27,2627.771484375,3004.949951171875,3149.0,2934.050048828125,2990.0,3599888,2020-07-27
2020-08-03,2624.929931640625,3001.699951171875,3075.0,2910.0,2990.0,3999384,2020-08-03
2020-08-10,2612.555908203125,2987.550048828125,3060.0,2971.0,3001.699951171875,2633010,2020-08-10
2020-08-17,2669.921875,3053.14990234375,3159.0,2992.0,3014.0,4314884,2020-08-17
2020-08-24,2635.817138671875,3014.14990234375,3138.0,2991.699951171875,3062.89990234375,4631855,2020-08-24
2020-08-31,2521.3037109375,2883.199951171875,3029.0,2840.0,3025.0,7773898,2020-08-31
2020-09-07,2550.292724609375,2916.35009765625,2941.949951171875,2830.050048828125,2898.35009765625,3653243,2020-09-07
2020-09-14,2667.997802734375,3050.949951171875,3070.0,2895.0,2922.0,5308312,2020-09-14
2020-09-21,2586.1904296875,2957.39990234375,3047.60009765625,2912.800048828125,3045.949951171875,3715782,2020-09-21
2020-09-28,2610.675537109375,2985.39990234375,3113.949951171875,2870.0,2976.89990234375,7929205,2020-09-28
2020-10-05,2675.737060546875,3059.800048828125,3110.800048828125,2930.050048828125,3016.39990234375,5417945,2020-10-05
2020-10-12,2662.575927734375,3044.75,3130.0,2996.199951171875,3051.0,3536882,2020-10-12
2020-10-19,2695.369140625,3082.25,3095.5,2957.0,3070.0,5398708,2020-10-19
2020-10-26,2524.53955078125,2886.89990234375,3113.75,2853.050048828125,3097.949951171875,6588224,2020-10-26
2020-11-02,2603.6796875,2977.39990234375,3000.0,2822.449951171875,2918.0,3985352,2020-11-02
2020-11-09,2660.083740234375,3041.89990234375,3065.0,2967.0,2990.0,3260559,2020-11-09
2020-11-16,2674.643798828125,3058.550048828125,3085.0,2996.449951171875,3040.75,2665054,2020-11-16
2020-11-23,2775.20947265625,3173.550048828125,3249.0,3030.60009765625,3068.0,6384706,2020-11-23
2020-11-30,2895.756591796875,3311.39990234375,3371.199951171875,3161.0,3173.550048828125,4812383,2020-11-30
2020-12-07,2909.966796875,3327.64990234375,3384.75,3267.800048828125,3311.39990234375,2783241,2020-12-07
2020-12-14,2927.368896484375,3347.550048828125,3363.0,3252.0,3327.64990234375,3829217,2020-12-14
2020-12-21,2951.155029296875,3374.75,3423.550048828125,3172.0,3352.5,4007313,2020-12-21
2020-12-28,3044.287353515625,3481.25,3494.0,3374.0,3388.0,2691349,2020-12-28
2021-01-04,3086.174560546875,3529.14990234375,3544.60009765625,3428.25,3490.0,3008015,2021-01-04
2021-01-11,3130.904541015625,3580.300048828125,3658.64990234375,3521.0,3531.0,3595382,2021-01-11
2021-01-18,3576.190185546875,4089.5,4130.0,3505.0,3552.0,11808483,2021-01-18
2021-01-25,3502.996337890625,4005.800048828125,4236.64990234375,3990.0,4150.0,7099451,2021-01-25
2021-02-01,3700.14794921875,4231.25,4361.39990234375,3975.050048828125,4064.0,4487659,2021-02-01
2021-02-08,3616.89697265625,4136.0498046875,4258.5,4100.10009765625,4231.4501953125,3233723,2021-02-08
2021-02-15,3498.886474609375,4001.10009765625,4205.0,3977.199951171875,4152.2001953125,2363245,2021-02-15
2021-02-22,3321.89111328125,3798.699951171875,4040.0,3773.050048828125,4010.0,3330207,2021-02-22
2021-03-01,3369.244384765625,3852.85009765625,3985.0,3751.0,3798.699951171875,3407245,2021-03-01
2021-03-08,3276.15576171875,3746.39990234375,3879.0,3734.800048828125,3848.0,3009043,2021-03-08
2021-03-15,3191.89990234375,3650.050048828125,3775.0,3555.800048828125,3775.0,5074355,2021-03-15
2021-03-22,3148.175537109375,3600.050048828125,3709.949951171875,3497.0,3650.199951171875,3091319,2021-03-22
2021-03-29,3273.226318359375,3743.050048828125,3764.300048828125,3581.35009765625,3600.050048828125,2305104,2021-03-29
2021-04-05,3192.99267578125,3651.300048828125,3740.0,3576.050048828125,3700.050048828125,2471264,2021-04-05
2021-04-12,3178.4326171875,3634.64990234375,3657.5,3480.050048828125,3579.5,2277589,2021-04-12
2021-04-19,3211.53173828125,3672.5,3709.60009765625,3447.0,3525.199951171875,2915850,2021-04-19
2021-04-26,3352.541748046875,3833.75,3966.35009765625,3676.0,3682.199951171875,4927178,2021-04-26
2021-05-03,3381.3994140625,3866.75,3970.0,3784.10009765625,3815.0,3000754,2021-05-03
2021-05-10,3365.702392578125,3848.800048828125,3903.85009765625,3811.25,3900.0,1741865,2021-05-10
2021-05-17,3607.71484375,4125.5498046875,4132.0,3833.199951171875,3845.0,3431614,2021-05-17
2021-05-24,3672.383056640625,4199.5,4274.0,4107.39990234375,4125.0,2223836,2021-05-24
2021-05-31,3716.587890625,4250.0498046875,4347.0,4167.0,4190.0,2619089,2021-05-31
2021-06-07,3648.772216796875,4172.5,4284.89990234375,4162.0,4258.5498046875,1093805,2021-06-07
2021-06-14,3644.050048828125,4167.10009765625,4195.5,4030.0,4173.0,1614600,2021-06-14
2021-06-21,3669.453369140625,4196.14990234375,4259.64990234375,4106.4501953125,4153.0,1874088,2021-06-21
2021-06-28,3651.2646484375,4175.35009765625,4250.0,4117.0,4196.14990234375,1953508,2021-06-28
2021-07-05,3494.3388671875,3995.89990234375,4249.89990234375,3990.0,4191.60009765625,2565804,2021-07-05
2021-07-12,3557.32568359375,3931.949951171875,4030.0,3925.0,4018.0,2289260,2021-07-12
2021-07-19,3475.85546875,3841.89990234375,4013.64990234375,3781.60009765625,3922.0,3293430,2021-07-19
2021-07-26,3464.7275390625,3829.60009765625,3871.300048828125,3750.0,3852.0,1902229,2021-07-26
2021-08-02,3481.239013671875,3847.85009765625,3880.0,3797.25,3874.0,1961952,2021-08-02
2021-08-09,3461.244140625,3825.75,3898.89990234375,3695.199951171875,3858.14990234375,2045396,2021-08-09
2021-08-16,3394.068603515625,3751.5,3856.050048828125,3725.800048828125,3826.0,1409565,2021-08-16
2021-08-23,3346.9775390625,3699.449951171875,3787.89990234375,3647.14990234375,3787.89990234375,1689673,2021-08-23
2021-08-30,3399.496826171875,3757.5,3810.0,3705.0,3717.89990234375,3056126,2021-08-30
2021-09-06,3348.01806640625,3700.60009765625,3829.0,3695.0,3784.449951171875,2106224,2021-09-06
2021-09-13,3458.03271484375,3822.199951171875,3879.39990234375,3680.0,3699.0,3457505,2021-09-13
