Date,Adj Close_DCM.NS,Close_DCM.NS,High_DCM.NS,Low_DCM.NS,Open_DCM.NS,Volume_DCM.NS,Date
2020-07-13,17.5,17.5,19.899999618530273,17.0,19.899999618530273,44521,2020-07-13
2020-07-20,19.0,19.0,19.649999618530273,17.5,18.299999237060547,128323,2020-07-20
2020-07-27,18.899999618530273,18.899999618530273,19.299999237060547,17.5,19.200000762939453,106487,2020-07-27
2020-08-03,19.75,19.75,20.799999237060547,18.200000762939453,18.899999618530273,103584,2020-08-03
2020-08-10,19.549999237060547,19.549999237060547,22.5,19.5,20.100000381469727,64438,2020-08-10
2020-08-17,20.049999237060547,20.049999237060547,21.700000762939453,18.450000762939453,20.0,122225,2020-08-17
2020-08-24,23.799999237060547,23.799999237060547,24.899999618530273,19.0,20.5,582494,2020-08-24
2020-08-31,22.5,22.5,24.799999237060547,20.350000381469727,24.799999237060547,207450,2020-08-31
2020-09-07,20.799999237060547,20.799999237060547,23.0,20.149999618530273,22.549999237060547,80717,2020-09-07
2020-09-14,20.299999237060547,20.299999237060547,22.25,19.75,21.5,106817,2020-09-14
2020-09-21,19.350000381469727,19.350000381469727,21.0,18.5,21.0,66393,2020-09-21
2020-09-28,19.950000762939453,19.950000762939453,20.700000762939453,18.5,19.100000381469727,72867,2020-09-28
2020-10-05,18.899999618530273,18.899999618530273,20.950000762939453,18.600000381469727,19.5,72435,2020-10-05
2020-10-12,17.5,17.5,20.100000381469727,16.649999618530273,18.600000381469727,34755,2020-10-12
2020-10-19,17.450000762939453,17.450000762939453,19.0,16.649999618530273,17.5,46932,2020-10-19
2020-10-26,17.850000381469727,17.850000381469727,19.5,17.0,17.0,118874,2020-10-26
2020-11-02,17.950000762939453,17.950000762939453,18.700000762939453,17.100000381469727,18.600000381469727,60758,2020-11-02
2020-11-09,18.75,18.75,19.0,17.299999237060547,18.0,85879,2020-11-09
2020-11-16,18.799999237060547,18.799999237060547,19.5,18.149999618530273,18.5,65617,2020-11-16
2020-11-23,18.899999618530273,18.899999618530273,20.0,18.350000381469727,19.399999618530273,67345,2020-11-23
2020-11-30,22.5,22.5,23.0,18.649999618530273,18.899999618530273,200866,2020-11-30
2020-12-07,38.79999923706055,38.79999923706055,38.95000076293945,20.950000762939453,23.5,1954929,2020-12-07
