Date,Adj Close_KAMATHOTEL.NS,Close_KAMATHOTEL.NS,High_KAMATHOTEL.NS,Low_KAMATHOTEL.NS,Open_KAMATHOTEL.NS,Volume_KAMATHOTEL.NS,Date
2020-07-13,30.399999618530273,30.399999618530273,33.5,29.450000762939453,30.399999618530273,566957,2020-07-13
2020-07-20,28.850000381469727,28.850000381469727,30.950000762939453,28.200000762939453,30.600000381469727,538935,2020-07-20
2020-07-27,31.0,31.0,33.45000076293945,27.600000381469727,29.700000762939453,2192525,2020-07-27
2020-08-03,30.5,30.5,33.0,29.649999618530273,30.700000762939453,1168075,2020-08-03
2020-08-10,32.0,32.0,33.849998474121094,30.049999237060547,30.75,1398633,2020-08-10
2020-08-17,35.25,35.25,36.20000076293945,31.399999618530273,32.0,1295963,2020-08-17
2020-08-24,33.849998474121094,33.849998474121094,36.5,33.5,35.75,977890,2020-08-24
2020-08-31,32.04999923706055,32.04999923706055,34.45000076293945,31.0,34.150001525878906,598472,2020-08-31
2020-09-07,31.299999237060547,31.299999237060547,32.45000076293945,30.100000381469727,32.0,212495,2020-09-07
2020-09-14,30.600000381469727,30.600000381469727,32.349998474121094,30.399999618530273,31.399999618530273,256749,2020-09-14
2020-09-21,28.299999237060547,28.299999237060547,31.299999237060547,26.75,30.649999618530273,194681,2020-09-21
2020-09-28,32.45000076293945,32.45000076293945,33.25,27.649999618530273,28.149999618530273,730052,2020-09-28
2020-10-05,30.299999237060547,30.299999237060547,32.95000076293945,30.0,32.95000076293945,209306,2020-10-05
2020-10-12,29.850000381469727,29.850000381469727,31.100000381469727,29.0,30.950000762939453,126677,2020-10-12
2020-10-19,31.049999237060547,31.049999237060547,31.450000762939453,28.75,30.100000381469727,380770,2020-10-19
2020-10-26,30.299999237060547,30.299999237060547,32.400001525878906,29.5,31.5,269254,2020-10-26
2020-11-02,29.700000762939453,29.700000762939453,30.549999237060547,29.299999237060547,30.549999237060547,148609,2020-11-02
2020-11-09,31.0,31.0,33.599998474121094,29.649999618530273,30.0,1119141,2020-11-09
2020-11-16,32.099998474121094,32.099998474121094,33.400001525878906,31.100000381469727,31.25,434463,2020-11-16
2020-11-23,34.150001525878906,34.150001525878906,37.29999923706055,30.950000762939453,32.099998474121094,1599091,2020-11-23
2020-11-30,35.75,35.75,36.900001525878906,33.70000076293945,34.150001525878906,932989,2020-11-30
2020-12-07,35.54999923706055,35.54999923706055,38.70000076293945,34.70000076293945,35.900001525878906,934481,2020-12-07
2020-12-14,37.79999923706055,37.79999923706055,41.79999923706055,35.900001525878906,37.5,2473507,2020-12-14
2020-12-21,38.349998474121094,38.349998474121094,41.95000076293945,33.099998474121094,39.400001525878906,742602,2020-12-21
2020-12-28,38.900001525878906,38.900001525878906,40.45000076293945,36.5,39.0,771853,2020-12-28
2021-01-04,38.20000076293945,38.20000076293945,40.95000076293945,37.650001525878906,40.849998474121094,667330,2021-01-04
2021-01-11,36.599998474121094,36.599998474121094,39.0,36.5,38.5,400271,2021-01-11
2021-01-18,35.25,35.25,37.0,35.0,36.95000076293945,212128,2021-01-18
2021-01-25,34.900001525878906,34.900001525878906,35.75,33.04999923706055,35.599998474121094,134159,2021-01-25
2021-02-01,36.349998474121094,36.349998474121094,37.5,34.150001525878906,34.900001525878906,216963,2021-02-01
2021-02-08,35.29999923706055,35.29999923706055,36.79999923706055,34.349998474121094,36.29999923706055,184912,2021-02-08
2021-02-15,34.04999923706055,34.04999923706055,36.650001525878906,33.5,35.400001525878906,143698,2021-02-15
2021-02-22,34.150001525878906,34.150001525878906,35.25,33.0,34.25,165294,2021-02-22
2021-03-01,34.95000076293945,34.95000076293945,36.70000076293945,33.099998474121094,34.0,676682,2021-03-01
2021-03-08,35.25,35.25,38.5,34.150001525878906,35.400001525878906,656162,2021-03-08
2021-03-15,32.349998474121094,32.349998474121094,35.400001525878906,31.450000762939453,35.400001525878906,249161,2021-03-15
2021-03-22,30.200000762939453,30.200000762939453,33.95000076293945,29.850000381469727,32.099998474121094,216714,2021-03-22
2021-03-29,31.450000762939453,31.450000762939453,31.850000381469727,29.149999618530273,30.200000762939453,156704,2021-03-29
2021-04-05,30.25,30.25,31.200000762939453,29.399999618530273,30.25,122198,2021-04-05
2021-04-12,28.600000381469727,28.600000381469727,30.049999237060547,28.049999237060547,30.049999237060547,136905,2021-04-12
2021-04-19,29.700000762939453,29.700000762939453,30.75,27.5,28.75,148499,2021-04-19
2021-04-26,29.149999618530273,29.149999618530273,31.0,28.049999237060547,28.399999618530273,308198,2021-04-26
2021-05-03,30.450000762939453,30.450000762939453,31.350000381469727,28.100000381469727,29.149999618530273,202312,2021-05-03
2021-05-10,31.299999237060547,31.299999237060547,32.349998474121094,29.049999237060547,31.0,355467,2021-05-10
2021-05-17,38.45000076293945,38.45000076293945,40.95000076293945,30.899999618530273,31.299999237060547,1838152,2021-05-17
2021-05-24,42.54999923706055,42.54999923706055,47.79999923706055,38.70000076293945,38.70000076293945,3689501,2021-05-24
2021-05-31,51.900001525878906,51.900001525878906,52.29999923706055,42.099998474121094,42.29999923706055,2803372,2021-05-31
2021-06-07,50.45000076293945,50.45000076293945,57.099998474121094,49.79999923706055,53.0,686708,2021-06-07
2021-06-14,47.20000076293945,47.20000076293945,51.95000076293945,44.599998474121094,51.5,467390,2021-06-14
2021-06-21,46.45000076293945,46.45000076293945,49.45000076293945,44.849998474121094,45.0,162920,2021-06-21
2021-06-28,48.25,48.25,50.0,45.54999923706055,46.5,250561,2021-06-28
2021-07-05,50.150001525878906,50.150001525878906,51.25,47.04999923706055,48.25,330172,2021-07-05
2021-07-12,50.25,50.25,53.25,49.0,50.150001525878906,181832,2021-07-12
2021-07-19,49.599998474121094,49.599998474121094,51.400001525878906,47.150001525878906,50.0,239948,2021-07-19
2021-07-26,48.79999923706055,48.79999923706055,50.5,47.099998474121094,49.599998474121094,200602,2021-07-26
2021-08-02,46.95000076293945,46.95000076293945,50.70000076293945,46.25,49.29999923706055,469388,2021-08-02
2021-08-09,46.900001525878906,46.900001525878906,48.20000076293945,40.900001525878906,47.29999923706055,477960,2021-08-09
2021-08-16,43.650001525878906,43.650001525878906,47.900001525878906,41.150001525878906,47.849998474121094,130638,2021-08-16
2021-08-23,44.599998474121094,44.599998474121094,45.0,40.25,42.849998474121094,132823,2021-08-23
2021-08-30,45.349998474121094,45.349998474121094,46.75,43.150001525878906,46.0,142718,2021-08-30
2021-09-06,48.400001525878906,48.400001525878906,48.95000076293945,44.20000076293945,46.29999923706055,237184,2021-09-06
2021-09-13,47.54999923706055,47.54999923706055,51.75,46.5,48.95000076293945,574000,2021-09-13
2021-09-20,51.099998474121094,51.099998474121094,57.75,47.25,49.0,2211084,2021-09-20
2021-09-27,52.25,52.25,55.95000076293945,50.29999923706055,52.349998474121094,1044649,2021-09-27
2021-10-04,61.599998474121094,61.599998474121094,63.04999923706055,49.150001525878906,52.95000076293945,3808320,2021-10-04
2021-10-11,63.099998474121094,63.099998474121094,75.44999694824219,59.20000076293945,61.79999923706055,3237854,2021-10-11
2021-10-18,59.70000076293945,59.70000076293945,68.19999694824219,55.0,63.95000076293945,631814,2021-10-18
2021-10-25,57.349998474121094,57.349998474121094,61.900001525878906,56.0,59.04999923706055,371067,2021-10-25
2021-11-01,61.95000076293945,61.95000076293945,64.9000015258789,57.20000076293945,57.20000076293945,516835,2021-11-01
2021-11-08,60.54999923706055,60.54999923706055,64.5,60.0,63.849998474121094,333945,2021-11-08
2021-11-15,57.650001525878906,57.650001525878906,61.650001525878906,56.5,59.849998474121094,217721,2021-11-15
2021-11-22,53.45000076293945,53.45000076293945,58.900001525878906,52.75,56.75,291400,2021-11-22
2021-11-29,52.04999923706055,52.04999923706055,56.0,48.150001525878906,51.099998474121094,269506,2021-11-29
2021-12-06,54.400001525878906,54.400001525878906,55.900001525878906,49.5,52.0,185894,2021-12-06
2021-12-13,49.20000076293945,49.20000076293945,55.5,48.04999923706055,55.5,189948,2021-12-13
2021-12-20,48.20000076293945,48.20000076293945,51.79999923706055,45.0,49.0,184156,2021-12-20
2021-12-27,48.25,48.25,50.75,46.0,48.0,119798,2021-12-27
