Date,Adj Close_AARTECH.NS,Close_AARTECH.NS,High_AARTECH.NS,Low_AARTECH.NS,Open_AARTECH.NS,Volume_AARTECH.NS,Date
2023-07-10,36.70000457763672,36.93333435058594,46.633331298828125,36.93333435058594,43.666664123535156,5216337,2023-07-10
2023-07-17,37.743370056152344,37.983333587646484,37.983333587646484,31.683332443237305,35.666664123535156,757233,2023-07-17
2023-07-24,43.77170944213867,44.04999923706055,45.099998474121094,36.900001525878906,39.25,513288,2023-07-24
2023-07-31,40.459434509277344,40.71666717529297,45.06666564941406,40.71666717529297,44.06666564941406,302670,2023-07-31
2023-08-07,41.65184783935547,41.916664123535156,42.75,36.75,41.633331298828125,2561208,2023-08-07
2023-08-14,50.429378509521484,50.75,50.78333282470703,40.916664123535156,41.983333587646484,1633323,2023-08-14
2023-08-21,47.72987747192383,48.03333282470703,53.666664123535156,44.400001525878906,53.28333282470703,960717,2023-08-21
2023-08-28,54.05632400512695,54.400001525878906,55.33333206176758,46.016666412353516,49.33333206176758,368370,2023-08-28
2023-09-04,59.90248489379883,60.28333282470703,60.28333282470703,50.0,55.0,1499736,2023-09-04
2023-09-11,58.27947235107422,58.650001525878906,63.166664123535156,53.0,63.0,449286,2023-09-11
2023-09-18,56.2424201965332,56.599998474121094,59.33333206176758,54.18333435058594,59.28333282470703,738225,2023-09-18
2023-09-25,57.56980895996094,57.766666412353516,59.266666412353516,54.016666412353516,57.0,199428,2023-09-25
2023-10-02,56.90541076660156,57.099998474121094,58.03333282470703,53.53333282470703,57.766666412353516,115854,2023-10-02
2023-10-09,53.267852783203125,53.45000076293945,58.0,52.86666488647461,57.099998474121094,360444,2023-10-09
2023-10-16,50.46078109741211,50.633331298828125,55.983333587646484,48.666664123535156,54.633331298828125,647619,2023-10-16
2023-10-23,47.85303497314453,48.016666412353516,50.883331298828125,45.516666412353516,50.883331298828125,873027,2023-10-23
2023-10-30,47.65371322631836,47.81666564941406,51.650001525878906,45.633331298828125,48.016666412353516,280206,2023-10-30
2023-11-06,51.17500686645508,51.349998474121094,52.650001525878906,46.733333587646484,47.666664123535156,90810,2023-11-06
2023-11-13,50.16180419921875,50.33333206176758,54.93333435058594,50.099998474121094,53.33333206176758,73962,2023-11-13
2023-11-20,47.63710403442383,47.79999923706055,50.33333206176758,46.20000076293945,49.21666717529297,197841,2023-11-20
2023-11-27,46.441192626953125,46.599998474121094,49.0,45.5,47.79999923706055,56217,2023-11-27
2023-12-04,48.51742935180664,48.68333435058594,50.633331298828125,45.900001525878906,47.96666717529297,104058,2023-12-04
2023-12-11,47.271690368652344,47.43333435058594,49.400001525878906,46.666664123535156,49.0,80466,2023-12-11
2023-12-18,44.31513214111328,44.46666717529297,49.599998474121094,42.416664123535156,48.96666717529297,812976,2023-12-18
2023-12-25,44.74699020385742,44.900001525878906,49.599998474121094,43.83333206176758,44.46666717529297,267426,2023-12-25
2024-01-01,48.866233825683594,49.03333282470703,51.33333206176758,45.0,45.33333206176758,579153,2024-01-01
2024-01-08,48.500816345214844,48.666664123535156,50.650001525878906,47.11666488647461,48.400001525878906,512334,2024-01-08
2024-01-15,46.34153747558594,46.5,48.666664123535156,45.733333587646484,48.666664123535156,201453,2024-01-15
2024-01-22,45.760189056396484,45.916664123535156,48.650001525878906,44.766666412353516,46.5,142248,2024-01-22
2024-01-29,48.035743713378906,48.20000076293945,49.883331298828125,45.650001525878906,45.68333435058594,262461,2024-01-29
2024-02-05,48.650306701660156,48.81666564941406,52.666664123535156,47.650001525878906,50.599998474121094,835470,2024-02-05
2024-02-12,48.500816345214844,48.666664123535156,52.83333206176758,43.93333435058594,49.83333206176758,1271838,2024-02-12
2024-02-19,54.563419342041016,54.75,63.70000076293945,48.20000076293945,48.20000076293945,5286960,2024-02-19
2024-02-26,52.105159759521484,52.28333282470703,54.733333587646484,49.666664123535156,54.04999923706055,1065129,2024-02-26
