Date,Adj Close_GUJALKALI.NS,Close_GUJALKALI.NS,High_GUJALKALI.NS,Low_GUJALKALI.NS,Open_GUJALKALI.NS,Volume_GUJALKALI.NS,Date
2020-07-13,305.5793762207031,331.8999938964844,340.0,326.0,335.29998779296875,134927,2020-07-13
2020-07-20,301.0679931640625,327.0,337.0,326.04998779296875,330.5,215057,2020-07-20
2020-07-27,288.7306823730469,313.6000061035156,328.95001220703125,312.5,327.79998779296875,220178,2020-07-27
2020-08-03,316.7198791503906,344.0,363.70001220703125,312.04998779296875,314.1000061035156,1636651,2020-08-03
2020-08-10,294.3929443359375,319.75,349.79998779296875,318.0,346.8999938964844,449406,2020-08-10
2020-08-17,307.92718505859375,334.45001220703125,353.3999938964844,318.0,321.8500061035156,2051601,2020-08-17
2020-08-24,348.1156311035156,378.1000061035156,387.25,335.1000061035156,340.0,4942499,2020-08-24
2020-08-31,319.5279541015625,347.04998779296875,382.6000061035156,334.04998779296875,381.8500061035156,1412435,2020-08-31
2020-09-07,310.2749328613281,337.0,354.0,331.0,347.0,425951,2020-09-07
2020-09-14,322.520263671875,350.29998779296875,359.5,338.5,342.45001220703125,701893,2020-09-14
2020-09-21,308.86529541015625,327.8500061035156,355.0,322.75,351.3999938964844,458937,2020-09-21
2020-09-28,314.3294372558594,333.6499938964844,345.0,328.0,329.5,339167,2020-09-28
2020-10-05,306.9339904785156,325.79998779296875,341.79998779296875,323.04998779296875,334.95001220703125,344007,2020-10-05
2020-10-12,295.9114990234375,314.1000061035156,328.8999938964844,311.04998779296875,327.8999938964844,255568,2020-10-12
2020-10-19,301.14013671875,319.6499938964844,323.75,310.0,316.04998779296875,280200,2020-10-19
2020-10-26,305.3324279785156,324.1000061035156,328.95001220703125,310.29998779296875,320.0,301970,2020-10-26
2020-11-02,299.0204162597656,317.3999938964844,325.0,313.54998779296875,325.0,165553,2020-11-02
2020-11-09,296.0057373046875,314.20001220703125,327.29998779296875,308.3999938964844,319.0,415557,2020-11-09
2020-11-16,301.7995910644531,320.3500061035156,329.3500061035156,311.75,311.75,392809,2020-11-16
2020-11-23,303.8721618652344,322.54998779296875,326.04998779296875,312.95001220703125,322.0,688221,2020-11-23
2020-11-30,318.4275207519531,338.0,347.25,322.54998779296875,322.54998779296875,989951,2020-11-30
2020-12-07,331.287109375,351.6499938964844,363.1000061035156,330.8999938964844,338.6000061035156,1064105,2020-12-07
2020-12-14,347.1142578125,368.45001220703125,374.79998779296875,341.6499938964844,353.45001220703125,1991967,2020-12-14
2020-12-21,332.65313720703125,353.1000061035156,379.0,335.25,370.0,1216054,2020-12-21
2020-12-28,329.5442199707031,349.79998779296875,363.0,347.6499938964844,355.8999938964844,655189,2020-12-28
2021-01-04,328.03692626953125,348.20001220703125,356.0,343.0,352.6000061035156,710227,2021-01-04
2021-01-11,326.9063720703125,347.0,355.75,343.0,350.0,1137907,2021-01-11
2021-01-18,313.5757751464844,332.8500061035156,350.6000061035156,331.8999938964844,347.0,484786,2021-01-18
2021-01-25,304.9555969238281,323.70001220703125,335.8999938964844,317.0,329.29998779296875,436059,2021-01-25
2021-02-01,314.04681396484375,333.3500061035156,341.75,326.0,327.6499938964844,376721,2021-02-01
2021-02-08,293.0852355957031,311.1000061035156,344.0,310.3500061035156,335.04998779296875,1140845,2021-02-08
2021-02-15,293.4620666503906,311.5,319.8999938964844,307.3999938964844,314.95001220703125,625058,2021-02-15
2021-02-22,295.0636291503906,313.20001220703125,324.0,304.6499938964844,313.8500061035156,819347,2021-02-22
2021-03-01,334.9612731933594,355.54998779296875,375.6000061035156,314.04998779296875,315.0,3036421,2021-03-01
2021-03-08,327.1418762207031,347.25,367.0,343.5,358.5,639449,2021-03-08
2021-03-15,327.9897766113281,348.1499938964844,366.0,328.45001220703125,348.79998779296875,991219,2021-03-15
2021-03-22,316.35491943359375,335.79998779296875,361.0,334.29998779296875,347.04998779296875,458860,2021-03-22
2021-03-29,332.79443359375,353.25,358.0,335.0,335.79998779296875,270439,2021-03-29
2021-04-05,388.9903259277344,412.8999938964844,415.70001220703125,338.6000061035156,353.25,7012129,2021-04-05
2021-04-12,387.15325927734375,410.95001220703125,469.3999938964844,388.0,414.0,13130068,2021-04-12
2021-04-19,386.25823974609375,410.0,432.0,384.3500061035156,398.0,2882835,2021-04-19
2021-04-26,388.28375244140625,412.1499938964844,437.3999938964844,410.0,415.8500061035156,2764188,2021-04-26
2021-05-03,407.6437683105469,432.70001220703125,449.0,405.0,405.0,3285963,2021-05-03
2021-05-10,394.59576416015625,418.8500061035156,457.0,415.8500061035156,435.6000061035156,2305722,2021-05-10
2021-05-17,390.0266418457031,414.0,447.79998779296875,411.95001220703125,420.20001220703125,3184056,2021-05-17
2021-05-24,384.3740234375,408.0,424.0,407.0,416.3999938964844,1321738,2021-05-24
2021-05-31,380.74700927734375,404.1499938964844,419.70001220703125,396.0,408.5,2244722,2021-05-31
2021-06-07,402.744873046875,427.5,438.0,404.04998779296875,404.75,3345191,2021-06-07
2021-06-14,381.2651672363281,404.70001220703125,428.95001220703125,397.0,428.0,1427920,2021-06-14
2021-06-21,385.12774658203125,408.79998779296875,419.0,397.0,398.20001220703125,1405979,2021-06-21
2021-06-28,393.7950134277344,418.0,424.79998779296875,401.0,409.95001220703125,2407862,2021-06-28
2021-07-05,414.1913146972656,439.6499938964844,457.45001220703125,418.75,420.3500061035156,7812493,2021-07-05
2021-07-12,432.37371826171875,458.95001220703125,486.70001220703125,440.5,443.0,8504252,2021-07-12
2021-07-19,439.7691345214844,466.79998779296875,480.0,452.04998779296875,454.8999938964844,2100803,2021-07-19
2021-07-26,450.8858642578125,478.6000061035156,493.70001220703125,457.8999938964844,465.8999938964844,4682997,2021-07-26
2021-08-02,482.2575378417969,511.8999938964844,525.0,477.5,481.0,5228866,2021-08-02
2021-08-09,455.3608093261719,483.3500061035156,518.7000122070312,453.0,514.2999877929688,4378135,2021-08-09
2021-08-16,425.16668701171875,451.29998779296875,480.0,448.0,480.0,1288730,2021-08-16
2021-08-23,422.90570068359375,448.8999938964844,457.04998779296875,422.6499938964844,451.29998779296875,1015771,2021-08-23
2021-08-30,427.7103576660156,454.0,468.75,449.45001220703125,449.5,999895,2021-08-30
2021-09-06,437.5081481933594,464.3999938964844,475.1499938964844,448.5,455.95001220703125,746016,2021-09-06
2021-09-13,463.7453918457031,492.25,516.0,465.1499938964844,467.1000061035156,4140284,2021-09-13
2021-09-20,578.912841796875,604.5999755859375,617.4000244140625,467.5,486.1000061035156,15273726,2021-09-20
2021-09-27,705.831298828125,737.1500244140625,749.0,604.0,638.0,15763548,2021-09-27
2021-10-04,772.761474609375,807.0499877929688,825.0,720.5999755859375,739.1500244140625,6657553,2021-10-04
2021-10-11,788.5604248046875,823.5499877929688,841.6500244140625,770.0,811.9000244140625,3285747,2021-10-11
2021-10-18,669.49365234375,699.2000122070312,846.0,685.0,823.9000244140625,2958661,2021-10-18
2021-10-25,718.8534545898438,750.75,815.0,650.0,700.0,3985379,2021-10-25
2021-11-01,766.106689453125,800.0999755859375,820.0,742.5999755859375,758.0,1507571,2021-11-01
2021-11-08,651.9232177734375,680.8499755859375,787.9500122070312,680.0,777.0,1620175,2021-11-08
2021-11-15,598.6376342773438,625.2000122070312,699.0,618.0,683.9500122070312,1051884,2021-11-15
2021-11-22,579.3436889648438,605.0499877929688,649.7000122070312,587.0999755859375,625.2000122070312,1300466,2021-11-22
2021-11-29,623.2457275390625,650.9000244140625,665.1500244140625,569.0,601.0999755859375,2600552,2021-11-29
2021-12-06,610.7022705078125,637.7999877929688,659.0,620.0,652.0999755859375,1256187,2021-12-06
2021-12-13,591.8391723632812,618.0999755859375,682.9000244140625,615.0499877929688,641.0,1474383,2021-12-13
2021-12-20,596.0044555664062,622.4500122070312,651.7999877929688,595.0,617.5,1044113,2021-12-20
2021-12-27,622.5276489257812,650.1500244140625,669.9000244140625,611.5,622.5,824633,2021-12-27
2022-01-03,620.2774047851562,647.7999877929688,682.0,641.0999755859375,647.0499877929688,916826,2022-01-03
2022-01-10,685.1489868164062,715.5499877929688,739.0,648.6500244140625,652.7999877929688,3409311,2022-01-10
2022-01-17,684.574462890625,714.9500122070312,757.9000244140625,671.4500122070312,717.6500244140625,3052750,2022-01-17
2022-01-24,664.4666748046875,693.9500122070312,725.3499755859375,652.0,716.7000122070312,1087527,2022-01-24
2022-01-31,712.3902587890625,744.0,759.9000244140625,684.9500122070312,701.0,1938989,2022-01-31
2022-02-07,716.2681274414062,748.0499877929688,808.0,732.2000122070312,740.5999755859375,5873269,2022-02-07
2022-02-14,669.924560546875,699.6500244140625,735.7999877929688,676.0,725.0,1542143,2022-02-14
2022-02-21,608.021240234375,635.0,705.5,598.2999877929688,685.5,1365734,2022-02-21
2022-02-28,614.6281127929688,641.9000244140625,673.4500122070312,617.5999755859375,622.0,802565,2022-02-28
2022-03-07,679.9304809570312,710.0999755859375,714.7000122070312,613.5999755859375,630.0,1455332,2022-03-07
2022-03-14,708.7516479492188,740.2000122070312,764.7999877929688,704.0999755859375,716.2999877929688,1888448,2022-03-14
2022-03-21,775.1073608398438,809.5,827.0,730.75,740.25,4778281,2022-03-21
2022-03-28,906.2868041992188,946.5,962.0,813.0,819.0,14599016,2022-03-28
