Date,Adj Close_AVANTEL.NS,Close_AVANTEL.NS,High_AVANTEL.NS,Low_AVANTEL.NS,Open_AVANTEL.NS,Volume_AVANTEL.NS,Date
2024-07-29,197.7610321044922,198.0,211.39999389648438,193.0,210.89999389648438,1497087,2024-07-29
2024-08-05,186.3748016357422,186.60000610351562,195.0,180.10000610351562,182.00999450683594,3576836,2024-08-05
2024-08-12,178.88385009765625,179.10000610351562,196.60000610351562,176.55999755859375,183.50999450683594,3249407,2024-08-12
2024-08-19,187.0839385986328,187.30999755859375,194.89999389648438,179.10000610351562,179.10000610351562,3965338,2024-08-19
2024-08-26,177.4355926513672,177.64999389648438,188.77999877929688,175.0,188.77999877929688,2328021,2024-08-26
2024-09-02,172.18194580078125,172.38999938964844,178.99000549316406,170.30999755859375,178.6999969482422,2600780,2024-09-02
2024-09-09,168.34658813476562,168.5500030517578,175.82000732421875,166.0,170.83999633789062,2467296,2024-09-09
2024-09-16,172.10203552246094,172.30999755859375,184.0,166.94000244140625,168.99000549316406,4346669,2024-09-16
2024-09-23,171.3529510498047,171.55999755859375,178.38999938964844,169.00999450683594,173.9499969482422,2482207,2024-09-23
2024-09-30,178.134765625,178.35000610351562,193.0,174.2100067138672,177.22999572753906,5370729,2024-09-30
2024-10-07,177.46556091308594,177.67999267578125,201.0,175.25,200.0,14431390,2024-10-07
2024-10-14,175.37808227539062,175.58999633789062,181.4499969482422,171.60000610351562,178.67999267578125,3876189,2024-10-14
2024-10-21,167.54754638671875,167.75,182.5,164.0,178.0,5430385,2024-10-21
2024-10-28,174.42922973632812,174.63999938964844,175.0,165.00999450683594,168.42999267578125,2084939,2024-10-28
2024-11-04,168.84597778320312,169.0500030517578,174.99000549316406,167.75,174.99000549316406,2149894,2024-11-04
2024-11-11,144.76507568359375,144.94000244140625,169.0,143.0,169.0,5164047,2024-11-11
2024-11-18,146.57289123535156,146.75,152.8000030517578,139.58999633789062,146.5,2536926,2024-11-18
2024-11-25,156.36106872558594,156.5500030517578,159.8699951171875,149.5399932861328,151.5500030517578,3579353,2024-11-25
2024-12-02,171.23309326171875,171.44000244140625,179.0,152.60000610351562,155.49000549316406,6704278,2024-12-02
2024-12-09,164.96067810058594,165.16000366210938,173.80999755859375,161.10000610351562,172.38999938964844,3224666,2024-12-09
2024-12-16,160.04661560058594,160.24000549316406,175.89999389648438,159.4499969482422,165.8699951171875,3554000,2024-12-16
2024-12-23,156.910400390625,157.10000610351562,164.97999572753906,153.2100067138672,161.6999969482422,1458494,2024-12-23
2024-12-30,156.910400390625,157.10000610351562,161.60000610351562,150.14999389648438,157.86000061035156,2145080,2024-12-30
2025-01-06,140.65005493164062,140.82000732421875,158.49000549316406,140.10000610351562,157.69000244140625,3108014,2025-01-06
2025-01-13,139.63128662109375,139.8000030517578,142.38999938964844,130.0,138.0399932861328,3762577,2025-01-13
2025-01-20,136.09555053710938,136.25999450683594,148.75,133.86000061035156,142.0,6692814,2025-01-20
