Date,Adj Close_AVANTEL.NS,Close_AVANTEL.NS,High_AVANTEL.NS,Low_AVANTEL.NS,Open_AVANTEL.NS,Volume_AVANTEL.NS,Date
2025-01-27,132.4199981689453,132.5800018310547,140.91000366210938,118.0,135.0,4171819,2025-01-27
2025-02-03,130.12277221679688,130.27999877929688,133.99000549316406,126.61000061035156,131.0,1506256,2025-02-03
2025-02-10,112.92354583740234,113.05999755859375,130.4499969482422,112.19999694824219,129.5,2994151,2025-02-10
2025-02-17,121.21353149414062,121.36000061035156,127.66000366210938,100.0999984741211,111.76000213623047,11981097,2025-02-17
2025-02-24,110.6662826538086,110.80000305175781,122.4000015258789,110.12000274658203,120.01000213623047,2595888,2025-02-24
2025-03-03,118.9462661743164,119.08999633789062,122.41000366210938,103.80999755859375,110.80000305175781,4425712,2025-03-03
2025-03-10,109.31790161132812,109.44999694824219,123.0,109.0999984741211,123.0,2370829,2025-03-10
2025-03-17,120.9039077758789,121.05000305175781,123.45999908447266,106.20999908447266,110.38999938964844,4364397,2025-03-17
2025-03-24,113.1233139038086,113.26000213623047,125.5999984741211,109.69999694824219,123.44999694824219,6443812,2025-03-24
2025-03-31,112.32427215576172,112.45999908447266,118.9000015258789,111.19999694824219,113.0,3131108,2025-03-31
2025-04-07,115.57035064697266,115.70999908447266,116.75,102.19999694824219,103.0,3949578,2025-04-07
2025-04-14,126.98655700683594,127.13999938964844,127.69999694824219,116.51000213623047,117.98999786376953,4191586,2025-04-14
2025-04-21,129.663330078125,129.82000732421875,136.5,125.12000274658203,127.88999938964844,4957219,2025-04-21
2025-04-28,114.92113494873047,115.05999755859375,121.76000213623047,111.3499984741211,117.01000213623047,7828484,2025-04-28
2025-05-05,105.84210968017578,105.97000122070312,126.70999908447266,102.76000213623047,116.54000091552734,11328969,2025-05-05
2025-05-12,122.0525131225586,122.19999694824219,123.0,108.6500015258789,113.0,8972151,2025-05-12
2025-05-19,127.93540954589844,128.08999633789062,139.60000610351562,125.76000213623047,126.0,17867964,2025-05-19
2025-05-26,140.41033935546875,140.5800018310547,152.6999969482422,127.29000091552734,128.9499969482422,26078343,2025-05-26
2025-06-02,171.16317749023438,171.3699951171875,189.4499969482422,139.75,140.5800018310547,49760175,2025-06-02
2025-06-09,158.90798950195312,159.10000610351562,174.13999938964844,154.36000061035156,172.8000030517578,21843909,2025-06-09
2025-06-16,154.92999267578125,154.92999267578125,161.19000244140625,150.39999389648438,159.5,8895529,2025-06-16
2025-06-23,156.4499969482422,156.4499969482422,168.88999938964844,156.0,156.58999633789062,12168384,2025-06-23
2025-06-30,159.44000244140625,159.44000244140625,166.13999938964844,156.5,157.0,8506545,2025-06-30
2025-07-07,154.8699951171875,154.8699951171875,164.8000030517578,153.5,159.39999389648438,7676921,2025-07-07
2025-07-14,155.50999450683594,155.50999450683594,157.69000244140625,151.9499969482422,155.0800018310547,1622046,2025-07-14
