Date,Adj Close_WCIL.NS,Close_WCIL.NS,High_WCIL.NS,Low_WCIL.NS,Open_WCIL.NS,Volume_WCIL.NS,Date
2024-09-23,160.58999633789062,160.58999633789062,177.0,158.4499969482422,171.0,24860426,2024-09-23
2024-09-30,148.02999877929688,148.02999877929688,160.52999877929688,145.8699951171875,160.0,3453543,2024-09-30
2024-10-07,154.3800048828125,154.3800048828125,157.6999969482422,140.88999938964844,151.88999938964844,2890591,2024-10-07
2024-10-14,148.69000244140625,148.69000244140625,155.99000549316406,145.0,155.0,1737009,2024-10-14
2024-10-21,127.16999816894531,127.16999816894531,149.69000244140625,125.0,148.5,1379096,2024-10-21
2024-10-28,132.3000030517578,132.3000030517578,132.64999389648438,123.5,127.93000030517578,1394890,2024-10-28
2024-11-04,132.17999267578125,132.17999267578125,139.8000030517578,127.55000305175781,132.89999389648438,1871527,2024-11-04
2024-11-11,119.0999984741211,119.0999984741211,133.7100067138672,118.23999786376953,132.2899932861328,1059571,2024-11-11
2024-11-18,118.62000274658203,118.62000274658203,122.8499984741211,116.19999694824219,120.0,735452,2024-11-18
2024-11-25,127.36000061035156,127.36000061035156,128.60000610351562,116.80000305175781,122.0,2137769,2024-11-25
2024-12-02,134.3000030517578,134.3000030517578,139.0,125.5199966430664,127.54000091552734,1545176,2024-12-02
2024-12-09,128.44000244140625,128.44000244140625,135.9199981689453,126.61000061035156,134.85000610351562,838675,2024-12-09
2024-12-16,112.41000366210938,112.41000366210938,130.0,112.0,128.0,2454920,2024-12-16
2024-12-23,120.0,120.0,122.5,109.97000122070312,114.05000305175781,2819729,2024-12-23
2024-12-30,121.44999694824219,121.44999694824219,135.0,112.13999938964844,120.88999938964844,3517439,2024-12-30
2025-01-06,109.55000305175781,109.55000305175781,124.25,107.9000015258789,123.0,1838745,2025-01-06
2025-01-13,109.66999816894531,109.66999816894531,112.0,105.05000305175781,108.11000061035156,1294824,2025-01-13
2025-01-20,106.38999938964844,106.38999938964844,113.58999633789062,105.61000061035156,110.4800033569336,711200,2025-01-20
2025-01-27,107.18000030517578,107.18000030517578,112.83999633789062,99.70999908447266,105.51000213623047,2545461,2025-01-27
2025-02-03,106.62000274658203,106.62000274658203,109.79000091552734,102.5,106.98999786376953,809195,2025-02-03
2025-02-10,95.0,95.0,113.0,92.88999938964844,108.5999984741211,1451654,2025-02-10
2025-02-17,93.73999786376953,93.73999786376953,95.76000213623047,88.91000366210938,95.0,984789,2025-02-17
2025-02-24,86.08999633789062,86.08999633789062,93.48999786376953,85.41000366210938,92.5,566765,2025-02-24
2025-03-03,85.9000015258789,85.9000015258789,88.5999984741211,83.58000183105469,86.0,1154527,2025-03-03
2025-03-10,80.30000305175781,80.30000305175781,88.29000091552734,80.0,88.29000091552734,800100,2025-03-10
2025-03-17,82.47000122070312,82.47000122070312,84.4800033569336,79.0999984741211,80.0,1556316,2025-03-17
2025-03-24,76.58000183105469,76.58000183105469,86.08999633789062,75.0999984741211,82.48999786376953,2250956,2025-03-24
2025-03-31,74.58000183105469,74.58000183105469,79.5,74.04000091552734,76.58000183105469,2225855,2025-03-31
2025-04-07,72.95999908447266,72.95999908447266,73.69000244140625,65.0999984741211,67.0,1091930,2025-04-07
2025-04-14,77.61000061035156,77.61000061035156,78.93000030517578,72.95999908447266,72.95999908447266,549800,2025-04-14
2025-04-21,78.77999877929688,78.77999877929688,83.43000030517578,77.0999984741211,78.47000122070312,1305973,2025-04-21
2025-04-28,76.55000305175781,76.55000305175781,79.80999755859375,75.5999984741211,79.0,444388,2025-04-28
2025-05-05,75.4000015258789,75.4000015258789,78.4800033569336,72.25,76.0999984741211,650772,2025-05-05
2025-05-12,84.11000061035156,84.11000061035156,85.5,76.80000305175781,77.25,1557888,2025-05-12
2025-05-19,93.5199966430664,93.5199966430664,101.69999694824219,81.22000122070312,81.5,6316384,2025-05-19
2025-05-26,103.51000213623047,103.51000213623047,106.0,92.3499984741211,93.80000305175781,5129979,2025-05-26
2025-06-02,108.62999725341797,108.62999725341797,115.5,103.16000366210938,103.51000213623047,8362900,2025-06-02
2025-06-09,105.41999816894531,105.41999816894531,113.9000015258789,102.87000274658203,110.0,2239446,2025-06-09
2025-06-16,108.18000030517578,108.18000030517578,113.5,104.0999984741211,105.0,2271600,2025-06-16
2025-06-23,121.45999908447266,121.45999908447266,124.0,106.55000305175781,106.55000305175781,16224244,2025-06-23
2025-06-30,111.7300033569336,111.7300033569336,123.69000244140625,110.97000122070312,120.94999694824219,5150310,2025-06-30
2025-07-07,118.81999969482422,118.81999969482422,120.5,110.25,112.05000305175781,3774169,2025-07-07
2025-07-14,116.29000091552734,116.29000091552734,118.9000015258789,115.4000015258789,118.83999633789062,558217,2025-07-14
