Date,Adj Close_WSTCSTPAPR.NS,Close_WSTCSTPAPR.NS,High_WSTCSTPAPR.NS,Low_WSTCSTPAPR.NS,Open_WSTCSTPAPR.NS,Volume_WSTCSTPAPR.NS,Date
2020-07-13,162.63601684570312,171.10000610351562,182.9499969482422,167.0,180.0500030517578,274819,2020-07-13
2020-07-20,168.48178100585938,177.25,185.0,170.5,172.0,444395,2020-07-20
2020-07-27,162.73106384277344,171.1999969482422,178.5,170.0,177.9499969482422,308104,2020-07-27
2020-08-03,162.06570434570312,170.5,175.0,168.1999969482422,170.60000610351562,243090,2020-08-03
2020-08-10,174.8978729248047,184.0,204.60000610351562,169.5500030517578,172.3000030517578,1825089,2020-08-10
2020-08-17,180.60107421875,190.0,196.60000610351562,184.64999389648438,185.64999389648438,660191,2020-08-17
2020-08-24,193.7659454345703,203.85000610351562,207.0,188.10000610351562,192.0,1998010,2020-08-24
2020-08-31,177.55935668945312,186.8000030517578,205.9499969482422,180.10000610351562,205.60000610351562,729872,2020-08-31
2020-09-07,164.34695434570312,172.89999389648438,186.89999389648438,167.5,185.5,405898,2020-09-07
2020-09-14,172.1888427734375,181.14999389648438,184.89999389648438,171.0500030517578,172.0,741507,2020-09-14
2020-09-21,163.1112823486328,171.60000610351562,184.0,165.3000030517578,180.5,350639,2020-09-21
2020-09-28,159.92698669433594,168.25,176.0,167.5,174.8000030517578,332545,2020-09-28
2020-10-05,160.78245544433594,169.14999389648438,181.89999389648438,168.0,168.0500030517578,766203,2020-10-05
2020-10-12,152.79800415039062,160.75,170.1999969482422,158.0,169.0,267672,2020-10-12
2020-10-19,159.26162719726562,167.5500030517578,168.64999389648438,159.0,160.75,228018,2020-10-19
2020-10-26,149.8988800048828,157.6999969482422,168.89999389648438,155.8000030517578,166.39999389648438,170781,2020-10-26
2020-11-02,152.94058227539062,160.89999389648438,163.0,154.5,157.0,184354,2020-11-02
2020-11-09,153.03564453125,161.0,167.89999389648438,157.0500030517578,166.8000030517578,496805,2020-11-09
2020-11-16,166.34307861328125,175.0,178.3000030517578,158.35000610351562,158.35000610351562,594361,2020-11-16
2020-11-23,152.5603790283203,160.5,177.0,159.5500030517578,175.85000610351562,895960,2020-11-23
2020-11-30,162.6835174560547,171.14999389648438,176.39999389648438,160.5,160.5,1114302,2020-11-30
2020-12-07,165.63018798828125,174.25,184.14999389648438,171.0,171.0,1261235,2020-12-07
2020-12-14,172.56907653808594,181.5500030517578,184.0,170.0,175.5,1535294,2020-12-14
2020-12-21,161.5428924560547,169.9499969482422,189.89999389648438,164.85000610351562,185.0,1470473,2020-12-21
2020-12-28,177.3217315673828,186.5500030517578,188.0,170.5,171.10000610351562,1097674,2020-12-28
