Date,Adj Close_KALAMANDIR.NS,Close_KALAMANDIR.NS,High_KALAMANDIR.NS,Low_KALAMANDIR.NS,Open_KALAMANDIR.NS,Volume_KALAMANDIR.NS,Date
2023-09-25,251.64566040039062,253.0500030517578,258.79998779296875,230.9499969482422,231.0,41196936,2023-09-25
2023-10-02,241.99949645996094,243.35000610351562,257.0,227.5,253.0500030517578,6637360,2023-10-02
2023-10-09,242.5464324951172,243.89999389648438,255.4499969482422,232.0,239.0500030517578,11228839,2023-10-09
2023-10-16,260.1482238769531,261.6000061035156,272.54998779296875,239.10000610351562,239.10000610351562,11145340,2023-10-16
2023-10-23,240.6072540283203,241.9499969482422,264.79998779296875,221.85000610351562,262.0,4875374,2023-10-23
2023-10-30,240.01058959960938,241.35000610351562,248.60000610351562,235.25,242.0,2169751,2023-10-30
2023-11-06,246.3750762939453,247.75,262.70001220703125,242.5,242.89999389648438,5712326,2023-11-06
2023-11-13,278.6449890136719,280.20001220703125,284.29998779296875,248.89999389648438,252.60000610351562,5249349,2023-11-13
2023-11-20,297.092041015625,298.75,303.0,279.5,282.29998779296875,5219326,2023-11-20
2023-11-27,296.1970520019531,297.8500061035156,312.0,288.0,298.75,3237865,2023-11-27
2023-12-04,293.51202392578125,295.1499938964844,309.70001220703125,284.0,306.0,2499954,2023-12-04
2023-12-11,277.84942626953125,279.3999938964844,297.0,277.1499938964844,296.95001220703125,1661807,2023-12-11
2023-12-18,275.9599609375,277.5,281.45001220703125,255.5,280.0,2048251,2023-12-18
2023-12-25,273.4738464355469,275.0,288.20001220703125,264.3999938964844,277.5,5020565,2023-12-25
2024-01-01,271.03741455078125,272.54998779296875,294.3999938964844,269.8999938964844,275.20001220703125,4098023,2024-01-01
2024-01-08,265.3193359375,266.79998779296875,275.79998779296875,260.3999938964844,275.54998779296875,2024684,2024-01-08
2024-01-15,242.74533081054688,244.10000610351562,266.79998779296875,239.0,266.79998779296875,2659733,2024-01-15
