Date,Adj Close_ORISSAMINE.NS,Close_ORISSAMINE.NS,High_ORISSAMINE.NS,Low_ORISSAMINE.NS,Open_ORISSAMINE.NS,Volume_ORISSAMINE.NS,Date
2020-07-13,1631.449951171875,1631.449951171875,1700.0,1587.4000244140625,1613.800048828125,28413,2020-07-13
2020-07-20,1817.800048828125,1817.800048828125,1930.0,1612.550048828125,1631.449951171875,196907,2020-07-20
2020-07-27,1754.75,1754.75,1870.0,1735.199951171875,1814.0,73456,2020-07-27
2020-08-03,2218.199951171875,2218.199951171875,2298.0,1682.3499755859375,1750.0,270192,2020-08-03
2020-08-10,2695.25,2695.25,3140.0,2139.949951171875,2215.0,520981,2020-08-10
2020-08-17,2600.199951171875,2600.199951171875,2749.699951171875,2502.300048828125,2696.0,175679,2020-08-17
2020-08-24,2660.89990234375,2660.89990234375,2810.0,2570.0,2601.0,154452,2020-08-24
2020-08-31,2368.14990234375,2368.14990234375,2717.949951171875,2300.0,2686.0,79909,2020-08-31
2020-09-07,2281.050048828125,2281.050048828125,2419.0,2122.0,2375.0,47860,2020-09-07
2020-09-14,2271.699951171875,2271.699951171875,2364.949951171875,2183.800048828125,2281.050048828125,54619,2020-09-14
2020-09-21,2001.3499755859375,2001.3499755859375,2292.199951171875,1895.0,2292.14990234375,53240,2020-09-21
2020-09-28,2324.300048828125,2324.300048828125,2420.0,1973.449951171875,2048.0,88250,2020-09-28
2020-10-05,2229.449951171875,2229.449951171875,2467.5,2176.699951171875,2300.0,134068,2020-10-05
2020-10-12,2125.050048828125,2125.050048828125,2292.949951171875,2105.0,2247.300048828125,53858,2020-10-12
2020-10-19,2021.550048828125,2021.550048828125,2154.800048828125,2000.0,2142.0,38031,2020-10-19
2020-10-26,2124.75,2124.75,2246.0,2011.75,2027.0,63770,2020-10-26
2020-11-02,2136.449951171875,2136.449951171875,2185.0,2068.89990234375,2101.35009765625,27146,2020-11-02
2020-11-09,2100.89990234375,2100.89990234375,2217.949951171875,2051.25,2130.0,44688,2020-11-09
2020-11-16,2065.60009765625,2065.60009765625,2136.050048828125,2023.949951171875,2093.10009765625,40954,2020-11-16
2020-11-23,2606.949951171875,2606.949951171875,2785.60009765625,2057.0,2065.60009765625,375364,2020-11-23
2020-11-30,2553.300048828125,2553.300048828125,2724.39990234375,2520.199951171875,2606.949951171875,67475,2020-11-30
2020-12-07,2516.75,2516.75,2689.0,2425.0,2535.0,51095,2020-12-07
2020-12-14,2457.89990234375,2457.89990234375,2645.0,2439.89990234375,2538.800048828125,42351,2020-12-14
2020-12-21,2491.25,2491.25,2574.89990234375,2270.0,2458.0,41322,2020-12-21
2020-12-28,2554.60009765625,2554.60009765625,2590.0,2450.0,2503.75,37483,2020-12-28
2021-01-04,2559.300048828125,2559.300048828125,2700.0,2525.0,2550.0,99394,2021-01-04
2021-01-11,2473.75,2473.75,2690.0,2462.550048828125,2574.949951171875,81900,2021-01-11
2021-01-18,2388.39990234375,2388.39990234375,2501.199951171875,2370.0,2473.75,32380,2021-01-18
2021-01-25,2337.25,2337.25,2485.0,2322.60009765625,2398.0,20345,2021-01-25
2021-02-01,2286.10009765625,2286.10009765625,2391.199951171875,2268.550048828125,2348.949951171875,37650,2021-02-01
2021-02-08,2309.800048828125,2309.800048828125,2450.0,2283.199951171875,2294.0,33983,2021-02-08
2021-02-15,2413.25,2413.25,2616.050048828125,2250.0,2332.64990234375,93623,2021-02-15
