Date,Adj Close_AIIL.NS,Close_AIIL.NS,High_AIIL.NS,Low_AIIL.NS,Open_AIIL.NS,Volume_AIIL.NS,Date
2024-04-22,853.3451538085938,854.0999755859375,968.2999877929688,775.0499877929688,855.0,277341,2024-04-22
2024-04-29,829.6661376953125,830.4000244140625,869.0,821.5999755859375,854.0999755859375,22869,2024-04-29
2024-05-06,763.7744750976562,764.4500122070312,842.5499877929688,732.2000122070312,831.0,74303,2024-05-06
2024-05-13,876.4747924804688,877.25,920.0,736.0,736.0,106886,2024-05-13
2024-05-20,866.6834106445312,867.4500122070312,900.0,830.8499755859375,877.25,192966,2024-05-20
2024-05-27,824.8204345703125,825.5499877929688,897.9500122070312,800.0,880.4500122070312,155668,2024-05-27
2024-06-03,1056.315673828125,1057.25,1084.449951171875,783.2999877929688,889.7999877929688,1201217,2024-06-03
2024-06-10,1119.65966796875,1120.6500244140625,1150.0,1000.0,1068.0,613983,2024-06-10
2024-06-17,1130.1004638671875,1131.0999755859375,1143.050048828125,989.4500122070312,1137.449951171875,339687,2024-06-17
2024-06-24,1156.227294921875,1157.25,1180.0,1105.050048828125,1143.050048828125,275565,2024-06-24
2024-07-01,1126.953125,1127.949951171875,1176.800048828125,1121.050048828125,1175.0,169729,2024-07-01
2024-07-08,1120.3590087890625,1121.3499755859375,1177.0,1110.050048828125,1144.0,125275,2024-07-08
2024-07-15,1013.553466796875,1014.4500122070312,1134.300048828125,1005.0,1121.3499755859375,135942,2024-07-15
2024-07-22,1048.0728759765625,1049.0,1062.0,959.4000244140625,1014.4500122070312,168660,2024-07-22
2024-07-29,1048.9722900390625,1049.9000244140625,1090.550048828125,1019.4500122070312,1049.0,146095,2024-07-29
2024-08-05,1410.752197265625,1412.0,1443.0,986.75,991.0,2107128,2024-08-05
2024-08-12,1386.723388671875,1387.949951171875,1469.9000244140625,1305.050048828125,1400.0,838499,2024-08-12
2024-08-19,1718.77978515625,1720.300048828125,1723.0,1378.0,1399.0,655091,2024-08-19
2024-08-26,1688.9061279296875,1690.4000244140625,1808.9000244140625,1625.25,1738.0,409510,2024-08-26
2024-09-02,1642.7469482421875,1644.199951171875,1743.0,1601.25,1708.0,192339,2024-09-02
2024-09-09,1680.1639404296875,1681.6500244140625,1686.199951171875,1550.050048828125,1640.050048828125,211785,2024-09-09
2024-09-16,1688.7061767578125,1690.199951171875,1748.0,1596.800048828125,1722.699951171875,281747,2024-09-16
2024-09-23,1702.593994140625,1704.0999755859375,1790.75,1679.6500244140625,1720.0,434370,2024-09-23
2024-09-30,1800.207763671875,1801.800048828125,1825.0,1705.550048828125,1709.0,394833,2024-09-30
2024-10-07,1800.057861328125,1801.6500244140625,1829.9000244140625,1660.550048828125,1813.0,422154,2024-10-07
2024-10-14,1825.885009765625,1827.5,1850.0,1732.949951171875,1801.6500244140625,608771,2024-10-14
2024-10-21,1613.972412109375,1615.4000244140625,1900.0,1560.0,1840.0,795586,2024-10-21
2024-10-28,1677.3663330078125,1678.8499755859375,1700.0,1564.449951171875,1615.3499755859375,152192,2024-10-28
2024-11-04,1644.3955078125,1645.8499755859375,1765.949951171875,1632.0,1694.0,226860,2024-11-04
