Date,Adj Close_DIACABS.NS,Close_DIACABS.NS,High_DIACABS.NS,Low_DIACABS.NS,Open_DIACABS.NS,Volume_DIACABS.NS,Date
2020-07-13,8.0,8.0,9.0,8.0,9.0,300,2020-07-13
2020-07-20,6.5,6.5,8.0,6.0,8.0,3857,2020-07-20
2020-07-27,6.5,6.5,7.0,6.0,6.5,4494,2020-07-27
2020-08-03,5.5,5.5,6.0,5.0,6.0,582,2020-08-03
2020-08-10,6.0,6.0,7.0,5.5,5.5,31140,2020-08-10
2020-08-17,7.5,7.5,7.5,6.0,6.0,61423,2020-08-17
2020-08-24,8.5,8.5,9.5,7.0,8.0,74790,2020-08-24
2020-08-31,9.0,9.0,9.0,7.5,9.0,16943,2020-08-31
2020-09-07,9.0,9.0,9.0,8.0,8.5,8375,2020-09-07
2020-09-14,8.5,8.5,9.5,7.5,9.0,10830,2020-09-14
2020-09-21,7.0,7.0,8.5,6.5,8.0,5205,2020-09-21
2020-09-28,7.5,7.5,8.0,6.5,7.0,109015,2020-09-28
2020-10-05,6.5,6.5,8.5,6.5,7.0,52649,2020-10-05
2020-10-12,6.0,6.0,6.0,4.5,6.0,40281,2020-10-12
2020-10-19,6.5,6.5,6.5,5.0,6.0,28101,2020-10-19
2020-10-26,8.0,8.0,8.5,6.5,7.0,24979,2020-10-26
2020-11-02,7.5,7.5,8.5,7.5,8.5,8912,2020-11-02
2020-11-09,7.5,7.5,8.0,6.5,7.5,5817,2020-11-09
2020-11-16,7.0,7.0,7.5,6.5,7.0,9088,2020-11-16
2020-11-23,6.5,6.5,7.0,6.0,7.0,11829,2020-11-23
2020-11-30,7.0,7.0,7.5,6.5,6.5,9625,2020-11-30
2020-12-07,9.0,9.0,9.0,6.5,7.5,24260,2020-12-07
2020-12-14,10.5,10.5,10.5,8.0,9.5,38728,2020-12-14
2020-12-21,12.0,12.0,12.0,10.0,11.0,21128,2020-12-21
2020-12-28,14.5,14.5,14.5,12.5,12.5,22218,2020-12-28
2021-01-04,14.5,14.5,14.5,14.5,14.5,0,2021-01-04
2021-01-11,14.0,14.0,14.0,14.0,14.0,1425,2021-01-11
2021-01-18,13.5,13.5,13.5,13.5,13.5,26,2021-01-18
2021-01-25,13.5,13.5,13.5,13.5,13.5,0,2021-01-25
2021-02-01,13.5,13.5,13.5,13.5,13.5,0,2021-02-01
2021-02-08,12.0,12.0,13.0,12.0,13.0,237,2021-02-08
2021-02-15,9.0,9.0,11.0,9.0,11.0,3044,2021-02-15
2021-02-22,6.5,6.5,8.5,6.5,8.5,7073,2021-02-22
2021-03-01,6.5,6.5,7.5,5.5,6.5,7370,2021-03-01
2021-03-08,8.0,8.0,8.0,6.5,6.5,11033,2021-03-08
2021-03-15,9.0,9.0,10.0,8.0,8.5,28466,2021-03-15
2021-03-22,8.5,8.5,9.5,8.0,9.0,20422,2021-03-22
2021-03-29,8.0,8.0,9.0,7.5,8.5,9640,2021-03-29
2021-04-05,7.0,7.0,8.5,6.5,7.5,38995,2021-04-05
2021-04-12,7.0,7.0,7.5,6.5,7.5,30058,2021-04-12
2021-04-19,7.0,7.0,7.5,6.5,7.5,15356,2021-04-19
2021-04-26,7.0,7.0,7.5,6.5,7.0,27847,2021-04-26
2021-05-03,6.5,6.5,7.0,6.0,7.0,48342,2021-05-03
2021-05-10,8.5,8.5,8.5,6.0,6.5,49216,2021-05-10
2021-05-17,8.0,8.0,10.0,8.0,9.0,78448,2021-05-17
2021-05-24,7.5,7.5,8.5,6.5,8.5,147721,2021-05-24
2021-05-31,10.0,10.0,10.0,7.5,8.0,72617,2021-05-31
2021-06-07,12.5,12.5,12.5,10.0,10.0,78299,2021-06-07
2021-06-14,14.5,14.5,15.0,13.0,13.0,79328,2021-06-14
2021-06-21,12.5,12.5,14.0,12.5,14.0,6605,2021-06-21
2021-06-28,9.5,9.5,11.5,9.5,11.5,1825,2021-06-28
2021-07-05,9.0,9.0,9.5,8.0,9.0,52220,2021-07-05
2021-07-12,8.0,8.0,8.5,7.5,8.5,26145,2021-07-12
2021-07-19,8.5,8.5,8.5,7.5,8.0,26531,2021-07-19
2021-07-26,8.5,8.5,9.0,7.5,9.0,21649,2021-07-26
2021-08-02,8.0,8.0,9.0,7.0,8.5,9115,2021-08-02
2021-08-09,6.5,6.5,8.5,6.0,8.0,349536,2021-08-09
2021-08-16,6.0,6.0,7.5,6.0,7.0,202670,2021-08-16
2021-08-23,7.0,7.0,7.0,5.5,6.0,127093,2021-08-23
2021-08-30,9.5,9.5,9.5,7.5,7.5,149874,2021-08-30
2021-09-06,11.5,11.5,11.5,10.0,10.0,208025,2021-09-06
2021-09-13,14.0,14.0,14.0,12.0,12.0,60442,2021-09-13
2021-09-20,16.5,16.5,16.5,14.5,14.5,55485,2021-09-20
2021-09-27,17.0,17.0,17.5,17.0,17.0,53603,2021-09-27
2021-10-04,16.5,16.5,16.5,16.5,16.5,1065,2021-10-04
2021-10-11,16.0,16.0,16.0,16.0,16.0,85,2021-10-11
2021-10-18,15.5,15.5,15.5,15.5,15.5,490,2021-10-18
2021-10-25,15.0,15.0,15.0,15.0,15.0,1170,2021-10-25
2021-11-01,15.0,15.0,15.0,15.0,15.0,0,2021-11-01
2021-11-08,14.0,14.0,14.5,14.0,14.5,2205,2021-11-08
2021-11-15,13.5,13.5,14.0,13.5,14.0,10,2021-11-15
2021-11-22,12.0,12.0,13.5,12.0,13.5,140,2021-11-22
2021-11-29,11.5,11.5,11.5,10.0,11.5,72895,2021-11-29
2021-12-06,14.0,14.0,14.0,11.0,12.0,52330,2021-12-06
2021-12-13,16.5,16.5,16.5,14.5,14.5,196071,2021-12-13
2021-12-20,18.0,18.0,18.0,16.0,17.0,210008,2021-12-20
2021-12-27,18.0,18.0,18.0,18.0,18.0,0,2021-12-27
2022-01-03,18.5,18.5,18.5,17.5,17.5,27282,2022-01-03
2022-01-10,18.5,18.5,18.5,18.0,18.5,55664,2022-01-10
2022-01-17,18.0,18.0,18.5,18.0,18.5,16538,2022-01-17
2022-01-24,18.0,18.0,18.0,17.5,18.0,31015,2022-01-24
2022-01-31,17.5,17.5,18.0,17.5,18.0,6197,2022-01-31
2022-02-07,17.5,17.5,17.5,17.0,17.5,11095,2022-02-07
2022-02-14,18.0,18.0,18.0,18.0,18.0,18784,2022-02-14
2022-02-21,17.5,17.5,18.0,17.5,18.0,29423,2022-02-21
2022-02-28,17.5,17.5,17.5,17.5,17.5,0,2022-02-28
2022-03-07,17.5,17.5,17.5,17.5,17.5,0,2022-03-07
2022-03-14,16.5,16.5,16.5,16.5,16.5,1910,2022-03-14
2022-03-21,16.0,16.0,16.0,16.0,16.0,25000,2022-03-21
2022-03-28,15.5,15.5,16.0,15.5,15.5,44120,2022-03-28
2022-04-04,15.5,15.5,15.5,15.0,15.5,142140,2022-04-04
2022-04-11,16.0,16.0,16.0,15.0,15.5,127848,2022-04-11
2022-04-18,16.5,16.5,16.5,15.5,16.5,5197,2022-04-18
2022-04-25,17.0,17.0,17.0,17.0,17.0,3900,2022-04-25
2022-05-02,17.5,17.5,17.5,17.0,17.0,12194,2022-05-02
2022-05-09,18.5,18.5,18.5,17.5,17.5,62739,2022-05-09
2022-05-16,18.5,18.5,18.5,18.5,18.5,4423,2022-05-16
2022-05-23,18.5,18.5,18.5,18.5,18.5,3121,2022-05-23
2022-05-30,18.5,18.5,18.5,18.5,18.5,50337,2022-05-30
2022-06-06,18.5,18.5,18.5,18.5,18.5,6222,2022-06-06
2022-06-13,18.5,18.5,18.5,18.5,18.5,6535,2022-06-13
2022-06-20,18.5,18.5,18.5,18.5,18.5,5689,2022-06-20
2022-06-27,18.5,18.5,18.5,18.5,18.5,8319,2022-06-27
2022-07-04,18.5,18.5,18.5,18.5,18.5,68496,2022-07-04
2022-07-11,19.0,19.0,19.0,18.5,18.5,5660,2022-07-11
2022-07-18,19.0,19.0,19.0,19.0,19.0,1319,2022-07-18
2022-07-25,19.0,19.0,19.0,19.0,19.0,5638,2022-07-25
2022-08-01,19.0,19.0,19.0,19.0,19.0,2305,2022-08-01
2022-08-08,19.5,19.5,19.5,19.5,19.5,8799,2022-08-08
2022-08-15,19.5,19.5,19.5,19.5,19.5,8095,2022-08-15
2022-08-22,19.5,19.5,19.5,19.5,19.5,9074,2022-08-22
2022-08-29,19.5,19.5,19.5,19.5,19.5,28762,2022-08-29
2022-09-05,19.5,19.5,19.5,19.5,19.5,29884,2022-09-05
2022-09-12,19.5,19.5,19.5,19.5,19.5,22333,2022-09-12
2022-09-19,19.5,19.5,19.5,19.5,19.5,0,2022-09-19
2022-09-26,19.5,19.5,19.5,19.5,19.5,0,2022-09-26
2022-10-03,19.5,19.5,19.5,19.5,19.5,0,2022-10-03
2022-10-10,19.5,19.5,19.5,19.5,19.5,0,2022-10-10
2022-10-17,19.5,19.5,19.5,19.5,19.5,0,2022-10-17
2022-10-24,19.5,19.5,19.5,19.5,19.5,0,2022-10-24
2022-10-31,19.5,19.5,19.5,19.5,19.5,0,2022-10-31
2022-11-07,19.5,19.5,19.5,19.5,19.5,0,2022-11-07
2022-11-14,19.5,19.5,19.5,19.5,19.5,0,2022-11-14
2022-11-21,19.5,19.5,19.5,19.5,19.5,0,2022-11-21
2022-11-28,19.5,19.5,19.5,19.5,19.5,0,2022-11-28
2022-12-05,19.5,19.5,19.5,19.5,19.5,0,2022-12-05
2022-12-12,19.5,19.5,19.5,19.5,19.5,0,2022-12-12
2022-12-19,19.5,19.5,19.5,19.5,19.5,0,2022-12-19
2022-12-26,19.5,19.5,19.5,19.5,19.5,0,2022-12-26
2023-01-02,19.5,19.5,19.5,19.5,19.5,0,2023-01-02
2023-01-09,19.5,19.5,19.5,19.5,19.5,0,2023-01-09
2023-01-16,19.5,19.5,19.5,19.5,19.5,0,2023-01-16
2023-01-23,19.5,19.5,19.5,19.5,19.5,0,2023-01-23
2023-01-30,19.5,19.5,19.5,19.5,19.5,0,2023-01-30
2023-02-06,19.5,19.5,19.5,19.5,19.5,0,2023-02-06
2023-02-13,19.5,19.5,19.5,19.5,19.5,0,2023-02-13
2023-02-20,19.5,19.5,19.5,19.5,19.5,0,2023-02-20
2023-02-27,19.5,19.5,19.5,19.5,19.5,0,2023-02-27
2023-03-06,19.5,19.5,19.5,19.5,19.5,0,2023-03-06
2023-03-13,19.5,19.5,19.5,19.5,19.5,0,2023-03-13
2023-03-20,19.5,19.5,19.5,19.5,19.5,0,2023-03-20
2023-03-27,19.5,19.5,19.5,19.5,19.5,0,2023-03-27
2023-04-03,19.5,19.5,19.5,19.5,19.5,0,2023-04-03
2023-04-10,19.5,19.5,19.5,19.5,19.5,0,2023-04-10
2023-04-17,19.5,19.5,19.5,19.5,19.5,0,2023-04-17
2023-04-24,19.5,19.5,19.5,19.5,19.5,0,2023-04-24
2023-05-01,19.5,19.5,19.5,19.5,19.5,0,2023-05-01
2023-05-08,19.5,19.5,19.5,19.5,19.5,0,2023-05-08
2023-05-15,19.5,19.5,19.5,19.5,19.5,0,2023-05-15
2023-05-22,19.5,19.5,19.5,19.5,19.5,0,2023-05-22
