Date,Adj Close_DIACABS.NS,Close_DIACABS.NS,High_DIACABS.NS,Low_DIACABS.NS,Open_DIACABS.NS,Volume_DIACABS.NS,Date
2023-05-29,19.5,19.5,19.5,19.5,19.5,0,2023-05-29
2023-06-05,19.5,19.5,19.5,19.5,19.5,0,2023-06-05
2023-06-12,19.5,19.5,19.5,19.5,19.5,0,2023-06-12
2023-06-19,19.5,19.5,19.5,19.5,19.5,0,2023-06-19
2023-06-26,19.5,19.5,19.5,19.5,19.5,0,2023-06-26
2023-07-03,19.5,19.5,19.5,19.5,19.5,0,2023-07-03
2023-07-10,19.5,19.5,19.5,19.5,19.5,0,2023-07-10
2023-07-17,19.5,19.5,19.5,19.5,19.5,0,2023-07-17
2023-07-24,19.5,19.5,19.5,19.5,19.5,0,2023-07-24
2023-07-31,19.5,19.5,19.5,19.5,19.5,0,2023-07-31
2023-08-07,19.5,19.5,19.5,19.5,19.5,0,2023-08-07
2023-08-14,19.5,19.5,19.5,19.5,19.5,0,2023-08-14
2023-08-21,19.5,19.5,19.5,19.5,19.5,0,2023-08-21
2023-08-28,19.5,19.5,19.5,19.5,19.5,0,2023-08-28
2023-09-04,19.5,19.5,19.5,19.5,19.5,0,2023-09-04
2023-09-11,19.5,19.5,19.5,19.5,19.5,0,2023-09-11
2023-09-18,2.690000057220459,2.690000057220459,2.690000057220459,2.2200000286102295,2.2200000286102295,26920,2023-09-18
2023-09-25,3.4200000762939453,3.4200000762939453,3.4200000762939453,2.819999933242798,2.819999933242798,9060,2023-09-25
2023-10-02,4.550000190734863,4.550000190734863,4.550000190734863,3.4200000762939453,3.4200000762939453,2650,2023-10-02
2023-10-09,5.795000076293945,5.795000076293945,5.795000076293945,4.775000095367432,4.775000095367432,5840,2023-10-09
2023-10-16,6.389999866485596,6.389999866485596,6.389999866485596,5.909999847412109,5.909999847412109,3280,2023-10-16
2023-10-23,6.909999847412109,6.909999847412109,6.909999847412109,6.514999866485596,6.514999866485596,6780,2023-10-23
2023-10-30,7.614999771118164,7.614999771118164,7.614999771118164,7.045000076293945,7.045000076293945,6710,2023-10-30
2023-11-06,8.395000457763672,8.395000457763672,8.395000457763672,7.764999866485596,7.764999866485596,2780,2023-11-06
2023-11-13,9.255000114440918,9.255000114440918,9.255000114440918,8.729999542236328,8.729999542236328,3590,2023-11-13
2023-11-20,10.210000038146973,10.210000038146973,10.210000038146973,9.399999618530273,9.4399995803833,20620,2023-11-20
2023-11-27,11.039999961853027,11.039999961853027,11.039999961853027,10.210000038146973,10.210000038146973,2720,2023-11-27
2023-12-04,12.175000190734863,12.175000190734863,12.175000190734863,11.100000381469727,11.260000228881836,14000,2023-12-04
2023-12-11,13.425000190734863,13.425000190734863,13.425000190734863,12.414999961853027,12.414999961853027,9040,2023-12-11
2023-12-18,14.805000305175781,14.805000305175781,14.805000305175781,13.6899995803833,13.6899995803833,22150,2023-12-18
2023-12-25,16.014999389648438,16.014999389648438,16.014999389648438,14.805000305175781,14.805000305175781,6570,2023-12-25
2024-01-01,17.670000076293945,17.670000076293945,17.670000076293945,16.334999084472656,16.334999084472656,11030,2024-01-01
2024-01-08,19.4950008392334,19.4950008392334,19.4950008392334,18.020000457763672,18.020000457763672,9490,2024-01-08
2024-01-15,21.510000228881836,21.510000228881836,21.510000228881836,19.4950008392334,19.4950008392334,15830,2024-01-15
2024-01-22,23.274999618530273,23.274999618530273,23.274999618530273,21.510000228881836,21.510000228881836,33730,2024-01-22
2024-01-29,25.68000030517578,25.68000030517578,25.68000030517578,23.739999771118164,23.739999771118164,12320,2024-01-29
2024-02-05,28.334999084472656,28.334999084472656,28.334999084472656,26.190000534057617,26.190000534057617,38360,2024-02-05
2024-02-12,31.270000457763672,31.270000457763672,31.270000457763672,28.899999618530273,28.899999618530273,43550,2024-02-12
2024-02-19,34.51499938964844,34.51499938964844,34.51499938964844,31.895000457763672,31.895000457763672,18380,2024-02-19
2024-02-26,38.09000015258789,38.09000015258789,38.09000015258789,35.20500183105469,35.20500183105469,21800,2024-02-26
2024-03-04,41.220001220703125,41.220001220703125,41.220001220703125,38.849998474121094,38.849998474121094,36730,2024-03-04
2024-03-11,45.459999084472656,45.459999084472656,45.459999084472656,42.040000915527344,42.040000915527344,4832720,2024-03-11
2024-03-18,50.17499923706055,50.17499923706055,50.17499923706055,46.3650016784668,46.3650016784668,16490,2024-03-18
2024-03-25,53.23500061035156,53.23500061035156,53.23500061035156,50.17499923706055,50.17499923706055,320430,2024-03-25
2024-04-01,58.7599983215332,58.7599983215332,58.7599983215332,54.29499816894531,54.29499816894531,14930,2024-04-01
2024-04-08,63.595001220703125,63.595001220703125,63.595001220703125,59.935001373291016,59.935001373291016,100430,2024-04-08
2024-04-15,68.82499694824219,68.82499694824219,68.82499694824219,64.86499786376953,64.86499786376953,22320,2024-04-15
2024-04-22,75.9749984741211,75.9749984741211,75.9749984741211,70.19999694824219,70.19999694824219,30160,2024-04-22
2024-04-29,82.19499969482422,82.19499969482422,82.19999694824219,77.48999786376953,77.48999786376953,308030,2024-04-29
2024-05-06,90.73500061035156,90.73500061035156,90.73500061035156,83.0,83.83499908447266,185100,2024-05-06
2024-05-13,102.16500091552734,102.16500091552734,102.16500091552734,92.54499816894531,92.54499816894531,82300,2024-05-13
2024-05-20,106.24500274658203,106.24500274658203,108.41000366210938,100.16500091552734,100.16500091552734,114920,2024-05-20
2024-05-27,96.04000091552734,96.04000091552734,104.12000274658203,96.04000091552734,104.12000274658203,154450,2024-05-27
2024-06-03,86.81999969482422,86.81999969482422,94.12000274658203,86.81999969482422,94.12000274658203,26740,2024-06-03
2024-06-10,102.24500274658203,102.24500274658203,102.24500274658203,82.4800033569336,82.4800033569336,2685190,2024-06-10
2024-06-17,117.26499938964844,117.26499938964844,117.26499938964844,102.24500274658203,102.24500274658203,1630910,2024-06-17
2024-06-24,129.4600067138672,129.4600067138672,129.4600067138672,119.61000061035156,119.61000061035156,989020,2024-06-24
2024-07-01,126.7699966430664,126.7699966430664,134.68499755859375,126.7699966430664,132.0449981689453,370920,2024-07-01
2024-07-08,132.0,132.0,134.0,124.23500061035156,124.23500061035156,1173950,2024-07-08
2024-07-15,123.7699966430664,123.7699966430664,132.0,123.7699966430664,132.0,24210,2024-07-15
2024-07-22,129.47000122070312,129.47000122070312,129.47000122070312,120.0,123.30000305175781,283330,2024-07-22
2024-07-29,159.7949981689453,159.7949981689453,164.5,132.0,135.94000244140625,1970680,2024-07-29
2024-08-05,151.6699981689453,151.6699981689453,162.5,148.6999969482422,159.3000030517578,768680,2024-08-05
2024-08-12,143.05999755859375,143.05999755859375,153.39500427246094,143.05999755859375,152.0,63900,2024-08-12
2024-08-19,148.56500244140625,148.56500244140625,148.56500244140625,137.39999389648438,140.1999969482422,655870,2024-08-19
2024-08-26,151.6999969482422,151.6999969482422,160.5,151.4149932861328,151.53500366210938,222180,2024-08-26
2024-09-02,147.10000610351562,147.10000610351562,154.85000610351562,146.61000061035156,152.4199981689453,183030,2024-09-02
2024-09-09,138.6999969482422,138.6999969482422,147.0,135.89999389648438,144.16000366210938,2644770,2024-09-09
2024-09-16,136.1699981689453,136.1699981689453,149.6999969482422,125.13500213623047,145.4949951171875,725590,2024-09-16
2024-09-23,135.7899932861328,135.7899932861328,142.5,132.125,140.8000030517578,473970,2024-09-23
2024-09-30,138.3000030517578,138.3000030517578,144.5,133.0,134.875,400570,2024-09-30
2024-10-07,150.72500610351562,150.72500610351562,150.72500610351562,125.0,138.3000030517578,533560,2024-10-07
2024-10-14,184.46499633789062,184.46499633789062,189.9949951171875,150.72500610351562,150.72500610351562,2570220,2024-10-14
2024-10-21,155.64500427246094,155.64500427246094,189.89999389648438,155.64500427246094,188.8000030517578,619730,2024-10-21
2024-10-28,163.81500244140625,163.81500244140625,165.0500030517578,147.86500549316406,152.5,402800,2024-10-28
2024-11-04,164.52499389648438,164.52499389648438,168.56500244140625,154.00999450683594,163.8000030517578,416330,2024-11-04
2024-11-11,144.77000427246094,144.77000427246094,169.8000030517578,143.0800018310547,168.0,445930,2024-11-11
2024-11-18,140.2550048828125,140.2550048828125,159.39500427246094,140.11000061035156,147.0,421510,2024-11-18
2024-11-25,150.89999389648438,150.89999389648438,152.0,136.0,142.11000061035156,577190,2024-11-25
2024-12-02,175.1999969482422,175.1999969482422,183.3000030517578,152.56500244140625,155.77000427246094,2028273,2024-12-02
2024-12-09,163.60000610351562,163.60000610351562,179.6999969482422,153.35000610351562,177.4499969482422,707557,2024-12-09
2024-12-16,153.1999969482422,153.1999969482422,169.5500030517578,152.0,160.0500030517578,357559,2024-12-16
2024-12-23,152.4499969482422,152.4499969482422,156.5,148.1999969482422,155.5,236362,2024-12-23
2024-12-30,150.75,150.75,156.3000030517578,146.14999389648438,152.4499969482422,182022,2024-12-30
2025-01-06,141.22999572753906,141.22999572753906,153.75,139.10000610351562,151.5,224351,2025-01-06
2025-01-13,121.72000122070312,121.72000122070312,146.9499969482422,114.20999908447266,137.9499969482422,1228179,2025-01-13
2025-01-20,123.66999816894531,123.66999816894531,137.75,121.25,124.0,600191,2025-01-20
2025-01-27,102.4000015258789,102.4000015258789,122.9000015258789,102.4000015258789,122.9000015258789,661088,2025-01-27
2025-02-03,106.97000122070312,106.97000122070312,106.97000122070312,87.77999877929688,101.37000274658203,971733,2025-02-03
2025-02-10,90.16000366210938,90.16000366210938,112.19999694824219,88.0999984741211,110.80000305175781,648894,2025-02-10
2025-02-17,100.77999877929688,100.77999877929688,100.77999877929688,81.5,86.0999984741211,446221,2025-02-17
2025-02-24,85.75,85.75,100.77999877929688,85.75,100.77999877929688,220375,2025-02-24
2025-03-03,93.63999938964844,93.63999938964844,96.4000015258789,81.5199966430664,87.9800033569336,620854,2025-03-03
2025-03-10,89.0999984741211,89.0999984741211,95.94999694824219,87.0,93.5999984741211,3853537,2025-03-10
2025-03-17,94.25,94.25,97.0,86.5199966430664,88.0999984741211,454604,2025-03-17
2025-03-24,89.52999877929688,89.52999877929688,103.9000015258789,88.7300033569336,94.73999786376953,1028791,2025-03-24
2025-03-31,93.27999877929688,93.27999877929688,98.08999633789062,89.52999877929688,89.52999877929688,246748,2025-03-31
2025-04-07,91.0999984741211,91.0999984741211,93.30000305175781,87.51000213623047,88.61000061035156,208811,2025-04-07
2025-04-14,95.41999816894531,95.41999816894531,98.0,92.0,94.79000091552734,211892,2025-04-14
2025-04-21,96.55000305175781,96.55000305175781,114.4000015258789,94.5,96.55000305175781,1338883,2025-04-21
2025-04-28,93.4000015258789,93.4000015258789,101.30999755859375,92.0999984741211,96.62999725341797,599633,2025-04-28
2025-05-05,88.54000091552734,88.54000091552734,98.37000274658203,86.19999694824219,96.37999725341797,1825243,2025-05-05
2025-05-12,95.22000122070312,95.22000122070312,98.41999816894531,91.55000305175781,94.0,1283556,2025-05-12
2025-05-19,94.6500015258789,94.6500015258789,104.48999786376953,93.4800033569336,94.9000015258789,3835391,2025-05-19
2025-05-26,113.41000366210938,113.41000366210938,121.36000061035156,98.0,100.11000061035156,8546537,2025-05-26
2025-06-02,101.27999877929688,101.27999877929688,116.80000305175781,100.5,113.41000366210938,35254902,2025-06-02
2025-06-09,100.56999969482422,100.56999969482422,105.0,97.69999694824219,101.0,20486187,2025-06-09
2025-06-16,103.73999786376953,103.73999786376953,105.80000305175781,99.36000061035156,101.69999694824219,23629274,2025-06-16
2025-06-23,129.42999267578125,129.42999267578125,132.10000610351562,101.66999816894531,102.5999984741211,46354044,2025-06-23
2025-06-30,139.47999572753906,139.47999572753906,143.39999389648438,129.58999633789062,130.0,41736558,2025-06-30
2025-07-07,164.88999938964844,164.88999938964844,167.1999969482422,139.91000366210938,140.39999389648438,39326808,2025-07-07
2025-07-14,172.9199981689453,172.9199981689453,172.97000122070312,162.1999969482422,165.63999938964844,8784340,2025-07-14
