Date,Adj Close_BBTC.NS,Close_BBTC.NS,High_BBTC.NS,Low_BBTC.NS,Open_BBTC.NS,Volume_BBTC.NS,Date
2020-07-13,1221.466796875,1238.75,1305.0,1170.0,1177.050048828125,1328168,2020-07-13
2020-07-20,1229.45947265625,1245.5999755859375,1314.800048828125,1222.8499755859375,1245.9000244140625,1137323,2020-07-20
2020-07-27,1242.4390869140625,1258.75,1270.0,1180.0999755859375,1250.0,882992,2020-07-27
2020-08-03,1342.8707275390625,1360.5,1379.949951171875,1242.0,1255.0,1569407,2020-08-03
2020-08-10,1436.985107421875,1455.8499755859375,1565.0,1351.0,1370.0,2301516,2020-08-10
2020-08-17,1443.7462158203125,1462.699951171875,1508.75,1427.0,1462.0,1020446,2020-08-17
2020-08-24,1464.2767333984375,1483.5,1545.0,1450.0,1476.949951171875,1072615,2020-08-24
2020-08-31,1291.7911376953125,1308.75,1495.4000244140625,1300.0,1488.8499755859375,790153,2020-08-31
2020-09-07,1347.6083984375,1365.300048828125,1392.0,1311.949951171875,1312.0,681064,2020-09-07
2020-09-14,1374.3077392578125,1392.3499755859375,1482.0,1372.4000244140625,1372.4000244140625,935830,2020-09-14
2020-09-21,1283.4508056640625,1300.300048828125,1419.0,1248.050048828125,1398.9000244140625,461483,2020-09-21
2020-09-28,1293.0250244140625,1310.0,1326.800048828125,1285.25,1314.699951171875,298820,2020-09-28
2020-10-05,1263.5123291015625,1280.0999755859375,1370.0,1275.0,1319.0,382487,2020-10-05
2020-10-12,1211.19921875,1227.0999755859375,1294.6500244140625,1215.550048828125,1289.0,246378,2020-10-12
2020-10-19,1169.5460205078125,1184.9000244140625,1237.5999755859375,1172.050048828125,1233.25,246658,2020-10-19
2020-10-26,1195.4559326171875,1211.1500244140625,1259.949951171875,1171.550048828125,1190.300048828125,387919,2020-10-26
2020-11-02,1218.8485107421875,1234.8499755859375,1249.949951171875,1177.1500244140625,1212.0,210540,2020-11-02
2020-11-09,1240.9583740234375,1257.25,1280.0,1182.25,1244.0,363496,2020-11-09
2020-11-16,1310.841064453125,1328.050048828125,1335.0,1250.300048828125,1256.6500244140625,458764,2020-11-16
2020-11-23,1302.648681640625,1319.75,1357.0,1256.0,1335.0,585943,2020-11-23
2020-11-30,1264.055419921875,1280.6500244140625,1328.5999755859375,1270.9000244140625,1319.75,257794,2020-11-30
2020-12-07,1326.3375244140625,1343.75,1387.0,1280.6500244140625,1280.6500244140625,1084382,2020-12-07
2020-12-14,1280.78564453125,1297.5999755859375,1370.3499755859375,1292.0,1353.800048828125,296260,2020-12-14
