Date,Adj Close_NBCC.NS,Close_NBCC.NS,High_NBCC.NS,Low_NBCC.NS,Open_NBCC.NS,Volume_NBCC.NS,Date
2020-07-13,16.419755935668945,16.766666412353516,17.200000762939453,15.399999618530273,16.299999237060547,54921060,2020-07-13
2020-07-20,16.093318939208984,16.433332443237305,17.600000381469727,16.299999237060547,16.899999618530273,80339420,2020-07-20
2020-07-27,15.081366539001465,15.399999618530273,16.600000381469727,15.333333015441895,16.333332061767578,49058387,2020-07-27
2020-08-03,15.17929744720459,15.5,15.933333396911621,15.0,15.399999618530273,33896497,2020-08-03
2020-08-10,17.496997833251953,17.866666793823242,18.5,15.366665840148926,15.633333206176758,148170033,2020-08-10
2020-08-17,19.194467544555664,19.600000381469727,20.266666412353516,18.0,18.66666603088379,188580571,2020-08-17
2020-08-24,18.443660736083984,18.833332061767578,19.833332061767578,18.733333587646484,19.833332061767578,64494959,2020-08-24
2020-08-31,17.823434829711914,18.200000762939453,19.266666412353516,17.100000381469727,18.933332443237305,62327762,2020-08-31
2020-09-07,17.007343292236328,17.366666793823242,18.366666793823242,16.799999237060547,18.200000762939453,33680400,2020-09-07
2020-09-14,16.811477661132812,17.16666603088379,18.5,17.100000381469727,17.66666603088379,45616260,2020-09-14
2020-09-21,15.995386123657227,16.333332061767578,17.5,14.800000190734863,17.16666603088379,42606592,2020-09-21
2020-09-28,15.50573444366455,15.833333015441895,16.566665649414062,15.600000381469727,16.366666793823242,19985504,2020-09-28
2020-10-05,15.277229309082031,15.600000381469727,16.100000381469727,15.433333396911621,15.833333015441895,20921878,2020-10-05
2020-10-12,14.624356269836426,14.933333396911621,15.733332633972168,14.833333015441895,15.733332633972168,25349518,2020-10-12
2020-10-19,15.407803535461426,15.733332633972168,15.966666221618652,14.933333396911621,15.0,26353006,2020-10-19
2020-10-26,14.885504722595215,15.199999809265137,15.833333015441895,15.100000381469727,15.833333015441895,26701248,2020-10-26
2020-11-02,14.950791358947754,15.266666412353516,15.699999809265137,14.899999618530273,15.266666412353516,21604010,2020-11-02
2020-11-09,15.93010139465332,16.266666412353516,16.633333206176758,15.199999809265137,15.399999618530273,54641342,2020-11-09
2020-11-16,16.811477661132812,17.16666603088379,17.600000381469727,16.0,16.200000762939453,71396965,2020-11-16
2020-11-23,16.974699020385742,17.333332061767578,17.833332061767578,16.733333587646484,17.466665267944336,87517026,2020-11-23
2020-11-30,18.476306915283203,18.866666793823242,19.600000381469727,17.266666412353516,17.333332061767578,148614632,2020-11-30
2020-12-07,19.357685089111328,19.766666412353516,20.133333206176758,18.566665649414062,18.866666793823242,117797067,2020-12-07
