Date,Adj Close_CARERATING.NS,Close_CARERATING.NS,High_CARERATING.NS,Low_CARERATING.NS,Open_CARERATING.NS,Volume_CARERATING.NS,Date
2020-07-13,379.0633239746094,425.0,432.0,418.04998779296875,424.95001220703125,100642,2020-07-13
2020-07-20,389.81085205078125,437.04998779296875,463.8999938964844,422.04998779296875,424.8999938964844,970699,2020-07-20
2020-07-27,377.8592224121094,423.6499938964844,454.5,422.5,436.1000061035156,406592,2020-07-27
2020-08-03,386.6891784667969,433.54998779296875,444.0,418.54998779296875,424.8999938964844,190287,2020-08-03
2020-08-10,361.9831848144531,405.8500061035156,455.0,399.0,435.04998779296875,572240,2020-08-10
2020-08-17,373.8010559082031,419.1000061035156,423.8999938964844,399.25,406.25,371681,2020-08-17
2020-08-24,368.31573486328125,412.95001220703125,423.0,399.1499938964844,422.0,659197,2020-08-24
2020-08-31,362.3399353027344,406.25,431.79998779296875,392.0,414.95001220703125,783641,2020-08-31
2020-09-07,353.5992126464844,394.04998779296875,409.0,389.54998779296875,404.04998779296875,275603,2020-09-07
2020-09-14,342.696533203125,381.8999938964844,410.54998779296875,380.0,396.0,268188,2020-09-14
2020-09-21,320.35260009765625,357.0,387.0,352.1000061035156,387.0,370711,2020-09-21
2020-09-28,316.4042663574219,352.6000061035156,361.95001220703125,340.1000061035156,361.95001220703125,406028,2020-09-28
2020-10-05,323.6279296875,360.6499938964844,388.5,348.1000061035156,353.8999938964844,1209135,2020-10-05
2020-10-12,287.10595703125,319.95001220703125,364.0,318.5,364.0,608344,2020-10-12
2020-10-19,269.2935485839844,300.1000061035156,327.1000061035156,298.04998779296875,325.0,1254646,2020-10-19
2020-10-26,267.7680969238281,298.3999938964844,314.3999938964844,296.1499938964844,303.0,897520,2020-10-26
2020-11-02,366.52105712890625,408.45001220703125,423.3500061035156,297.6499938964844,300.79998779296875,9595905,2020-11-02
2020-11-09,401.2483825683594,447.1499938964844,452.20001220703125,370.0,410.0,2368500,2020-11-09
2020-11-16,388.3265380859375,432.75,464.3999938964844,419.0,438.5,1082731,2020-11-16
2020-11-23,458.5732727050781,501.79998779296875,512.0499877929688,428.45001220703125,434.5,1641869,2020-11-23
2020-11-30,509.4751281738281,557.5,588.0,501.79998779296875,501.79998779296875,2878526,2020-11-30
2020-12-07,490.87811279296875,537.1500244140625,607.7000122070312,503.20001220703125,562.4000244140625,872854,2020-12-07
2020-12-14,478.495361328125,523.5999755859375,549.0,518.4000244140625,542.4000244140625,655978,2020-12-14
2020-12-21,472.5552673339844,517.0999755859375,542.0,492.0,524.0,1127935,2020-12-21
2020-12-28,484.5725402832031,530.25,543.0,508.45001220703125,524.8499755859375,1015115,2020-12-28
2021-01-04,469.3567199707031,513.5999755859375,535.2000122070312,509.0,532.7999877929688,1069768,2021-01-04
2021-01-11,462.9598083496094,506.6000061035156,547.0,501.0,540.0,2164674,2021-01-11
2021-01-18,450.98834228515625,493.5,518.9500122070312,486.20001220703125,510.0,631673,2021-01-18
2021-01-25,442.3980407714844,484.1000061035156,499.25,461.25,498.0,421634,2021-01-25
2021-02-01,490.329833984375,536.5499877929688,549.2999877929688,478.0,487.95001220703125,1143832,2021-02-01
2021-02-08,440.6159973144531,482.1499938964844,535.0,471.79998779296875,535.0,1368874,2021-02-08
2021-02-15,446.28192138671875,488.3500061035156,498.0,480.0,485.0,597715,2021-02-15
2021-02-22,427.5627136230469,465.0,489.45001220703125,461.0,483.8999938964844,501381,2021-02-22
2021-03-01,426.2754211425781,463.6000061035156,479.79998779296875,463.0,470.25,578983,2021-03-01
2021-03-08,420.52862548828125,457.3500061035156,471.0,455.0,464.6000061035156,504796,2021-03-08
2021-03-15,411.7474365234375,447.79998779296875,459.0,428.04998779296875,459.0,892791,2021-03-15
2021-03-22,387.3810119628906,421.29998779296875,458.70001220703125,420.0,449.0,1162433,2021-03-22
2021-03-29,395.9322509765625,430.6000061035156,432.5,407.20001220703125,421.29998779296875,422349,2021-03-29
2021-04-05,442.1366271972656,480.8500061035156,487.8999938964844,414.0,432.0,2252531,2021-04-05
2021-04-12,431.102783203125,468.8500061035156,484.3999938964844,434.79998779296875,465.0,878439,2021-04-12
2021-04-19,430.8268737792969,468.54998779296875,503.0,432.6499938964844,453.5,1860260,2021-04-19
2021-04-26,460.48040771484375,500.79998779296875,526.4000244140625,460.8500061035156,475.79998779296875,1932851,2021-04-26
2021-05-03,471.37640380859375,512.6500244140625,537.0,493.8999938964844,498.3999938964844,1673118,2021-05-03
2021-05-10,477.62890625,519.4500122070312,532.9500122070312,507.04998779296875,516.0999755859375,664552,2021-05-10
2021-05-17,507.46636962890625,551.9000244140625,560.0,519.0,519.0,1638242,2021-05-17
2021-05-24,528.8905029296875,575.2000122070312,584.9500122070312,547.0,554.0,1441219,2021-05-24
2021-05-31,527.1434326171875,573.2999877929688,616.0,565.4500122070312,578.0,1894175,2021-05-31
2021-06-07,553.302978515625,601.75,617.0,568.7999877929688,579.9500122070312,2222864,2021-06-07
2021-06-14,662.538330078125,720.5499877929688,750.0,610.0999755859375,629.0,9961733,2021-06-14
2021-06-21,668.6529541015625,727.2000122070312,759.7999877929688,711.0,723.9500122070312,3208518,2021-06-21
2021-06-28,704.5130615234375,766.2000122070312,791.0,688.5,727.9500122070312,2622306,2021-06-28
2021-07-05,676.422607421875,735.6500244140625,782.5999755859375,720.0499877929688,777.4000244140625,1409843,2021-07-05
2021-07-12,650.033203125,706.9500122070312,746.0,702.0,743.7000122070312,990233,2021-07-12
2021-07-19,654.3087768554688,711.5999755859375,759.25,698.0499877929688,705.5,2203835,2021-07-19
