Date,Adj Close_ASTRAMICRO.NS,Close_ASTRAMICRO.NS,High_ASTRAMICRO.NS,Low_ASTRAMICRO.NS,Open_ASTRAMICRO.NS,Volume_ASTRAMICRO.NS,Date
2020-07-13,107.73908233642578,110.9000015258789,115.44999694824219,105.8499984741211,115.30000305175781,4469404,2020-07-13
2020-07-20,105.79608917236328,108.9000015258789,115.1500015258789,106.19999694824219,111.69999694824219,5496080,2020-07-20
2020-07-27,103.27020263671875,106.30000305175781,112.3499984741211,103.3499984741211,109.5,3035310,2020-07-27
2020-08-03,105.26176452636719,108.3499984741211,111.25,105.0,105.94999694824219,3038368,2020-08-03
2020-08-10,117.50263214111328,120.94999694824219,130.3000030517578,111.6500015258789,119.0,11769908,2020-08-10
2020-08-17,123.08873748779297,126.69999694824219,131.85000610351562,117.0,122.0,5540401,2020-08-17
2020-08-24,124.88601684570312,128.5500030517578,134.89999389648438,120.80000305175781,126.9000015258789,8466194,2020-08-24
2020-08-31,118.03695678710938,121.5,130.0,116.5999984741211,129.0,3760053,2020-08-31
2020-09-07,119.86959075927734,122.19999694824219,124.0,110.80000305175781,121.94999694824219,3498384,2020-09-07
2020-09-14,120.36005401611328,122.69999694824219,128.39999389648438,118.9000015258789,123.55000305175781,4233933,2020-09-14
2020-09-21,114.57257843017578,116.80000305175781,125.69999694824219,113.5,122.5,2133265,2020-09-21
2020-09-28,112.02216339111328,114.19999694824219,124.4000015258789,113.0,119.0,1625289,2020-09-28
2020-10-05,111.87503051757812,114.05000305175781,119.0,112.3499984741211,114.94999694824219,1773642,2020-10-05
2020-10-12,107.85321044921875,109.94999694824219,117.80000305175781,108.3499984741211,113.75,1336060,2020-10-12
2020-10-19,105.49898529052734,107.55000305175781,112.4000015258789,106.30000305175781,110.30000305175781,697302,2020-10-19
2020-10-26,105.44993591308594,107.5,110.0999984741211,105.0,108.6500015258789,1093707,2020-10-26
2020-11-02,108.63795471191406,110.75,111.75,103.5,108.0,880561,2020-11-02
2020-11-09,108.53987121582031,110.6500015258789,112.19999694824219,105.44999694824219,111.80000305175781,1874730,2020-11-09
2020-11-16,106.43087005615234,108.5,111.0999984741211,107.0,108.75,992909,2020-11-16
2020-11-23,110.06029510498047,112.19999694824219,113.94999694824219,106.8499984741211,108.8499984741211,2436327,2020-11-23
2020-11-30,115.50446319580078,117.75,122.5999984741211,112.0,112.19999694824219,2568535,2020-11-30
2020-12-07,123.84235382080078,126.25,134.8000030517578,118.0,118.0,7795471,2020-12-07
2020-12-14,122.3709716796875,124.75,129.9499969482422,122.0999984741211,124.25,2542736,2020-12-14
2020-12-21,117.12300109863281,119.4000015258789,125.5,113.0999984741211,124.0999984741211,1201570,2020-12-21
2020-12-28,122.46906280517578,124.8499984741211,127.69999694824219,117.5999984741211,119.5,2612787,2020-12-28
2021-01-04,126.29468536376953,128.75,131.5,121.3499984741211,125.5,3100186,2021-01-04
2021-01-11,125.90232849121094,128.35000610351562,132.0,122.0999984741211,128.3000030517578,3242055,2021-01-11
2021-01-18,118.83961486816406,121.1500015258789,130.85000610351562,120.05000305175781,130.0,1382464,2021-01-18
2021-01-25,114.27828979492188,116.5,122.19999694824219,113.80000305175781,121.44999694824219,713598,2021-01-25
2021-02-01,118.49630737304688,120.80000305175781,121.9000015258789,115.55000305175781,117.19999694824219,1180496,2021-02-01
2021-02-08,117.02490234375,119.30000305175781,123.55000305175781,118.1500015258789,120.0999984741211,1044832,2021-02-08
2021-02-15,113.44451141357422,115.6500015258789,120.0,114.69999694824219,119.9000015258789,1052100,2021-02-15
2021-02-22,107.95130920410156,110.05000305175781,116.9000015258789,108.3499984741211,115.0,2236307,2021-02-22
2021-03-01,147.43374633789062,150.3000030517578,155.6999969482422,112.05000305175781,112.05000305175781,14450253,2021-03-01
2021-03-08,136.5944366455078,139.25,158.0,136.0,151.10000610351562,3150690,2021-03-08
2021-03-15,134.73068237304688,137.35000610351562,145.0,122.69999694824219,139.8000030517578,3908030,2021-03-15
2021-03-22,130.9541015625,133.5,143.89999389648438,129.5,136.5,2046744,2021-03-22
2021-03-29,130.2674560546875,132.8000030517578,136.1999969482422,129.0,133.5,862986,2021-03-29
2021-04-05,120.21292877197266,122.55000305175781,134.8000030517578,121.30000305175781,134.8000030517578,1793029,2021-04-05
2021-04-12,115.55350494384766,117.80000305175781,121.3499984741211,112.0,121.25,948439,2021-04-12
2021-04-19,110.45267486572266,112.5999984741211,123.0,110.3499984741211,113.0,2097059,2021-04-19
2021-04-26,113.34642791748047,115.55000305175781,120.0,113.80000305175781,113.9000015258789,1173613,2021-04-26
2021-05-03,114.71971130371094,116.94999694824219,119.9000015258789,114.5,115.0,1039656,2021-05-03
2021-05-10,122.27288055419922,124.6500015258789,129.6999969482422,116.8499984741211,117.9000015258789,3423155,2021-05-10
2021-05-17,122.56715393066406,124.94999694824219,129.0,119.55000305175781,124.6500015258789,2355854,2021-05-17
2021-05-24,131.6407470703125,134.1999969482422,146.5,126.0,126.30000305175781,9753080,2021-05-24
2021-05-31,138.06582641601562,140.75,141.89999389648438,127.69999694824219,135.0,4679203,2021-05-31
2021-06-07,167.29754638671875,170.5500030517578,177.39999389648438,140.0500030517578,142.1999969482422,18919999,2021-06-07
2021-06-14,174.94879150390625,178.35000610351562,184.5,161.25,172.0,9044829,2021-06-14
2021-06-21,169.21035766601562,172.5,183.25,170.0,173.0,3996552,2021-06-21
2021-06-28,162.6871795654297,165.85000610351562,175.4499969482422,162.0,172.0,4040027,2021-06-28
2021-07-05,167.00326538085938,170.25,177.4499969482422,163.35000610351562,165.85000610351562,5466662,2021-07-05
2021-07-12,174.94879150390625,178.35000610351562,187.5,165.5,171.9499969482422,10170280,2021-07-12
2021-07-19,168.9160919189453,172.1999969482422,178.4499969482422,167.5,174.6999969482422,4012514,2021-07-19
