Date,Adj Close_RHIM.NS,Close_RHIM.NS,High_RHIM.NS,Low_RHIM.NS,Open_RHIM.NS,Volume_RHIM.NS,Date
2020-07-13,166.27227783203125,171.75,178.0,167.10000610351562,172.5,84153,2020-07-13
2020-07-20,164.09405517578125,169.5,189.8000030517578,166.5,173.89999389648438,767842,2020-07-20
2020-07-27,165.4010009765625,170.85000610351562,175.8000030517578,163.0,173.0,199744,2020-07-27
2020-08-03,167.14356994628906,172.64999389648438,183.6999969482422,168.60000610351562,172.0,278822,2020-08-03
2020-08-10,179.00189208984375,182.25,184.6999969482422,170.25,171.1999969482422,408795,2020-08-10
2020-08-17,211.75753784179688,215.60000610351562,219.0,177.60000610351562,186.39999389648438,1210801,2020-08-17
2020-08-24,203.2125701904297,206.89999389648438,229.89999389648438,202.0,217.64999389648438,472620,2020-08-24
2020-08-31,194.61851501464844,198.14999389648438,210.0,189.8000030517578,205.5500030517578,193454,2020-08-31
2020-09-07,189.21652221679688,192.64999389648438,199.85000610351562,182.5,194.25,367206,2020-09-07
2020-09-14,190.88626098632812,194.35000610351562,208.5500030517578,192.3000030517578,194.0,394135,2020-09-14
2020-09-21,182.68505859375,186.0,200.89999389648438,183.5,195.0,460970,2020-09-21
2020-09-28,194.66763305664062,198.1999969482422,203.89999389648438,187.5500030517578,188.0,329309,2020-09-28
2020-10-05,192.6050567626953,196.10000610351562,203.89999389648438,189.9499969482422,198.1999969482422,188547,2020-10-05
2020-10-12,184.6002960205078,187.9499969482422,202.0,185.1999969482422,196.10000610351562,319948,2020-10-12
2020-10-19,184.35475158691406,187.6999969482422,192.10000610351562,181.25,188.89999389648438,243648,2020-10-19
2020-10-26,183.51991271972656,186.85000610351562,192.0,182.39999389648438,188.64999389648438,204947,2020-10-26
2020-11-02,194.47119140625,198.0,206.89999389648438,183.5,187.0,583283,2020-11-02
2020-11-09,198.9401092529297,202.5500030517578,211.0,196.25,198.0,367009,2020-11-09
2020-11-16,216.6193084716797,220.5500030517578,229.60000610351562,202.39999389648438,202.39999389648438,1601582,2020-11-16
2020-11-23,213.23080444335938,217.10000610351562,226.0,209.3000030517578,220.5500030517578,685216,2020-11-23
2020-11-30,212.15037536621094,216.0,224.9499969482422,210.4499969482422,217.10000610351562,297551,2020-11-30
2020-12-07,216.17733764648438,220.10000610351562,235.0,213.10000610351562,216.0,866853,2020-12-07
2020-12-14,221.0882110595703,225.10000610351562,240.1999969482422,218.1999969482422,221.25,535228,2020-12-14
