Date,Adj Close_GMDCLTD.NS,Close_GMDCLTD.NS,High_GMDCLTD.NS,Low_GMDCLTD.NS,Open_GMDCLTD.NS,Volume_GMDCLTD.NS,Date
2020-07-13,37.48466491699219,43.150001525878906,44.400001525878906,41.0,41.849998474121094,13806930,2020-07-13
2020-07-20,36.3553466796875,41.849998474121094,43.70000076293945,41.25,43.54999923706055,21633089,2020-07-20
2020-07-27,35.616947174072266,41.0,42.0,40.0,41.79999923706055,4580228,2020-07-27
2020-08-03,35.790687561035156,41.20000076293945,42.20000076293945,40.45000076293945,41.0,2337677,2020-08-03
2020-08-10,37.78871154785156,43.5,45.45000076293945,41.349998474121094,41.900001525878906,15828630,2020-08-10
2020-08-17,44.13026428222656,50.79999923706055,53.25,44.20000076293945,44.349998474121094,32879460,2020-08-17
2020-08-24,43.391868591308594,49.95000076293945,51.900001525878906,48.45000076293945,51.0,10172375,2020-08-24
2020-08-31,40.568572998046875,46.70000076293945,50.400001525878906,45.0,50.349998474121094,4751477,2020-08-31
2020-09-07,39.13520431518555,45.04999923706055,46.900001525878906,43.20000076293945,46.75,2441891,2020-09-07
2020-09-14,39.30894470214844,45.25,47.79999923706055,44.400001525878906,45.95000076293945,2776568,2020-09-14
2020-09-21,36.87657165527344,42.45000076293945,45.45000076293945,40.849998474121094,45.25,2330368,2020-09-21
2020-09-28,36.96343994140625,42.54999923706055,43.900001525878906,41.95000076293945,42.650001525878906,1152622,2020-09-28
2020-10-05,39.00490188598633,44.900001525878906,49.650001525878906,42.5,42.900001525878906,10468465,2020-10-05
2020-10-12,38.57054901123047,44.400001525878906,45.900001525878906,43.04999923706055,45.099998474121094,1757410,2020-10-12
2020-10-19,38.48367691040039,44.29999923706055,45.349998474121094,43.25,44.75,1953061,2020-10-19
2020-10-26,37.05031204223633,42.650001525878906,44.54999923706055,42.0,44.5,1432775,2020-10-26
2020-11-02,36.70283126831055,42.25,43.45000076293945,41.900001525878906,42.54999923706055,2134755,2020-11-02
2020-11-09,37.44122314453125,43.099998474121094,44.04999923706055,42.099998474121094,42.95000076293945,3166666,2020-11-09
2020-11-16,39.569557189941406,45.54999923706055,47.54999923706055,42.79999923706055,42.79999923706055,7249701,2020-11-16
2020-11-23,40.78574752807617,46.95000076293945,48.400001525878906,45.099998474121094,45.849998474121094,6050964,2020-11-23
2020-11-30,42.08880615234375,48.45000076293945,49.79999923706055,46.75,46.95000076293945,6550661,2020-11-30
2020-12-07,44.60805130004883,51.349998474121094,53.04999923706055,48.599998474121094,48.75,12184057,2020-12-07
2020-12-14,46.8666877746582,53.95000076293945,56.20000076293945,51.900001525878906,52.0,14640849,2020-12-14
2020-12-21,43.21812057495117,49.75,54.45000076293945,45.29999923706055,53.95000076293945,6254275,2020-12-21
2020-12-28,49.72357177734375,54.900001525878906,55.29999923706055,49.70000076293945,50.400001525878906,9836660,2020-12-28
2021-01-04,53.663414001464844,59.25,62.150001525878906,55.54999923706055,55.54999923706055,25578339,2021-01-04
2021-01-11,55.882408142089844,61.70000076293945,67.4000015258789,56.54999923706055,59.650001525878906,32944172,2021-01-11
2021-01-18,52.39541244506836,57.849998474121094,62.099998474121094,57.5,62.099998474121094,5240166,2021-01-18
2021-01-25,49.85942077636719,55.04999923706055,58.75,54.599998474121094,58.54999923706055,3393711,2021-01-25
2021-02-01,53.79927062988281,59.400001525878906,61.75,54.5,55.54999923706055,10362736,2021-02-01
