Date,Adj Close_PGIL.NS,Close_PGIL.NS,High_PGIL.NS,Low_PGIL.NS,Open_PGIL.NS,Volume_PGIL.NS,Date
2020-07-13,49.32278060913086,52.0,53.0,49.67499923706055,50.25,74852,2020-07-13
2020-07-20,53.70966339111328,56.625,57.5,50.25,52.474998474121094,117328,2020-07-20
2020-07-27,54.492183685302734,57.45000076293945,58.275001525878906,52.32500076293945,56.625,86310,2020-07-27
2020-08-03,58.26253128051758,61.42499923706055,62.625,55.025001525878906,57.5,88908,2020-08-03
2020-08-10,65.82693481445312,69.4000015258789,76.4749984741211,55.5,61.32500076293945,183050,2020-08-10
2020-08-17,69.57357025146484,73.3499984741211,76.2750015258789,68.5999984741211,72.69999694824219,222294,2020-08-17
2020-08-24,71.89743041992188,75.80000305175781,78.69999694824219,70.9749984741211,73.3499984741211,331586,2020-08-24
2020-08-31,69.692138671875,73.4749984741211,77.9749984741211,71.30000305175781,77.94999694824219,41804,2020-08-31
2020-09-07,67.32084655761719,70.9749984741211,76.55000305175781,69.7249984741211,75.05000305175781,52604,2020-09-07
2020-09-14,71.13862609863281,75.0,79.0,68.0,72.9749984741211,126168,2020-09-14
2020-09-21,66.91773223876953,70.55000305175781,75.0,69.0,74.5250015258789,25272,2020-09-21
2020-09-28,73.6047592163086,77.5999984741211,83.75,66.9749984741211,70.75,47042,2020-09-28
2020-10-05,80.86089324951172,85.25,86.94999694824219,76.4000015258789,78.5,158994,2020-10-05
2020-10-12,78.22877502441406,82.4749984741211,86.4749984741211,80.5,85.25,11602,2020-10-12
2020-10-19,81.6434326171875,86.07499694824219,89.4749984741211,81.0,82.0250015258789,30286,2020-10-19
2020-10-26,77.3988265991211,81.5999984741211,88.5,81.0250015258789,87.82499694824219,30498,2020-10-26
2020-11-02,77.58853149414062,81.80000305175781,85.9000015258789,79.92500305175781,82.42500305175781,46464,2020-11-02
2020-11-09,78.18135070800781,82.42500305175781,84.9749984741211,79.5,79.8499984741211,28766,2020-11-09
2020-11-16,78.25248718261719,82.5,86.5,79.5,81.2249984741211,289716,2020-11-16
2020-11-23,78.9638671875,83.25,89.0,81.1500015258789,82.80000305175781,119692,2020-11-23
2020-11-30,85.69831848144531,90.3499984741211,96.69999694824219,82.3499984741211,83.25,84904,2020-11-30
2020-12-07,82.18882751464844,86.6500015258789,94.0,86.55000305175781,89.0250015258789,102950,2020-12-07
2020-12-14,93.16788482666016,98.2249984741211,102.42500305175781,86.5,88.9000015258789,246240,2020-12-14
2020-12-21,91.10487365722656,96.05000305175781,101.4749984741211,87.5250015258789,99.92500305175781,228802,2020-12-21
2020-12-28,94.04525756835938,99.1500015258789,101.44999694824219,94.05000305175781,96.9749984741211,63692,2020-12-28
2021-01-04,91.05743408203125,96.0,100.2750015258789,94.125,99.0250015258789,90732,2021-01-04
2021-01-11,91.34200286865234,96.30000305175781,100.2750015258789,94.9000015258789,98.375,55026,2021-01-11
2021-01-18,88.30674743652344,93.0999984741211,98.9000015258789,92.0,96.0250015258789,53570,2021-01-18
2021-01-25,86.22000885009766,90.9000015258789,95.07499694824219,87.0,94.0999984741211,17850,2021-01-25
2021-02-01,83.06619262695312,87.57499694824219,92.5,87.5,90.5250015258789,77386,2021-02-01
2021-02-08,84.18070220947266,88.75,92.5,87.6500015258789,89.32499694824219,52098,2021-02-08
2021-02-15,78.34734344482422,82.5999984741211,90.44999694824219,77.6500015258789,90.0,89784,2021-02-15
2021-02-22,79.01129913330078,83.30000305175781,88.9749984741211,81.4749984741211,84.19999694824219,54262,2021-02-22
2021-03-01,79.67525482177734,84.0,91.9000015258789,81.92500305175781,84.7750015258789,19276,2021-03-01
2021-03-08,84.32298278808594,88.9000015258789,91.9000015258789,81.19999694824219,87.9749984741211,141180,2021-03-08
2021-03-15,82.9476318359375,87.44999694824219,91.2750015258789,85.0,88.92500305175781,114950,2021-03-15
2021-03-22,82.99505615234375,87.5,90.5,82.25,90.0,96160,2021-03-22
2021-03-29,80.0546646118164,84.4000015258789,89.3499984741211,82.125,87.5,6726,2021-03-29
2021-04-05,91.24713897705078,96.19999694824219,97.9000015258789,83.5,85.0999984741211,119976,2021-04-05
2021-04-12,87.16851806640625,91.9000015258789,98.5250015258789,86.0,96.57499694824219,54014,2021-04-12
2021-04-19,83.96728515625,88.5250015258789,94.0250015258789,87.07499694824219,90.9749984741211,111862,2021-04-19
2021-04-26,84.37041473388672,88.94999694824219,97.4749984741211,86.05000305175781,90.5250015258789,97414,2021-04-26
2021-05-03,83.51673889160156,88.05000305175781,92.42500305175781,86.0250015258789,91.05000305175781,18730,2021-05-03
2021-05-10,85.1766586303711,89.80000305175781,95.6500015258789,87.05000305175781,88.125,79322,2021-05-10
2021-05-17,106.70793151855469,112.5,118.7249984741211,88.5999984741211,88.92500305175781,389842,2021-05-17
2021-05-24,96.8433837890625,102.0999984741211,118.0,101.875,116.0250015258789,96190,2021-05-24
2021-05-31,104.50264739990234,110.17500305175781,113.7249984741211,101.55000305175781,103.9749984741211,176514,2021-05-31
2021-06-07,101.15912628173828,106.6500015258789,110.75,105.1500015258789,108.5250015258789,88082,2021-06-07
2021-06-14,108.93694305419922,114.8499984741211,122.4000015258789,102.57499694824219,109.5,410340,2021-06-14
2021-06-21,102.34476470947266,107.9000015258789,118.5999984741211,107.6500015258789,116.0,114286,2021-06-21
2021-06-28,100.51887512207031,105.9749984741211,111.4000015258789,104.82499694824219,105.69999694824219,207556,2021-06-28
2021-07-05,106.47079467773438,112.25,117.30000305175781,105.0250015258789,107.3499984741211,333712,2021-07-05
2021-07-12,130.8002166748047,137.89999389648438,146.9499969482422,110.82499694824219,114.1500015258789,681998,2021-07-12
2021-07-19,148.63230895996094,156.6999969482422,173.5,154.02499389648438,160.97500610351562,969204,2021-07-19
2021-07-26,173.83908081054688,183.27499389648438,194.39999389648438,152.47500610351562,160.0,2068008,2021-07-26
2021-08-02,196.1529083251953,206.8000030517578,237.35000610351562,187.5,187.5,1485476,2021-08-02
2021-08-09,172.29774475097656,181.64999389648438,210.0,165.5500030517578,208.5,567906,2021-08-09
2021-08-16,151.3355712890625,159.5500030517578,183.5,156.10000610351562,179.5,255922,2021-08-16
2021-08-23,145.02793884277344,152.89999389648438,167.39999389648438,146.02499389648438,167.39999389648438,158036,2021-08-23
2021-08-30,148.77459716796875,156.85000610351562,173.0,154.4499969482422,154.9250030517578,168976,2021-08-30
2021-09-06,149.81793212890625,157.9499969482422,169.4250030517578,151.25,160.5,147162,2021-09-06
2021-09-13,154.1573944091797,162.52499389648438,169.9250030517578,155.1750030517578,157.5,200800,2021-09-13
2021-09-20,141.16273498535156,148.8249969482422,162.5,146.1750030517578,159.5,176822,2021-09-20
2021-09-27,144.07943725585938,151.89999389648438,159.8249969482422,147.5,149.5500030517578,99282,2021-09-27
2021-10-04,142.727783203125,150.47500610351562,158.9250030517578,149.27499389648438,153.75,148474,2021-10-04
2021-10-11,147.56521606445312,155.5749969482422,164.5,147.625,152.3249969482422,190444,2021-10-11
2021-10-18,136.0170135498047,143.39999389648438,159.47500610351562,142.0,159.47500610351562,142618,2021-10-18
2021-10-25,140.80703735351562,148.4499969482422,161.0,143.6999969482422,149.4499969482422,146334,2021-10-25
2021-11-01,143.01234436035156,150.77499389648438,153.47500610351562,146.1999969482422,148.3000030517578,56800,2021-11-01
2021-11-08,138.7677459716797,146.3000030517578,151.1750030517578,145.625,151.1750030517578,66660,2021-11-08
2021-11-15,176.89804077148438,186.5,203.0,151.5,151.5,1901584,2021-11-15
2021-11-22,187.8296661376953,198.02499389648438,217.5,169.0,186.5,559098,2021-11-22
2021-11-29,178.60537719726562,188.3000030517578,199.9499969482422,180.5,199.0,189850,2021-11-29
2021-12-06,172.1317596435547,181.47500610351562,192.39999389648438,180.0749969482422,192.39999389648438,166724,2021-12-06
2021-12-13,155.888427734375,164.35000610351562,186.89999389648438,162.5,184.75,112068,2021-12-13
2021-12-20,151.50155639648438,159.72500610351562,177.39999389648438,156.02499389648438,161.0749969482422,156428,2021-12-20
2021-12-27,165.87155151367188,174.875,184.4499969482422,159.4250030517578,159.5,170736,2021-12-27
2022-01-03,186.12234497070312,196.22500610351562,209.4499969482422,171.1750030517578,177.4499969482422,390716,2022-01-03
2022-01-10,245.0962677001953,258.3999938964844,266.0,194.52499389648438,198.39999389648438,1790458,2022-01-10
2022-01-17,243.79205322265625,257.0249938964844,261.0,242.5,256.125,469898,2022-01-17
2022-01-24,255.6721954345703,269.54998779296875,286.9750061035156,230.8000030517578,261.95001220703125,591180,2022-01-24
2022-01-31,257.0712890625,271.0249938964844,287.5,253.22500610351562,267.5,314904,2022-01-31
2022-02-07,236.6070556640625,249.4499969482422,269.2749938964844,240.5,265.54998779296875,132490,2022-02-07
2022-02-14,221.43080139160156,233.4499969482422,249.47500610351562,216.1750030517578,241.75,147950,2022-02-14
2022-02-21,177.23004150390625,186.85000610351562,239.8249969482422,169.97500610351562,235.0,291556,2022-02-21
2022-02-28,186.99972534179688,197.14999389648438,213.1750030517578,182.8000030517578,186.85000610351562,213556,2022-02-28
2022-03-07,191.26803588867188,201.64999389648438,209.0,185.5500030517578,197.14999389648438,96704,2022-03-07
2022-03-14,203.64617919921875,214.6999969482422,218.6999969482422,202.5,202.5,98024,2022-03-14
2022-03-21,199.8520965576172,210.6999969482422,221.5,203.4250030517578,215.0,102582,2022-03-21
2022-03-28,211.92196655273438,223.4250030517578,227.5,188.89999389648438,210.0,171568,2022-03-28
2022-04-04,214.05612182617188,225.6750030517578,245.0,221.5500030517578,225.0,165976,2022-04-04
2022-04-11,225.4857177734375,237.72500610351562,244.77499389648438,224.5,225.0,115036,2022-04-11
2022-04-18,221.9287872314453,233.97500610351562,255.0,225.64999389648438,236.22500610351562,200034,2022-04-18
2022-04-25,214.38807678222656,226.02499389648438,235.5,221.0,229.5,124210,2022-04-25
2022-05-02,202.00999450683594,212.97500610351562,245.0,211.0,225.0,194318,2022-05-02
2022-05-09,185.29241943359375,195.35000610351562,214.0,190.22500610351562,212.97500610351562,180496,2022-05-09
