Date,Adj Close_NIPPOBATRY.NS,Close_NIPPOBATRY.NS,High_NIPPOBATRY.NS,Low_NIPPOBATRY.NS,Open_NIPPOBATRY.NS,Volume_NIPPOBATRY.NS,Date
2021-07-05,466.067626953125,494.57501220703125,520.0750122070312,487.5,507.5,70966,2021-07-05
2021-07-12,517.8031616210938,549.4749755859375,593.9000244140625,486.1499938964844,504.54998779296875,1337482,2021-07-12
2021-07-19,520.84228515625,552.7000122070312,579.5,502.2250061035156,544.5,825304,2021-07-19
2021-07-26,556.204345703125,590.2249755859375,641.2000122070312,540.7000122070312,540.7000122070312,1642812,2021-07-26
2021-08-02,499.0030517578125,529.5250244140625,594.0,507.6499938964844,590.9500122070312,431016,2021-08-02
2021-08-09,450.7542724609375,478.32501220703125,537.4500122070312,456.70001220703125,532.0,271718,2021-08-09
2021-08-16,458.24603271484375,486.2749938964844,505.95001220703125,479.07501220703125,480.0,110484,2021-08-16
2021-08-23,454.5237121582031,482.32501220703125,492.95001220703125,456.67498779296875,487.5,73766,2021-08-23
2021-08-30,507.2015380859375,538.2249755859375,547.5,483.29998779296875,483.29998779296875,179156,2021-08-30
2021-09-06,489.3674621582031,519.2999877929688,541.25,514.8499755859375,526.0499877929688,69670,2021-09-06
2021-09-13,493.51385498046875,523.7000122070312,534.9000244140625,512.5,523.5,87696,2021-09-13
2021-09-20,467.3633728027344,495.95001220703125,528.0,490.5249938964844,524.5,58508,2021-09-20
2021-09-27,468.5830078125,485.1499938964844,506.0,483.3999938964844,495.0249938964844,48262,2021-09-27
2021-10-04,466.3132629394531,482.79998779296875,497.5,481.0,492.0,53908,2021-10-04
2021-10-11,500.311279296875,518.0,550.0,482.0,482.79998779296875,297154,2021-10-11
2021-10-18,485.99249267578125,503.17498779296875,529.6500244140625,498.7749938964844,524.0,108392,2021-10-18
2021-10-25,470.5630798339844,487.20001220703125,526.25,483.0,510.0249938964844,121420,2021-10-25
2021-11-01,460.61474609375,476.8999938964844,498.79998779296875,467.1000061035156,473.5,24975,2021-11-01
2021-11-08,446.07867431640625,461.8500061035156,485.95001220703125,448.0,483.8999938964844,53754,2021-11-08
2021-11-15,418.6002197265625,433.3999938964844,467.8500061035156,420.25,467.8500061035156,39935,2021-11-15
2021-11-22,435.5025939941406,450.8999938964844,507.3999938964844,407.70001220703125,439.8999938964844,177875,2021-11-22
2021-11-29,414.88165283203125,429.54998779296875,450.3999938964844,420.5,449.0,37305,2021-11-29
2021-12-06,422.65679931640625,437.6000061035156,445.54998779296875,425.04998779296875,442.54998779296875,26321,2021-12-06
2021-12-13,498.331298828125,515.9500122070312,525.9500122070312,422.79998779296875,440.0,332799,2021-12-13
2021-12-20,473.4606018066406,490.20001220703125,519.0,450.04998779296875,505.8999938964844,287447,2021-12-20
2021-12-27,469.4523010253906,486.04998779296875,528.9000244140625,462.75,485.5,209215,2021-12-27
2022-01-03,503.9332275390625,521.75,539.7000122070312,482.0,486.04998779296875,184106,2022-01-03
2022-01-10,504.4161682128906,522.25,540.4500122070312,509.0,530.0,92387,2022-01-10
2022-01-17,507.8932189941406,525.8499755859375,539.9500122070312,505.20001220703125,524.8499755859375,64024,2022-01-17
2022-01-24,466.45819091796875,482.95001220703125,529.9000244140625,460.95001220703125,529.9000244140625,40163,2022-01-24
2022-01-31,474.61962890625,491.3999938964844,519.9000244140625,472.20001220703125,499.79998779296875,37771,2022-01-31
2022-02-07,448.3001403808594,464.1499938964844,496.3500061035156,440.25,495.0,42366,2022-02-07
2022-02-14,433.76409912109375,449.1000061035156,476.70001220703125,441.0,450.0,25440,2022-02-14
2022-02-21,395.17828369140625,409.1499938964844,447.54998779296875,390.0,445.0,40613,2022-02-21
2022-02-28,387.7412414550781,401.45001220703125,418.0,389.29998779296875,414.1000061035156,39370,2022-02-28
2022-03-07,400.5387878417969,414.70001220703125,424.79998779296875,386.0,399.1499938964844,19724,2022-03-07
2022-03-14,399.5246276855469,413.6499938964844,423.6000061035156,400.0,418.04998779296875,33112,2022-03-14
2022-03-21,392.7153625488281,406.6000061035156,432.04998779296875,403.0,417.0,37010,2022-03-21
2022-03-28,390.44561767578125,404.25,408.79998779296875,386.5,406.25,36442,2022-03-28
2022-04-04,399.81439208984375,413.95001220703125,425.0,401.0,409.95001220703125,20190,2022-04-04
2022-04-11,398.0758361816406,412.1499938964844,420.0,405.5,417.29998779296875,12777,2022-04-11
2022-04-18,419.03485107421875,433.8500061035156,468.0,406.95001220703125,411.0,59893,2022-04-18
2022-04-25,401.6012268066406,415.79998779296875,457.0,411.04998779296875,449.70001220703125,37329,2022-04-25
2022-05-02,361.566650390625,374.3500061035156,430.0,371.04998779296875,414.95001220703125,28311,2022-05-02
2022-05-09,359.1520080566406,371.8500061035156,399.70001220703125,363.04998779296875,374.3500061035156,25243,2022-05-09
2022-05-16,369.9212646484375,383.0,394.95001220703125,367.0,375.5,13971,2022-05-16
2022-05-23,338.627685546875,350.6000061035156,398.5,349.0,398.5,35975,2022-05-23
2022-05-30,349.6866455078125,362.04998779296875,380.75,349.1000061035156,358.8999938964844,37747,2022-05-30
2022-06-06,335.3437805175781,347.20001220703125,370.0,345.0,362.04998779296875,15816,2022-06-06
2022-06-13,321.91839599609375,333.29998779296875,357.20001220703125,329.70001220703125,346.8999938964844,20594,2022-06-13
2022-06-20,311.10089111328125,322.1000061035156,338.0,288.1499938964844,335.8500061035156,17445,2022-06-20
2022-06-27,313.3706359863281,324.45001220703125,342.45001220703125,317.29998779296875,331.0,8799,2022-06-27
2022-07-04,330.94915771484375,342.6499938964844,357.95001220703125,318.20001220703125,322.6000061035156,12494,2022-07-04
2022-07-11,346.0164489746094,358.25,378.0,336.29998779296875,346.54998779296875,17858,2022-07-11
2022-07-18,347.12713623046875,359.3999938964844,368.1499938964844,353.20001220703125,361.29998779296875,8587,2022-07-18
2022-07-25,338.5793762207031,350.54998779296875,365.3500061035156,340.0,358.8500061035156,11250,2022-07-25
2022-08-01,343.4569091796875,355.6000061035156,363.8999938964844,341.04998779296875,353.0,12744,2022-08-01
2022-08-08,340.8974304199219,352.95001220703125,360.0,343.75,358.45001220703125,15191,2022-08-08
2022-08-15,321.4837951660156,332.8500061035156,352.95001220703125,331.45001220703125,352.95001220703125,21950,2022-08-15
2022-08-22,323.5603942871094,335.0,343.0,327.6499938964844,336.6000061035156,14150,2022-08-22
2022-08-29,323.31890869140625,334.75,341.6499938964844,313.79998779296875,334.0,18729,2022-08-29
2022-09-05,331.67352294921875,343.3999938964844,345.5,335.3500061035156,335.6499938964844,19139,2022-09-05
2022-09-12,329.93499755859375,341.6000061035156,364.5,338.54998779296875,343.3999938964844,25476,2022-09-12
2022-09-19,358.13787841796875,370.79998779296875,443.70001220703125,333.1499938964844,341.0,441530,2022-09-19
2022-09-26,343.706787109375,350.6499938964844,374.1499938964844,330.45001220703125,372.0,38179,2022-09-26
2022-10-03,380.8563232421875,388.54998779296875,422.79998779296875,344.20001220703125,344.20001220703125,248328,2022-10-03
2022-10-10,389.9231872558594,397.79998779296875,424.75,362.20001220703125,388.20001220703125,149597,2022-10-10
2022-10-17,473.8772277832031,483.45001220703125,524.0,392.0,405.0,642714,2022-10-17
2022-10-24,477.5530090332031,487.20001220703125,509.0,480.20001220703125,480.20001220703125,74138,2022-10-24
2022-10-31,458.39007568359375,467.6499938964844,507.95001220703125,445.5,492.0,93165,2022-10-31
2022-11-07,434.1301574707031,442.8999938964844,496.70001220703125,441.20001220703125,476.1499938964844,53120,2022-11-07
2022-11-14,440.5994873046875,449.5,480.0,401.20001220703125,445.04998779296875,79752,2022-11-14
2022-11-21,447.2158203125,456.25,478.0,439.54998779296875,443.1000061035156,26405,2022-11-21
2022-11-28,432.56182861328125,441.29998779296875,473.45001220703125,439.0,452.75,42845,2022-11-28
2022-12-05,430.35638427734375,439.04998779296875,458.0,432.0,444.29998779296875,21890,2022-12-05
2022-12-12,416.63360595703125,425.04998779296875,445.6000061035156,424.0,445.6000061035156,19658,2022-12-12
2022-12-19,372.6226501464844,380.1499938964844,434.3999938964844,377.04998779296875,420.20001220703125,24907,2022-12-19
2022-12-26,395.31427001953125,403.29998779296875,415.0,378.29998779296875,380.1499938964844,17253,2022-12-26
2023-01-02,387.47265625,395.29998779296875,420.0,388.8999938964844,420.0,12969,2023-01-02
2023-01-09,382.0815734863281,389.79998779296875,399.0,377.6000061035156,396.6000061035156,17282,2023-01-09
2023-01-16,371.49542236328125,379.0,392.0,376.04998779296875,390.79998779296875,11680,2023-01-16
2023-01-23,357.527587890625,364.75,393.95001220703125,357.0,381.8999938964844,11399,2023-01-23
2023-01-30,352.5776062011719,359.70001220703125,380.1499938964844,353.04998779296875,365.3999938964844,34485,2023-01-30
2023-02-06,353.65582275390625,360.79998779296875,379.0,344.0,360.6499938964844,24556,2023-02-06
2023-02-13,323.61273193359375,330.1499938964844,360.75,329.0,357.0,28647,2023-02-13
2023-02-20,319.34881591796875,325.79998779296875,342.3999938964844,320.0,335.5,17172,2023-02-20
2023-02-27,342.1384582519531,349.04998779296875,364.8999938964844,309.04998779296875,325.04998779296875,44999,2023-02-27
2023-03-06,333.7577819824219,340.5,354.54998779296875,333.0,345.0,14622,2023-03-06
2023-03-13,316.2611999511719,322.6499938964844,352.95001220703125,319.1000061035156,337.75,44507,2023-03-13
2023-03-20,298.8627014160156,304.8999938964844,327.3999938964844,300.0,319.8500061035156,26007,2023-03-20
2023-03-27,288.423583984375,294.25,304.70001220703125,284.6499938964844,304.70001220703125,67385,2023-03-27
2023-04-03,322.4855041503906,329.0,335.8999938964844,296.70001220703125,297.8999938964844,18395,2023-04-03
2023-04-10,312.9775695800781,319.29998779296875,340.0,317.1000061035156,335.0,11972,2023-04-10
2023-04-17,319.00579833984375,325.45001220703125,328.0,317.6000061035156,321.75,8290,2023-04-17
2023-04-24,320.32904052734375,326.79998779296875,335.0,318.0,323.75,12984,2023-04-24
2023-05-01,324.6909484863281,331.25,335.0,321.1000061035156,326.79998779296875,8950,2023-05-01
2023-05-08,344.9320373535156,351.8999938964844,374.3999938964844,316.04998779296875,329.04998779296875,70448,2023-05-08
2023-05-15,381.5914611816406,389.29998779296875,416.0,340.6499938964844,351.8999938964844,239098,2023-05-15
2023-05-22,350.5191650390625,357.6000061035156,388.0,340.8500061035156,388.0,110274,2023-05-22
2023-05-29,345.814208984375,352.79998779296875,365.0,348.04998779296875,362.0,18346,2023-05-29
2023-06-05,383.1597900390625,390.8999938964844,419.8999938964844,350.0,350.20001220703125,132204,2023-06-05
2023-06-12,391.8835754394531,399.79998779296875,428.0,387.04998779296875,393.04998779296875,103052,2023-06-12
2023-06-19,386.1494140625,393.95001220703125,414.20001220703125,388.20001220703125,400.54998779296875,36839,2023-06-19
2023-06-26,388.79595947265625,396.6499938964844,405.0,388.20001220703125,394.8999938964844,11848,2023-06-26
2023-07-03,380.954345703125,388.6499938964844,399.54998779296875,385.3999938964844,398.8500061035156,20939,2023-07-03
2023-07-10,511.66387939453125,522.0,526.5499877929688,385.25,393.25,743740,2023-07-10
2023-07-17,480.444580078125,490.1499938964844,517.0,456.04998779296875,514.0,311355,2023-07-17
2023-07-24,450.3524475097656,459.45001220703125,492.0,445.0,490.04998779296875,26906,2023-07-24
2023-07-31,426.3865966796875,435.0,462.0,423.0,460.0,27435,2023-07-31
2023-08-07,415.3593444824219,423.75,455.0,421.0,455.0,17462,2023-08-07
2023-08-14,402.0776672363281,410.20001220703125,430.5,405.29998779296875,424.0,11200,2023-08-14
2023-08-21,417.3197326660156,425.75,458.6499938964844,407.54998779296875,411.0,48723,2023-08-21
2023-08-28,416.5356140136719,424.95001220703125,435.0,415.0,425.75,11619,2023-08-28
2023-09-04,420.6524353027344,429.1499938964844,438.0,420.0,424.0,20442,2023-09-04
2023-09-11,421.82867431640625,430.3500061035156,443.0,406.0,435.0,25521,2023-09-11
2023-09-18,474.51434326171875,484.1000061035156,485.5,425.0,430.3500061035156,76696,2023-09-18
2023-09-25,500.8096618652344,505.1000061035156,505.5,465.04998779296875,484.3999938964844,95845,2023-09-25
2023-10-02,495.75299072265625,500.0,515.2000122070312,494.0,505.1000061035156,34942,2023-10-02
