Date,Adj Close_NELCAST.NS,Close_NELCAST.NS,High_NELCAST.NS,Low_NELCAST.NS,Open_NELCAST.NS,Volume_NELCAST.NS,Date
2020-07-13,49.1094856262207,49.75,51.900001525878906,47.04999923706055,49.849998474121094,1073947,2020-07-13
2020-07-20,51.03438186645508,51.70000076293945,53.70000076293945,49.29999923706055,51.79999923706055,1862807,2020-07-20
2020-07-27,48.0730094909668,48.70000076293945,55.0,48.04999923706055,50.849998474121094,1848567,2020-07-27
2020-08-03,49.89918518066406,50.54999923706055,51.5,48.400001525878906,49.0,1055047,2020-08-03
2020-08-10,49.75111770629883,50.400001525878906,52.900001525878906,50.150001525878906,51.150001525878906,1097763,2020-08-10
2020-08-17,53.847686767578125,54.54999923706055,60.0,49.79999923706055,50.54999923706055,3761775,2020-08-17
2020-08-24,57.50004959106445,58.25,66.30000305175781,53.70000076293945,54.25,6446958,2020-08-24
2020-08-31,54.04511260986328,54.75,59.45000076293945,52.0,59.45000076293945,639802,2020-08-31
2020-09-07,53.008628845214844,53.70000076293945,55.29999923706055,49.54999923706055,55.0,565246,2020-09-07
2020-09-14,61.0536994934082,61.849998474121094,63.849998474121094,54.0,54.70000076293945,2553179,2020-09-14
2020-09-21,56.01936721801758,56.75,62.45000076293945,53.599998474121094,62.45000076293945,522546,2020-09-21
2020-09-28,57.59876251220703,58.349998474121094,62.70000076293945,56.04999923706055,57.900001525878906,811745,2020-09-28
2020-10-05,54.83481216430664,55.54999923706055,59.5,55.20000076293945,59.0,275610,2020-10-05
2020-10-12,55.1803092956543,55.900001525878906,56.599998474121094,53.099998474121094,55.54999923706055,237633,2020-10-12
2020-10-19,60.16529083251953,60.95000076293945,62.5,54.599998474121094,56.20000076293945,2308383,2020-10-19
2020-10-26,56.118072509765625,56.849998474121094,60.75,55.150001525878906,60.400001525878906,416008,2020-10-26
2020-11-02,57.59876251220703,58.349998474121094,59.5,55.75,59.5,254269,2020-11-02
2020-11-09,59.07944869995117,59.849998474121094,61.900001525878906,57.04999923706055,57.79999923706055,609003,2020-11-09
2020-11-16,59.326229095458984,60.099998474121094,64.1500015258789,59.0,60.150001525878906,850832,2020-11-16
2020-11-23,60.9056396484375,61.70000076293945,62.900001525878906,58.95000076293945,59.099998474121094,799225,2020-11-23
2020-11-30,60.06657791137695,60.849998474121094,63.95000076293945,60.54999923706055,61.70000076293945,789852,2020-11-30
2020-12-07,59.57301330566406,60.349998474121094,63.349998474121094,60.04999923706055,60.79999923706055,594497,2020-12-07
2020-12-14,62.386322021484375,63.20000076293945,66.9000015258789,60.099998474121094,60.099998474121094,1808289,2020-12-14
2020-12-21,60.560142517089844,61.349998474121094,65.4000015258789,52.04999923706055,62.650001525878906,1424640,2020-12-21
2020-12-28,61.251129150390625,62.04999923706055,64.0,60.599998474121094,61.349998474121094,419702,2020-12-28
2021-01-04,62.58374786376953,63.400001525878906,65.80000305175781,61.599998474121094,63.25,943611,2021-01-04
2021-01-11,70.77689361572266,71.69999694824219,81.5,61.75,63.95000076293945,9146828,2021-01-11
2021-01-18,71.02367401123047,71.94999694824219,73.5999984741211,68.0999984741211,72.1500015258789,784807,2021-01-18
2021-01-25,67.12451934814453,68.0,73.0,64.25,73.0,507193,2021-01-25
2021-02-01,70.28333282470703,71.19999694824219,77.5,67.0,69.0,1046484,2021-02-01
2021-02-08,68.55584716796875,69.44999694824219,72.9000015258789,68.9000015258789,70.5999984741211,634707,2021-02-08
2021-02-15,66.08804321289062,66.94999694824219,70.5,66.5,69.5999984741211,586527,2021-02-15
2021-02-22,64.06443786621094,64.9000015258789,68.3499984741211,63.95000076293945,66.1500015258789,546361,2021-02-22
2021-03-01,65.44641876220703,66.30000305175781,70.3499984741211,64.44999694824219,65.8499984741211,762587,2021-03-01
2021-03-08,64.16313934326172,65.0,67.80000305175781,64.4000015258789,67.44999694824219,324837,2021-03-08
2021-03-15,67.27259826660156,68.1500015258789,74.0,62.0,65.19999694824219,2803926,2021-03-15
2021-03-22,64.11378479003906,64.94999694824219,68.69999694824219,61.95000076293945,68.69999694824219,416177,2021-03-22
2021-03-29,64.95285034179688,65.80000305175781,66.4000015258789,60.099998474121094,64.94999694824219,184851,2021-03-29
2021-04-05,66.6803207397461,67.55000305175781,68.5,62.25,65.5,384254,2021-04-05
2021-04-12,64.11378479003906,64.94999694824219,68.0,63.29999923706055,67.5,243163,2021-04-12
2021-04-19,63.22538375854492,64.05000305175781,67.5999984741211,62.400001525878906,62.400001525878906,159159,2021-04-19
2021-04-26,65.74253845214844,66.5999984741211,72.9000015258789,63.650001525878906,64.94999694824219,1372894,2021-04-26
2021-05-03,72.50434875488281,73.44999694824219,75.55000305175781,66.30000305175781,67.0,3215144,2021-05-03
2021-05-10,69.0494155883789,69.94999694824219,78.6500015258789,69.0999984741211,74.5,1589336,2021-05-10
2021-05-17,74.67604064941406,75.6500015258789,79.69999694824219,69.55000305175781,70.3499984741211,3322204,2021-05-17
2021-05-24,74.13311004638672,75.0999984741211,81.44999694824219,74.75,77.69999694824219,2231813,2021-05-24
2021-05-31,77.48934173583984,78.5,82.69999694824219,70.5999984741211,75.80000305175781,3010567,2021-05-31
2021-06-07,76.35414123535156,77.3499984741211,80.0999984741211,73.44999694824219,79.4000015258789,1429966,2021-06-07
2021-06-14,72.40564727783203,73.3499984741211,79.0,69.25,76.55000305175781,1577144,2021-06-14
2021-06-21,72.50434875488281,73.44999694824219,75.8499984741211,70.25,72.5999984741211,422246,2021-06-21
2021-06-28,73.14598846435547,74.0999984741211,75.9000015258789,71.9000015258789,74.19999694824219,436242,2021-06-28
2021-07-05,73.6395492553711,74.5999984741211,77.5,73.3499984741211,74.6500015258789,811736,2021-07-05
2021-07-12,86.71896362304688,87.8499984741211,90.30000305175781,74.75,75.05000305175781,11274897,2021-07-12
2021-07-19,87.60738372802734,88.75,91.44999694824219,83.05000305175781,88.0,3486607,2021-07-19
2021-07-26,94.56661987304688,95.80000305175781,100.3499984741211,89.44999694824219,98.9000015258789,6434216,2021-07-26
2021-08-02,88.08702850341797,89.05000305175781,98.30000305175781,85.75,97.4000015258789,2202317,2021-08-02
2021-08-09,91.64810180664062,92.6500015258789,96.5,75.69999694824219,89.4000015258789,5117929,2021-08-09
2021-08-16,77.1070556640625,77.94999694824219,92.25,76.80000305175781,91.94999694824219,896384,2021-08-16
2021-08-23,80.07462310791016,80.94999694824219,83.6500015258789,75.05000305175781,79.19999694824219,611753,2021-08-23
2021-08-30,83.93244171142578,84.8499984741211,86.0,80.0,80.94999694824219,760075,2021-08-30
2021-09-06,90.7578353881836,91.75,95.69999694824219,84.25,85.80000305175781,4091337,2021-09-06
2021-09-13,83.04217529296875,83.94999694824219,93.0,83.5,91.94999694824219,1025162,2021-09-13
2021-09-20,83.28947448730469,84.19999694824219,88.25,81.44999694824219,83.5,795592,2021-09-20
2021-09-27,90.41161346435547,91.4000015258789,93.19999694824219,82.0,84.44999694824219,1317699,2021-09-27
2021-10-04,86.3064956665039,87.25,96.69999694824219,86.19999694824219,93.69999694824219,1583586,2021-10-04
2021-10-11,87.790283203125,88.75,92.0,86.1500015258789,87.44999694824219,698973,2021-10-11
2021-10-18,83.83353424072266,84.75,93.19999694824219,84.0,89.94999694824219,595987,2021-10-18
2021-10-25,84.328125,85.25,86.0,81.5,86.0,405709,2021-10-25
2021-11-01,82.6465072631836,83.55000305175781,88.30000305175781,81.5,86.0,466051,2021-11-01
2021-11-08,81.16272735595703,82.05000305175781,84.9000015258789,79.69999694824219,84.9000015258789,471017,2021-11-08
2021-11-15,76.5630111694336,77.4000015258789,82.5,77.0,82.05000305175781,354440,2021-11-15
2021-11-22,74.83193969726562,75.6500015258789,79.80000305175781,72.75,77.5,316135,2021-11-22
2021-11-29,73.64491271972656,74.44999694824219,78.0,70.6500015258789,76.0,343771,2021-11-29
2021-12-06,77.35435485839844,78.19999694824219,78.5999984741211,73.5,73.5999984741211,187699,2021-12-06
2021-12-13,82.94326782226562,83.8499984741211,88.94999694824219,71.19999694824219,78.9000015258789,1492103,2021-12-13
2021-12-20,80.2724609375,81.1500015258789,87.5,80.5999984741211,83.0,1276717,2021-12-20
