Date,Adj Close_AFCONS.NS,Close_AFCONS.NS,High_AFCONS.NS,Low_AFCONS.NS,Open_AFCONS.NS,Volume_AFCONS.NS,Date
2024-11-04,490.8500061035156,490.8500061035156,513.5,420.25,426.0,102713123,2024-11-04
2024-11-11,474.75,474.75,503.95001220703125,452.0,487.75,14566874,2024-11-11
2024-11-18,497.25,497.25,506.79998779296875,462.5,473.04998779296875,17803464,2024-11-18
2024-11-25,503.8500061035156,503.8500061035156,552.5,493.54998779296875,500.0,20772402,2024-11-25
2024-12-02,545.5499877929688,545.5499877929688,559.2999877929688,488.1499938964844,503.0,16998973,2024-12-02
2024-12-09,522.5,522.5,554.8499755859375,513.0999755859375,543.5999755859375,9293800,2024-12-09
2024-12-16,520.25,520.25,567.7999877929688,509.6000061035156,536.0,19843217,2024-12-16
2024-12-23,528.25,528.25,555.5999755859375,518.4000244140625,525.2999877929688,6616363,2024-12-23
2024-12-30,543.25,543.25,570.0,513.9500122070312,530.0,11423819,2024-12-30
2025-01-06,498.79998779296875,498.79998779296875,556.9500122070312,492.79998779296875,546.75,7311596,2025-01-06
2025-01-13,520.2000122070312,520.2000122070312,530.5999755859375,465.54998779296875,492.0,6483870,2025-01-13
2025-01-20,486.75,486.75,537.8499755859375,480.79998779296875,522.0,3798925,2025-01-20
2025-01-27,473.1000061035156,473.1000061035156,495.0,436.79998779296875,480.1000061035156,13856689,2025-01-27
2025-02-03,466.5,466.5,477.1000061035156,421.1000061035156,463.0,18859486,2025-02-03
2025-02-10,424.25,424.25,472.70001220703125,412.5,462.79998779296875,7692818,2025-02-10
2025-02-17,452.70001220703125,452.70001220703125,461.0,418.04998779296875,425.54998779296875,5979491,2025-02-17
2025-02-24,413.1000061035156,413.1000061035156,458.5,408.75,445.3999938964844,8309752,2025-02-24
2025-03-03,450.70001220703125,450.70001220703125,452.8999938964844,398.20001220703125,417.1499938964844,6085689,2025-03-03
2025-03-10,450.1000061035156,450.1000061035156,466.1499938964844,445.20001220703125,451.6000061035156,4182773,2025-03-10
2025-03-17,485.45001220703125,485.45001220703125,488.0,438.3999938964844,454.0,3988146,2025-03-17
2025-03-24,487.0,487.0,498.70001220703125,460.8999938964844,487.8999938964844,4607403,2025-03-24
2025-03-31,456.79998779296875,456.79998779296875,487.0,452.0,487.0,2098221,2025-03-31
2025-04-07,428.20001220703125,428.20001220703125,439.8999938964844,398.0,400.0,3343046,2025-04-07
2025-04-14,443.79998779296875,443.79998779296875,449.45001220703125,428.20001220703125,428.20001220703125,1767675,2025-04-14
2025-04-21,422.95001220703125,422.95001220703125,452.25,419.3500061035156,446.0,2638611,2025-04-21
2025-04-28,419.0,419.0,428.8500061035156,415.8999938964844,422.95001220703125,3434619,2025-04-28
2025-05-05,419.95001220703125,419.95001220703125,430.8999938964844,407.04998779296875,421.0,3939426,2025-05-05
2025-05-12,465.8999938964844,465.8999938964844,470.75,429.0,438.8999938964844,9203579,2025-05-12
2025-05-19,445.29998779296875,445.29998779296875,472.3999938964844,439.5,468.0,4423418,2025-05-19
2025-05-26,423.04998779296875,423.04998779296875,440.5,422.0,440.0,4652239,2025-05-26
2025-06-02,435.20001220703125,435.20001220703125,437.5,419.29998779296875,426.3500061035156,6057047,2025-06-02
2025-06-09,440.8500061035156,440.8500061035156,460.45001220703125,434.5,451.3999938964844,8818685,2025-06-09
2025-06-16,439.79998779296875,439.79998779296875,462.8500061035156,418.20001220703125,440.0,13708694,2025-06-16
2025-06-23,442.3999938964844,442.3999938964844,446.75,431.1000061035156,444.0,5273382,2025-06-23
2025-06-30,428.79998779296875,428.79998779296875,445.79998779296875,425.45001220703125,442.95001220703125,4015343,2025-06-30
2025-07-07,425.0,425.0,430.79998779296875,418.6499938964844,428.0,3761113,2025-07-07
2025-07-14,423.1499938964844,423.1499938964844,427.79998779296875,419.6000061035156,425.0,825956,2025-07-14
