Date,Adj Close_IGARASHI.NS,Close_IGARASHI.NS,High_IGARASHI.NS,Low_IGARASHI.NS,Open_IGARASHI.NS,Volume_IGARASHI.NS,Date
2020-07-13,268.65240478515625,271.45001220703125,274.95001220703125,255.10000610351562,272.25,201225,2020-07-13
2020-07-20,261.08123779296875,263.79998779296875,279.75,263.0,271.8999938964844,195642,2020-07-20
2020-07-27,255.39047241210938,258.04998779296875,273.6000061035156,255.0500030517578,265.1499938964844,344701,2020-07-27
2020-08-03,279.7369689941406,282.6499938964844,293.3500061035156,258.04998779296875,259.3500061035156,969024,2020-08-03
2020-08-10,287.3575744628906,290.3500061035156,308.79998779296875,276.20001220703125,284.1000061035156,1238044,2020-08-10
2020-08-17,303.93499755859375,307.1000061035156,324.5,285.29998779296875,290.54998779296875,1478488,2020-08-17
2020-08-24,319.1268005371094,322.45001220703125,330.0,301.25,309.0,1334069,2020-08-24
2020-08-31,300.6195068359375,303.75,327.0,295.0,324.8999938964844,590548,2020-08-31
2020-09-07,295.5720520019531,298.6499938964844,311.5,291.25,304.0,284332,2020-09-07
2020-09-14,301.1261901855469,303.04998779296875,322.0,299.0,302.3500061035156,373531,2020-09-14
2020-09-21,275.3409423828125,277.1000061035156,309.3500061035156,261.0,307.3500061035156,344955,2020-09-21
2020-09-28,285.3271179199219,287.1499938964844,296.0,277.29998779296875,279.8999938964844,149279,2020-09-28
2020-10-05,281.7997131347656,283.6000061035156,296.45001220703125,280.04998779296875,292.0,108110,2020-10-05
2020-10-12,284.4825439453125,286.29998779296875,287.8999938964844,272.54998779296875,280.75,114129,2020-10-12
2020-10-19,282.644287109375,284.45001220703125,293.0,276.79998779296875,288.0,106865,2020-10-19
2020-10-26,269.4784240722656,271.20001220703125,286.8999938964844,267.20001220703125,285.0,69120,2020-10-26
2020-11-02,280.1104736328125,281.8999938964844,287.79998779296875,268.0,272.70001220703125,106033,2020-11-02
2020-11-09,291.7362060546875,293.6000061035156,306.79998779296875,278.0,282.3500061035156,387618,2020-11-09
2020-11-16,338.3881530761719,340.54998779296875,356.0,290.0,290.20001220703125,1912408,2020-11-16
2020-11-23,327.0108337402344,329.1000061035156,353.0,322.0,346.6000061035156,793165,2020-11-23
2020-11-30,329.2465515136719,331.3500061035156,341.95001220703125,322.1499938964844,329.1000061035156,248729,2020-11-30
2020-12-07,336.15240478515625,338.29998779296875,349.8500061035156,326.95001220703125,333.8999938964844,876059,2020-12-07
2020-12-14,339.2327575683594,341.3999938964844,363.0,332.25,340.0,931934,2020-12-14
2020-12-21,329.8427734375,331.95001220703125,343.6499938964844,302.04998779296875,342.0,283640,2020-12-21
2020-12-28,335.8543395996094,338.0,348.5,327.0,333.75,397609,2020-12-28
2021-01-04,359.9504089355469,362.25,396.75,333.0,338.0,2195081,2021-01-04
2021-01-11,353.3923034667969,355.6499938964844,380.0,346.0,368.54998779296875,783185,2021-01-11
2021-01-18,322.3406982421875,324.3999938964844,364.0,322.0,364.0,909446,2021-01-18
2021-01-25,315.9316711425781,317.95001220703125,332.8999938964844,315.0,326.54998779296875,185619,2021-01-25
2021-02-01,325.27197265625,327.3500061035156,346.0,311.1499938964844,319.54998779296875,768599,2021-02-01
2021-02-08,330.2402038574219,332.3500061035156,339.70001220703125,324.6499938964844,329.5,738812,2021-02-08
2021-02-15,315.7825622558594,317.79998779296875,341.75,309.25,336.29998779296875,793556,2021-02-15
2021-02-22,317.32275390625,319.3500061035156,333.54998779296875,311.25,319.20001220703125,629685,2021-02-22
2021-03-01,331.7306823730469,333.8500061035156,357.20001220703125,318.5,320.95001220703125,1625353,2021-03-01
2021-03-08,311.261474609375,313.25,354.0,312.1499938964844,341.0,876038,2021-03-08
2021-03-15,289.6495361328125,291.5,323.0,286.5,315.0,762697,2021-03-15
2021-03-22,268.2860412597656,270.0,301.6000061035156,266.54998779296875,292.5,666513,2021-03-22
2021-03-29,283.4888916015625,285.29998779296875,289.0,263.0,270.0,396584,2021-03-29
2021-04-05,333.0721435546875,335.20001220703125,342.5,274.45001220703125,285.0,1277324,2021-04-05
2021-04-12,323.0859375,325.1499938964844,333.0,307.45001220703125,328.0,408039,2021-04-12
2021-04-19,320.6514587402344,322.70001220703125,333.70001220703125,306.45001220703125,318.8999938964844,401990,2021-04-19
2021-04-26,359.2548522949219,361.54998779296875,384.0,326.8999938964844,329.8999938964844,2297282,2021-04-26
2021-05-03,419.91729736328125,422.6000061035156,464.0,351.25,351.25,2792193,2021-05-03
2021-05-10,451.4160461425781,454.29998779296875,528.9500122070312,424.6000061035156,426.79998779296875,2589396,2021-05-10
2021-05-17,472.8789367675781,475.8999938964844,497.0,445.0,457.95001220703125,450759,2021-05-17
2021-05-24,432.13922119140625,434.8999938964844,485.29998779296875,432.75,478.45001220703125,698790,2021-05-24
2021-05-31,426.2767028808594,429.0,455.0,418.0,437.0,575844,2021-05-31
2021-06-07,468.9043273925781,471.8999938964844,496.04998779296875,443.04998779296875,445.54998779296875,1774473,2021-06-07
2021-06-14,456.68243408203125,459.6000061035156,503.5,449.0,474.6000061035156,928072,2021-06-14
2021-06-21,481.7224426269531,484.79998779296875,498.8500061035156,442.75,450.0,1190696,2021-06-21
2021-06-28,494.5405578613281,497.70001220703125,528.4000244140625,490.20001220703125,498.0,1609174,2021-06-28
2021-07-05,550.483154296875,554.0,560.9500122070312,500.20001220703125,501.6000061035156,2040968,2021-07-05
2021-07-12,539.5032958984375,542.9500122070312,587.0,540.0,555.9000244140625,1517369,2021-07-12
2021-07-19,540.0994873046875,543.5499877929688,554.9000244140625,508.70001220703125,536.7000122070312,618267,2021-07-19
2021-07-26,524.449462890625,527.7999877929688,559.7999877929688,520.0,546.0,752435,2021-07-26
2021-08-02,504.9241943359375,506.75,553.75,499.0,529.9000244140625,578941,2021-08-02
2021-08-09,485.09588623046875,486.8500061035156,522.25,438.0,510.54998779296875,1052823,2021-08-09
2021-08-16,460.8834228515625,462.54998779296875,488.6499938964844,430.04998779296875,488.6499938964844,551314,2021-08-16
2021-08-23,511.25128173828125,513.0999755859375,531.7999877929688,431.25,467.45001220703125,1288892,2021-08-23
2021-08-30,504.0772399902344,505.8999938964844,531.5,501.5,517.9000244140625,340996,2021-08-30
2021-09-06,504.72491455078125,506.54998779296875,522.9000244140625,502.75,508.70001220703125,200052,2021-09-06
2021-09-13,510.205078125,512.0499877929688,554.7999877929688,506.75,507.1000061035156,875876,2021-09-13
2021-09-20,520.8167114257812,522.7000122070312,534.7999877929688,505.0,508.0,412469,2021-09-20
2021-09-27,512.7459106445312,514.5999755859375,565.0,511.04998779296875,525.4000244140625,1121044,2021-09-27
2021-10-04,525.0016479492188,526.9000244140625,538.9500122070312,514.5499877929688,518.4000244140625,523588,2021-10-04
2021-10-11,578.6575927734375,580.75,613.9500122070312,525.0,529.25,1745651,2021-10-11
2021-10-18,554.0465698242188,556.0499877929688,601.4000244140625,545.0,585.2999877929688,731485,2021-10-18
2021-10-25,510.8029479980469,512.6500244140625,570.0,505.3999938964844,558.8499755859375,420946,2021-10-25
2021-11-01,534.4175415039062,536.3499755859375,550.5,515.7999877929688,516.9500122070312,281882,2021-11-01
