Date,Adj Close_DIAMINESQ.NS,Close_DIAMINESQ.NS,High_DIAMINESQ.NS,Low_DIAMINESQ.NS,Open_DIAMINESQ.NS,Volume_DIAMINESQ.NS,Date
2023-09-25,530.0233764648438,532.25,545.0,521.0,542.9500122070312,31022,2023-09-25
2023-10-02,530.1727905273438,532.4000244140625,540.0,518.0999755859375,531.9000244140625,23518,2023-10-02
2023-10-09,508.96185302734375,511.1000061035156,533.0,501.1000061035156,515.0,28443,2023-10-09
2023-10-16,509.2605895996094,511.3999938964844,533.9500122070312,505.0,520.0,26118,2023-10-16
2023-10-23,480.1827697753906,482.20001220703125,513.4500122070312,456.1000061035156,510.0,45158,2023-10-23
2023-10-30,484.41497802734375,486.45001220703125,508.54998779296875,476.79998779296875,490.0,23250,2023-10-30
2023-11-06,467.0379943847656,469.0,506.8999938964844,458.70001220703125,493.5,87279,2023-11-06
2023-11-13,454.3910827636719,456.29998779296875,476.45001220703125,456.0,471.04998779296875,22027,2023-11-13
2023-11-20,527.88232421875,530.0999755859375,534.3499755859375,446.1000061035156,464.95001220703125,147651,2023-11-20
2023-11-27,540.1807250976562,542.4500122070312,555.0,508.0,537.7000122070312,68275,2023-11-27
2023-12-04,504.6798400878906,506.79998779296875,569.0,501.04998779296875,569.0,68635,2023-12-04
2023-12-11,486.804931640625,488.8500061035156,511.95001220703125,479.3999938964844,502.0,62610,2023-12-11
2023-12-18,547.400390625,549.7000122070312,577.0,484.8500061035156,488.79998779296875,384951,2023-12-18
2023-12-25,550.6865844726562,553.0,588.2999877929688,533.5499877929688,565.0,120070,2023-12-25
2024-01-01,543.2179565429688,545.5,558.9500122070312,528.5499877929688,557.2000122070312,69283,2024-01-01
2024-01-08,525.442626953125,527.6500244140625,562.0,525.0,554.8499755859375,81867,2024-01-08
2024-01-15,518.0736083984375,520.25,540.0,509.8500061035156,529.9500122070312,70068,2024-01-15
2024-01-22,500.5970153808594,502.70001220703125,525.0,500.0,525.0,22989,2024-01-22
2024-01-29,497.95806884765625,500.04998779296875,522.0,497.70001220703125,514.8499755859375,30703,2024-01-29
2024-02-05,467.4363098144531,469.3999938964844,504.79998779296875,452.29998779296875,500.95001220703125,97045,2024-02-05
2024-02-12,496.6137390136719,498.70001220703125,501.5,455.04998779296875,478.79998779296875,44353,2024-02-12
2024-02-19,558.702880859375,561.0499877929688,570.0,497.0,501.0,219771,2024-02-19
2024-02-26,601.4234619140625,603.9500122070312,630.0,522.5999755859375,547.0,353809,2024-02-26
2024-03-04,548.346435546875,550.6500244140625,610.0,542.6500244140625,610.0,112389,2024-03-04
2024-03-11,531.2183837890625,533.4500122070312,560.0,502.04998779296875,560.0,111028,2024-03-11
2024-03-18,526.8367309570312,529.0499877929688,547.9500122070312,513.0,530.1500244140625,94000,2024-03-18
2024-03-25,504.7296447753906,506.8500061035156,538.0,496.1000061035156,530.0,70715,2024-03-25
2024-04-01,584.7435302734375,587.2000122070312,590.0,508.29998779296875,509.3999938964844,120233,2024-04-01
2024-04-08,568.8602294921875,571.25,597.9500122070312,557.7999877929688,594.0,107997,2024-04-08
2024-04-15,577.17529296875,579.5999755859375,585.8499755859375,541.25,570.0,57845,2024-04-15
2024-04-22,574.735595703125,577.1500244140625,598.8499755859375,562.0499877929688,582.0,67024,2024-04-22
2024-04-29,544.3132934570312,546.5999755859375,593.4500122070312,542.0,576.0499877929688,103608,2024-04-29
2024-05-06,535.5003662109375,537.75,561.9500122070312,530.0,549.0,55772,2024-05-06
2024-05-13,561.5907592773438,563.9500122070312,567.9000244140625,531.0499877929688,535.0,48895,2024-05-13
2024-05-20,548.8443603515625,551.1500244140625,582.2000122070312,545.0,571.0,63734,2024-05-20
2024-05-27,482.62249755859375,484.6499938964844,539.0,480.6000061035156,539.0,133195,2024-05-27
2024-06-03,495.9166564941406,498.0,505.0,455.0,490.0,60071,2024-06-03
2024-06-10,527.135498046875,529.3499755859375,558.7000122070312,490.0,498.0,110000,2024-06-10
2024-06-17,514.986572265625,517.1500244140625,535.5999755859375,500.54998779296875,529.6500244140625,62490,2024-06-17
2024-06-24,525.5919799804688,527.7999877929688,536.7999877929688,500.0,517.1500244140625,48373,2024-06-24
2024-07-01,654.8489379882812,657.5999755859375,693.4000244140625,518.0,525.0,983826,2024-07-01
2024-07-08,603.2656860351562,605.7999877929688,691.6500244140625,600.0,662.0,240831,2024-07-08
2024-07-15,565.3250732421875,567.7000122070312,628.9500122070312,565.0,605.7999877929688,158420,2024-07-15
2024-07-22,632.9409790039062,635.5999755859375,645.25,553.0,570.0,199412,2024-07-22
2024-07-29,581.0,581.0,640.0,579.0,640.0,202982,2024-07-29
2024-08-05,570.8499755859375,570.8499755859375,595.4500122070312,531.0,581.0,264928,2024-08-05
2024-08-12,543.7000122070312,543.7000122070312,560.9500122070312,531.0,560.0499877929688,62114,2024-08-12
2024-08-19,580.2999877929688,580.2999877929688,624.0,540.0,540.0,165948,2024-08-19
2024-08-26,568.0499877929688,568.0499877929688,590.2000122070312,540.0,589.9500122070312,62870,2024-08-26
2024-09-02,554.3499755859375,554.3499755859375,585.0,551.0,570.2000122070312,46989,2024-09-02
2024-09-09,556.25,556.25,573.7999877929688,546.0,546.0,32974,2024-09-09
2024-09-16,549.2999877929688,549.2999877929688,564.9500122070312,533.5499877929688,564.9500122070312,42707,2024-09-16
2024-09-23,562.0,562.0,582.9000244140625,549.2999877929688,549.2999877929688,43662,2024-09-23
2024-09-30,539.1500244140625,539.1500244140625,574.7999877929688,531.0,574.7999877929688,29001,2024-09-30
2024-10-07,541.4500122070312,541.4500122070312,549.1500244140625,501.6000061035156,541.0,30327,2024-10-07
2024-10-14,535.2999877929688,535.2999877929688,550.1500244140625,526.0,541.5499877929688,18381,2024-10-14
2024-10-21,479.75,479.75,541.9500122070312,471.6499938964844,530.0999755859375,63359,2024-10-21
2024-10-28,485.29998779296875,485.29998779296875,510.6499938964844,470.3999938964844,475.0,20148,2024-10-28
2024-11-04,541.75,541.75,549.9000244140625,481.79998779296875,485.29998779296875,49467,2024-11-04
2024-11-11,517.6500244140625,517.6500244140625,577.0,505.0,552.4500122070312,72801,2024-11-11
2024-11-18,513.0,513.0,527.5,507.0,520.0,25994,2024-11-18
2024-11-25,512.1500244140625,512.1500244140625,527.5,493.1000061035156,516.3499755859375,35717,2024-11-25
2024-12-02,525.75,525.75,566.0999755859375,499.5,508.0,60080,2024-12-02
2024-12-09,528.8499755859375,528.8499755859375,541.4000244140625,508.1000061035156,528.0499877929688,36882,2024-12-09
2024-12-16,499.45001220703125,499.45001220703125,536.5499877929688,497.1499938964844,531.5999755859375,27829,2024-12-16
2024-12-23,495.3999938964844,495.3999938964844,510.1000061035156,492.1000061035156,501.8500061035156,15682,2024-12-23
2024-12-30,495.29998779296875,495.29998779296875,504.8999938964844,485.0,491.25,18992,2024-12-30
2025-01-06,477.29998779296875,477.29998779296875,514.25,475.0,497.8999938964844,37793,2025-01-06
2025-01-13,472.5,472.5,495.0,451.0,480.29998779296875,21287,2025-01-13
2025-01-20,486.6499938964844,486.6499938964844,497.79998779296875,454.1499938964844,484.79998779296875,21257,2025-01-20
2025-01-27,471.1000061035156,471.1000061035156,489.8500061035156,449.95001220703125,482.20001220703125,19114,2025-01-27
2025-02-03,439.3999938964844,439.3999938964844,489.8500061035156,434.0,470.25,33046,2025-02-03
2025-02-10,368.25,368.25,445.95001220703125,354.29998779296875,445.95001220703125,44716,2025-02-10
2025-02-17,402.6499938964844,402.6499938964844,433.70001220703125,339.95001220703125,362.75,130072,2025-02-17
2025-02-24,366.54998779296875,366.54998779296875,426.5,348.75,400.0,49089,2025-02-24
2025-03-03,366.1000061035156,366.1000061035156,378.20001220703125,341.3999938964844,370.0,49011,2025-03-03
2025-03-10,359.1000061035156,359.1000061035156,381.0,343.70001220703125,370.25,47516,2025-03-10
2025-03-17,352.29998779296875,352.29998779296875,361.1000061035156,339.20001220703125,361.1000061035156,57611,2025-03-17
2025-03-24,314.6000061035156,314.6000061035156,372.0,305.1499938964844,357.6000061035156,128864,2025-03-24
2025-03-31,345.45001220703125,345.45001220703125,358.8999938964844,314.6000061035156,314.6000061035156,28075,2025-03-31
2025-04-07,317.3500061035156,317.3500061035156,336.1000061035156,308.79998779296875,336.1000061035156,32564,2025-04-07
2025-04-14,360.8999938964844,360.8999938964844,389.0,320.0,321.0,107326,2025-04-14
2025-04-21,367.95001220703125,367.95001220703125,414.8999938964844,353.54998779296875,366.29998779296875,40038,2025-04-21
2025-04-28,364.45001220703125,364.45001220703125,380.04998779296875,354.8999938964844,370.8500061035156,20671,2025-04-28
2025-05-05,346.3999938964844,346.3999938964844,374.8999938964844,337.95001220703125,360.0,19110,2025-05-05
2025-05-12,392.75,392.75,412.8999938964844,351.6000061035156,351.6000061035156,29968,2025-05-12
2025-05-19,380.1499938964844,380.1499938964844,400.04998779296875,375.0,398.0,21725,2025-05-19
2025-05-26,378.1499938964844,378.1499938964844,404.0,377.3500061035156,381.04998779296875,24167,2025-05-26
2025-06-02,362.3999938964844,362.3999938964844,377.45001220703125,356.79998779296875,376.29998779296875,19671,2025-06-02
2025-06-09,382.29998779296875,382.29998779296875,417.25,354.29998779296875,366.8999938964844,51324,2025-06-09
2025-06-16,379.6499938964844,379.6499938964844,388.0,368.3500061035156,388.0,35394,2025-06-16
2025-06-23,426.1000061035156,426.1000061035156,453.8999938964844,373.95001220703125,373.95001220703125,97319,2025-06-23
2025-06-30,434.79998779296875,434.79998779296875,457.95001220703125,425.0,426.1000061035156,45159,2025-06-30
2025-07-07,404.6499938964844,404.6499938964844,444.0,402.0,444.0,51196,2025-07-07
2025-07-14,399.75,399.75,409.45001220703125,385.0,409.0,41544,2025-07-14
