Date,Adj Close_TTKPRESTIG.NS,Close_TTKPRESTIG.NS,High_TTKPRESTIG.NS,Low_TTKPRESTIG.NS,Open_TTKPRESTIG.NS,Volume_TTKPRESTIG.NS,Date
2020-07-13,543.6318359375,560.4149780273438,562.6599731445312,543.6099853515625,543.6099853515625,144950,2020-07-13
2020-07-20,535.5803833007812,552.114990234375,573.5999755859375,544.0,559.510009765625,492000,2020-07-20
2020-07-27,561.0152587890625,578.3350219726562,597.489990234375,522.0050048828125,552.2000122070312,493920,2020-07-27
2020-08-03,538.248046875,554.864990234375,580.0,546.6500244140625,575.0,215090,2020-08-03
2020-08-10,522.3004150390625,538.4249877929688,566.5,502.0,565.6950073242188,647020,2020-08-10
2020-08-17,570.21240234375,585.6500244140625,597.4000244140625,534.0,543.9000244140625,364440,2020-08-17
2020-08-24,579.01904296875,594.6950073242188,614.5,580.1199951171875,595.8699951171875,413960,2020-08-24
2020-08-31,587.5140380859375,603.4199829101562,623.3250122070312,565.5549926757812,596.0,410980,2020-08-31
2020-09-07,568.1337890625,583.5150146484375,612.0,576.0,595.0050048828125,117580,2020-09-07
2020-09-14,613.9239501953125,630.5449829101562,657.5,590.0999755859375,590.47998046875,500120,2020-09-14
2020-09-21,590.4251708984375,606.4099731445312,635.4949951171875,570.0999755859375,635.4949951171875,332760,2020-09-21
2020-09-28,603.3698120117188,619.7050170898438,629.7999877929688,599.0050048828125,609.8599853515625,233070,2020-09-28
2020-10-05,581.3606567382812,597.0999755859375,629.47998046875,592.0999755859375,622.0,227200,2020-10-05
2020-10-12,553.3489379882812,568.3300170898438,620.010009765625,562.5,608.969970703125,222620,2020-10-12
2020-10-19,563.4456176757812,578.7000122070312,582.5,535.0,574.7999877929688,625270,2020-10-19
2020-10-26,555.4324951171875,570.469970703125,587.864990234375,557.010009765625,576.0050048828125,154570,2020-10-26
2020-11-02,584.1549072265625,599.969970703125,602.8800048828125,555.280029296875,571.0050048828125,208420,2020-11-02
2020-11-09,566.5758666992188,581.9149780273438,613.4000244140625,560.0,602.780029296875,333500,2020-11-09
2020-11-16,569.87646484375,585.3049926757812,594.4000244140625,565.3900146484375,575.8049926757812,242610,2020-11-16
2020-11-23,561.3368530273438,574.5800170898438,588.7949829101562,569.9500122070312,586.4849853515625,260510,2020-11-23
2020-11-30,567.281494140625,580.6649780273438,584.9749755859375,572.9000244140625,574.5800170898438,283520,2020-11-30
2020-12-07,562.4651489257812,575.7349853515625,599.3599853515625,570.1849975585938,580.7050170898438,351470,2020-12-07
2020-12-14,567.310791015625,580.6950073242188,584.0,565.0999755859375,581.8800048828125,323250,2020-12-14
2020-12-21,585.2086791992188,599.0150146484375,604.7899780273438,556.0,579.4949951171875,547910,2020-12-21
2020-12-28,607.561279296875,621.89501953125,628.7999877929688,592.5,603.0,648570,2020-12-28
2021-01-04,604.7720336914062,619.0399780273438,635.0,610.0,624.7000122070312,368920,2021-01-04
2021-01-11,597.4595336914062,611.5549926757812,634.0,606.9400024414062,627.97998046875,357210,2021-01-11
