Date,Adj Close_NACLIND.NS,Close_NACLIND.NS,High_NACLIND.NS,Low_NACLIND.NS,Open_NACLIND.NS,Volume_NACLIND.NS,Date
2020-07-13,39.003326416015625,39.95000076293945,40.75,37.25,39.900001525878906,157174,2020-07-13
2020-07-20,38.027015686035156,38.95000076293945,42.0,37.900001525878906,40.900001525878906,588847,2020-07-20
2020-07-27,38.075836181640625,39.0,40.099998474121094,38.25,39.5,297795,2020-07-27
2020-08-03,42.90854263305664,43.95000076293945,45.20000076293945,38.099998474121094,39.04999923706055,647746,2020-08-03
2020-08-10,38.71043395996094,39.650001525878906,48.29999923706055,39.5,46.0,1045660,2020-08-10
2020-08-17,42.61564636230469,43.650001525878906,44.400001525878906,37.54999923706055,39.650001525878906,893060,2020-08-17
2020-08-24,45.788631439208984,46.900001525878906,51.25,41.5,44.04999923706055,5126023,2020-08-24
2020-08-31,40.56541442871094,41.54999923706055,47.54999923706055,39.349998474121094,47.54999923706055,657358,2020-08-31
2020-09-07,39.100948333740234,40.04999923706055,43.20000076293945,38.29999923706055,40.400001525878906,353089,2020-09-07
2020-09-14,39.100948333740234,40.04999923706055,42.349998474121094,39.5,41.29999923706055,449459,2020-09-14
2020-09-21,37.49005889892578,38.400001525878906,40.599998474121094,35.54999923706055,40.5,373811,2020-09-21
2020-09-28,37.19715881347656,38.099998474121094,40.5,37.349998474121094,39.0,143199,2020-09-28
2020-10-05,37.29479217529297,38.20000076293945,41.0,37.099998474121094,38.25,157374,2020-10-05
2020-10-12,35.29337692260742,36.150001525878906,39.0,35.29999923706055,38.20000076293945,209835,2020-10-12
2020-10-19,36.416114807128906,37.29999923706055,38.150001525878906,29.600000381469727,36.20000076293945,230357,2020-10-19
2020-10-26,35.29337692260742,36.150001525878906,38.400001525878906,34.70000076293945,36.599998474121094,159037,2020-10-26
2020-11-02,40.90711212158203,41.900001525878906,44.849998474121094,36.20000076293945,36.849998474121094,1700488,2020-11-02
2020-11-09,40.17489242553711,41.150001525878906,43.54999923706055,39.25,43.54999923706055,372345,2020-11-09
2020-11-16,40.717044830322266,41.599998474121094,42.70000076293945,38.20000076293945,40.79999923706055,414676,2020-11-16
2020-11-23,38.563743591308594,39.400001525878906,42.0,39.099998474121094,41.70000076293945,255584,2020-11-23
2020-11-30,39.98295974731445,40.849998474121094,42.79999923706055,39.0,39.400001525878906,456310,2020-11-30
2020-12-07,40.080841064453125,40.95000076293945,44.29999923706055,39.900001525878906,41.04999923706055,736057,2020-12-07
2020-12-14,40.912803649902344,41.79999923706055,45.400001525878906,40.0,41.5,788799,2020-12-14
2020-12-21,41.2064323425293,42.099998474121094,44.0,39.099998474121094,40.79999923706055,588738,2020-12-21
2020-12-28,45.51304626464844,46.5,47.099998474121094,41.400001525878906,42.75,1025511,2020-12-28
2021-01-04,42.77248001098633,43.70000076293945,47.5,42.20000076293945,46.5,601236,2021-01-04
2021-01-11,41.79370880126953,42.70000076293945,44.54999923706055,42.0,44.25,333716,2021-01-11
2021-01-18,39.6893310546875,40.54999923706055,43.650001525878906,40.04999923706055,42.75,268606,2021-01-18
2021-01-25,39.346763610839844,40.20000076293945,42.29999923706055,39.5,40.75,212597,2021-01-25
2021-02-01,39.6893310546875,40.54999923706055,43.70000076293945,40.099998474121094,41.0,480100,2021-02-01
2021-02-08,37.14451599121094,37.95000076293945,41.400001525878906,37.54999923706055,41.400001525878906,449930,2021-02-08
2021-02-15,37.92753982543945,38.75,39.5,37.099998474121094,38.04999923706055,584249,2021-02-15
2021-02-22,37.63390350341797,38.45000076293945,40.400001525878906,37.04999923706055,39.0,434789,2021-02-22
2021-03-01,38.808441162109375,39.650001525878906,41.900001525878906,38.650001525878906,38.95000076293945,681057,2021-03-01
2021-03-08,38.416927337646484,39.25,41.650001525878906,39.0,39.099998474121094,358385,2021-03-08
2021-03-15,36.36150360107422,37.150001525878906,39.79999923706055,36.54999923706055,39.79999923706055,217274,2021-03-15
2021-03-22,36.60619354248047,37.400001525878906,38.599998474121094,36.599998474121094,37.5,265030,2021-03-22
2021-03-29,38.46586227416992,39.29999923706055,39.650001525878906,37.04999923706055,37.400001525878906,185643,2021-03-29
2021-04-05,40.374481201171875,41.25,42.150001525878906,38.0,38.20000076293945,393887,2021-04-05
2021-04-12,37.876163482666016,38.54999923706055,41.0,38.099998474121094,41.0,152952,2021-04-12
2021-04-19,37.04102325439453,37.70000076293945,38.95000076293945,36.0,38.0,203484,2021-04-19
2021-04-26,37.1392707824707,37.79999923706055,38.79999923706055,35.95000076293945,38.0,322540,2021-04-26
2021-05-03,39.05519104003906,39.75,41.099998474121094,37.79999923706055,38.0,622763,2021-05-03
2021-05-10,50.55068588256836,51.45000076293945,54.400001525878906,39.75,39.75,4515095,2021-05-10
2021-05-17,49.32253646850586,50.20000076293945,54.79999923706055,48.400001525878906,53.400001525878906,1546698,2021-05-17
2021-05-24,55.36502456665039,56.349998474121094,61.25,49.599998474121094,50.95000076293945,3962847,2021-05-24
2021-05-31,61.11277389526367,62.20000076293945,63.0,51.900001525878906,58.25,3289455,2021-05-31
2021-06-07,77.86474609375,79.25,89.19999694824219,63.0,63.5,8850637,2021-06-07
2021-06-14,70.98710632324219,72.25,81.69999694824219,69.9000015258789,79.19999694824219,1216179,2021-06-14
2021-06-21,73.39427185058594,74.69999694824219,84.3499984741211,68.0999984741211,72.0,1228541,2021-06-21
2021-06-28,74.62242889404297,75.94999694824219,79.80000305175781,72.30000305175781,76.0999984741211,558903,2021-06-28
2021-07-05,73.73816680908203,75.05000305175781,79.55000305175781,73.25,77.0,697345,2021-07-05
2021-07-12,77.7665023803711,79.1500015258789,87.0,75.0,75.94999694824219,1728388,2021-07-12
2021-07-19,76.04708862304688,77.4000015258789,79.9000015258789,77.0,78.5,407131,2021-07-19
2021-07-26,80.12454986572266,81.55000305175781,84.0,75.44999694824219,78.0,890031,2021-07-26
2021-08-02,76.58746337890625,77.94999694824219,84.0,74.69999694824219,82.5,1569001,2021-08-02
2021-08-09,63.81470489501953,64.94999694824219,79.5999984741211,63.75,78.0999984741211,1850682,2021-08-09
2021-08-16,55.84401321411133,56.75,65.80000305175781,56.0,65.80000305175781,711131,2021-08-16
2021-08-23,64.06072235107422,65.0999984741211,65.0999984741211,51.650001525878906,58.79999923706055,1203911,2021-08-23
2021-08-30,69.81732177734375,70.94999694824219,74.80000305175781,62.0,64.4000015258789,1064567,2021-08-30
2021-09-06,69.37450408935547,70.5,73.5999984741211,67.19999694824219,73.19999694824219,541139,2021-09-06
2021-09-13,73.85186767578125,75.05000305175781,78.0,69.0999984741211,69.0999984741211,677470,2021-09-13
2021-09-20,75.09031677246094,76.1500015258789,77.80000305175781,70.9000015258789,74.0,775306,2021-09-20
