Date,Adj Close_RKSWAMY.NS,Close_RKSWAMY.NS,High_RKSWAMY.NS,Low_RKSWAMY.NS,Open_RKSWAMY.NS,Volume_RKSWAMY.NS,Date
2024-03-11,276.2496337890625,278.25,288.0,227.64999389648438,250.0,19620524,2024-03-11
2024-03-18,274.61151123046875,276.6000061035156,284.8999938964844,259.6000061035156,275.8500061035156,2964212,2024-03-18
2024-03-25,272.228759765625,274.20001220703125,307.5,268.20001220703125,276.6000061035156,4247834,2024-03-25
2024-04-01,299.23321533203125,301.3999938964844,312.0,273.0,280.0,4848445,2024-04-01
2024-04-08,276.1503601074219,278.1499938964844,305.70001220703125,276.04998779296875,302.45001220703125,1365978,2024-04-08
2024-04-15,269.69708251953125,271.6499938964844,284.8500061035156,268.0,270.0,652925,2024-04-15
2024-04-22,282.0079345703125,284.04998779296875,292.5,273.0,275.04998779296875,851732,2024-04-22
2024-04-29,276.0510559082031,278.04998779296875,289.79998779296875,273.1499938964844,284.04998779296875,631012,2024-04-29
2024-05-06,261.5063781738281,263.3999938964844,278.8500061035156,260.5,276.3500061035156,425905,2024-05-06
2024-05-13,276.6467590332031,278.6499938964844,279.5,258.04998779296875,267.45001220703125,1013276,2024-05-13
2024-05-20,263.78985595703125,265.70001220703125,278.8999938964844,260.79998779296875,277.8999938964844,536952,2024-05-20
2024-05-27,273.6186828613281,275.6000061035156,298.0,265.3999938964844,286.6499938964844,1217286,2024-05-27
2024-06-03,266.37115478515625,268.29998779296875,286.0,237.10000610351562,285.0,668006,2024-06-03
2024-06-10,270.8884582519531,272.8500061035156,275.0,265.25,271.0,390811,2024-06-10
2024-06-17,267.0661315917969,269.0,278.0,259.1499938964844,272.8500061035156,504214,2024-06-17
2024-06-24,266.0733337402344,268.0,275.79998779296875,263.3500061035156,270.0,581250,2024-06-24
2024-07-01,263.4423828125,265.3500061035156,272.0,263.0,271.5,374554,2024-07-01
2024-07-08,286.97198486328125,289.04998779296875,297.04998779296875,254.10000610351562,267.70001220703125,1759788,2024-07-08
2024-07-15,273.9165344238281,275.8999938964844,292.1000061035156,270.5,290.0,546605,2024-07-15
2024-07-22,308.1684875488281,310.3999938964844,313.8999938964844,270.5,270.5,2882734,2024-07-22
2024-07-29,308.1684875488281,310.3999938964844,320.70001220703125,297.5,317.0,1808153,2024-07-29
2024-08-05,275.5050354003906,277.5,320.70001220703125,266.25,302.04998779296875,2872448,2024-08-05
2024-08-12,255.6999969482422,255.6999969482422,283.79998779296875,252.0,280.8999938964844,715824,2024-08-12
2024-08-19,262.95001220703125,262.95001220703125,272.45001220703125,252.35000610351562,255.75,715110,2024-08-19
2024-08-26,250.4499969482422,250.4499969482422,268.0,249.60000610351562,267.04998779296875,583818,2024-08-26
2024-09-02,237.25,237.25,254.5500030517578,230.3000030517578,251.89999389648438,1385739,2024-09-02
2024-09-09,248.0,248.0,254.1999969482422,233.5500030517578,237.60000610351562,642787,2024-09-09
2024-09-16,254.8000030517578,254.8000030517578,268.8999938964844,245.35000610351562,248.60000610351562,994464,2024-09-16
2024-09-23,245.64999389648438,245.64999389648438,257.29998779296875,240.35000610351562,255.0,533030,2024-09-23
2024-09-30,238.00999450683594,238.00999450683594,247.4499969482422,236.00999450683594,247.0,309074,2024-09-30
2024-10-07,244.97000122070312,244.97000122070312,246.39999389648438,221.6199951171875,239.75,460879,2024-10-07
2024-10-14,248.88999938964844,248.88999938964844,255.82000732421875,242.25,245.02000427246094,396981,2024-10-14
2024-10-21,224.50999450683594,224.50999450683594,253.02000427246094,222.0399932861328,249.89999389648438,340081,2024-10-21
2024-10-28,234.38999938964844,234.38999938964844,235.0,218.10000610351562,227.0,293408,2024-10-28
2024-11-04,231.33999633789062,231.33999633789062,237.5,227.0,235.89999389648438,141854,2024-11-04
2024-11-11,199.3000030517578,199.3000030517578,238.0,195.0,232.0,516735,2024-11-11
2024-11-18,203.94000244140625,203.94000244140625,215.0,195.0,200.0,277002,2024-11-18
2024-11-25,216.86000061035156,216.86000061035156,226.39999389648438,209.10000610351562,209.10000610351562,914990,2024-11-25
2024-12-02,237.6999969482422,237.6999969482422,238.5500030517578,216.25,216.25,249623,2024-12-02
2024-12-09,264.67999267578125,264.67999267578125,272.45001220703125,236.6199951171875,239.97999572753906,1697642,2024-12-09
2024-12-16,266.3299865722656,266.3299865722656,289.44000244140625,263.3500061035156,269.79998779296875,1161759,2024-12-16
2024-12-23,250.60000610351562,250.60000610351562,269.94000244140625,248.3300018310547,266.6000061035156,189383,2024-12-23
2024-12-30,266.25,266.25,275.0,245.60000610351562,250.44000244140625,518855,2024-12-30
2025-01-06,249.35000610351562,249.35000610351562,269.95001220703125,247.10000610351562,269.95001220703125,356336,2025-01-06
2025-01-13,257.79998779296875,257.79998779296875,264.5,238.60000610351562,246.9499969482422,250439,2025-01-13
2025-01-20,242.4499969482422,242.4499969482422,264.79998779296875,241.0500030517578,258.0,171652,2025-01-20
2025-01-27,246.55999755859375,246.55999755859375,247.4499969482422,216.8000030517578,241.64999389648438,272584,2025-01-27
2025-02-03,250.6999969482422,250.6999969482422,256.4100036621094,239.0,243.88999938964844,130193,2025-02-03
2025-02-10,222.0399932861328,222.0399932861328,250.6999969482422,206.0,250.6999969482422,358433,2025-02-10
2025-02-17,218.00999450683594,218.00999450683594,222.9199981689453,209.47000122070312,222.0,283493,2025-02-17
2025-02-24,213.22999572753906,213.22999572753906,229.17999267578125,207.0,217.89999389648438,291544,2025-02-24
2025-03-03,212.39999389648438,212.39999389648438,217.7899932861328,193.99000549316406,210.0,559394,2025-03-03
2025-03-10,199.27999877929688,199.27999877929688,215.60000610351562,192.0,215.60000610351562,452330,2025-03-10
2025-03-17,241.9600067138672,241.9600067138672,245.6999969482422,197.0,201.1999969482422,759595,2025-03-17
2025-03-24,217.72999572753906,217.72999572753906,248.0399932861328,214.5399932861328,241.9600067138672,905483,2025-03-24
2025-03-31,225.1999969482422,225.1999969482422,229.61000061035156,214.47000122070312,217.72999572753906,125562,2025-03-31
2025-04-07,205.02000427246094,205.02000427246094,212.57000732421875,193.64999389648438,206.0500030517578,353474,2025-04-07
2025-04-14,210.97999572753906,210.97999572753906,214.5800018310547,205.02000427246094,205.02000427246094,88996,2025-04-14
2025-04-21,211.89999389648438,211.89999389648438,226.0,207.91000366210938,212.60000610351562,269211,2025-04-21
2025-04-28,201.75999450683594,201.75999450683594,217.0,201.4499969482422,217.0,162763,2025-04-28
2025-05-05,199.67999267578125,199.67999267578125,210.33999633789062,195.0,202.10000610351562,170329,2025-05-05
2025-05-12,217.83999633789062,217.83999633789062,219.5,202.0500030517578,205.0,150620,2025-05-12
2025-05-19,184.85000610351562,184.85000610351562,224.89999389648438,181.8300018310547,218.0,911521,2025-05-19
2025-05-26,190.72000122070312,190.72000122070312,201.97999572753906,184.0,185.0,840227,2025-05-26
2025-06-02,194.6300048828125,194.6300048828125,208.39999389648438,184.24000549316406,190.10000610351562,1867253,2025-06-02
2025-06-09,190.66000366210938,190.66000366210938,207.44000244140625,186.0,207.44000244140625,310177,2025-06-09
2025-06-16,187.27999877929688,187.27999877929688,196.0,185.0,188.75,163064,2025-06-16
2025-06-23,191.02000427246094,191.02000427246094,198.0,184.89999389648438,184.89999389648438,217488,2025-06-23
2025-06-30,177.47999572753906,177.47999572753906,193.60000610351562,174.7899932861328,192.0,480471,2025-06-30
2025-07-07,178.85000610351562,178.85000610351562,182.83999633789062,175.57000732421875,178.97999572753906,112135,2025-07-07
2025-07-14,174.4600067138672,174.4600067138672,182.0,174.0,179.5500030517578,103476,2025-07-14
