Date,Adj Close_PPL.NS,Close_PPL.NS,High_PPL.NS,Low_PPL.NS,Open_PPL.NS,Volume_PPL.NS,Date
2021-03-08,129.04566955566406,131.8000030517578,135.89999389648438,125.0999984741211,127.05000305175781,1116947,2021-03-08
2021-03-15,116.9537582397461,119.44999694824219,141.0,112.25,132.89999389648438,1339109,2021-03-15
2021-03-22,116.26839447021484,118.75,130.75,117.0999984741211,123.4000015258789,1068266,2021-03-22
2021-03-29,127.57701873779297,130.3000030517578,132.75,118.75,118.75,607080,2021-03-29
2021-04-05,125.3740463256836,128.0500030517578,134.8000030517578,123.05000305175781,130.9499969482422,711735,2021-04-05
2021-04-12,123.0241928100586,125.6500015258789,128.8000030517578,115.6500015258789,127.4000015258789,605622,2021-04-12
2021-04-19,124.49284362792969,127.1500015258789,131.10000610351562,116.0,123.0,735750,2021-04-19
2021-04-26,133.20684814453125,136.0500030517578,144.60000610351562,127.94999694824219,127.94999694824219,2951344,2021-04-26
2021-05-03,129.3883514404297,132.14999389648438,143.4499969482422,130.0500030517578,135.89999389648438,806743,2021-05-03
2021-05-10,130.02476501464844,132.8000030517578,138.0,129.10000610351562,134.0,858163,2021-05-10
2021-05-17,133.94119262695312,136.8000030517578,143.0,133.0500030517578,134.9499969482422,1660785,2021-05-17
2021-05-24,155.57933044433594,158.89999389648438,171.9499969482422,137.1999969482422,139.0,5506418,2021-05-24
2021-05-31,179.958984375,183.8000030517578,189.3000030517578,150.0,160.0,4532124,2021-05-31
2021-06-07,170.36376953125,174.0,186.0,170.0,186.0,1273728,2021-06-07
2021-06-14,166.88796997070312,170.4499969482422,183.35000610351562,163.0,174.5,962996,2021-06-14
2021-06-21,182.8962860107422,186.8000030517578,194.6999969482422,160.0,169.4499969482422,2431493,2021-06-21
2021-06-28,178.97988891601562,182.8000030517578,189.6999969482422,180.0500030517578,185.0500030517578,781548,2021-06-28
2021-07-05,174.3291473388672,178.0500030517578,185.1999969482422,175.0,185.1999969482422,947694,2021-07-05
2021-07-12,169.0909423828125,172.6999969482422,181.6999969482422,170.0500030517578,179.0,853658,2021-07-12
