Date,Adj Close_KIRLOSIND.NS,Close_KIRLOSIND.NS,High_KIRLOSIND.NS,Low_KIRLOSIND.NS,Open_KIRLOSIND.NS,Volume_KIRLOSIND.NS,Date
2020-07-13,620.2462158203125,631.9500122070312,638.75,617.9500122070312,638.75,2423,2020-07-13
2020-07-20,624.8099975585938,636.5999755859375,652.0,620.0,652.0,4142,2020-07-20
2020-07-27,605.376708984375,616.7999877929688,644.9500122070312,606.0,637.9500122070312,4072,2020-07-27
2020-08-03,642.4276123046875,654.5499877929688,660.0,609.9500122070312,616.7999877929688,5052,2020-08-03
2020-08-10,637.1766967773438,649.2000122070312,705.0,635.9000244140625,654.5499877929688,18457,2020-08-10
2020-08-17,657.2970581054688,669.7000122070312,671.0,623.5999755859375,649.4000244140625,18495,2020-08-17
2020-08-24,651.260986328125,663.5499877929688,699.0,645.0,669.7000122070312,26986,2020-08-24
2020-08-31,627.4600830078125,639.2999877929688,680.0,620.5499877929688,665.0,4374,2020-08-31
2020-09-07,628.6868896484375,640.5499877929688,649.7999877929688,601.9000244140625,649.7999877929688,3997,2020-09-07
2020-09-14,625.2517700195312,637.0499877929688,694.8499755859375,615.2000122070312,649.5999755859375,17901,2020-09-14
2020-09-21,592.126708984375,603.2999877929688,647.7000122070312,577.0499877929688,637.0499877929688,4812,2020-09-21
2020-09-28,633.0545043945312,645.0,680.0,588.0,632.0,8087,2020-09-28
2020-10-05,637.4220581054688,649.4500122070312,670.0,627.0,640.0499877929688,7976,2020-10-05
2020-10-12,610.725830078125,622.25,670.0,610.0,630.0499877929688,4810,2020-10-12
2020-10-19,599.733154296875,611.0499877929688,655.0,592.75,640.0,9860,2020-10-19
2020-10-26,593.2063598632812,604.4000244140625,632.0,582.9500122070312,625.0499877929688,12243,2020-10-26
2020-11-02,595.9545288085938,607.2000122070312,639.0,575.0,603.9500122070312,15212,2020-11-02
2020-11-09,629.1285400390625,641.0,659.9500122070312,590.0999755859375,620.0,32905,2020-11-09
2020-11-16,719.9154052734375,733.5,769.2000122070312,633.0,633.0,35153,2020-11-16
2020-11-23,701.7579956054688,715.0,749.9000244140625,690.0,749.7999877929688,7557,2020-11-23
2020-11-30,791.3180541992188,806.25,874.2000122070312,699.9500122070312,715.0,62763,2020-11-30
2020-12-07,789.4533081054688,804.3499755859375,839.0,764.9500122070312,806.0499877929688,31649,2020-12-07
2020-12-14,784.8893432617188,799.7000122070312,820.0,775.0,802.0499877929688,15141,2020-12-14
2020-12-21,777.82275390625,792.5,820.0,748.5999755859375,799.7000122070312,11028,2020-12-21
2020-12-28,788.0791625976562,802.9500122070312,849.2999877929688,780.0499877929688,794.75,8292,2020-12-28
2021-01-04,792.6921997070312,807.6500244140625,827.5,784.9500122070312,803.9500122070312,18774,2021-01-04
2021-01-11,809.7208251953125,825.0,875.0,780.4500122070312,815.0499877929688,22079,2021-01-11
2021-01-18,810.6532592773438,825.9500122070312,843.0,800.0499877929688,815.0,12318,2021-01-18
2021-01-25,822.0874633789062,837.5999755859375,865.0,800.6500244140625,827.0499877929688,12938,2021-01-25
2021-02-01,883.2337036132812,899.9000244140625,925.0,821.0999755859375,837.5999755859375,12273,2021-02-01
