Date,Adj Close_BLUECOAST.NS,Close_BLUECOAST.NS,High_BLUECOAST.NS,Low_BLUECOAST.NS,Open_BLUECOAST.NS,Volume_BLUECOAST.NS,Date
2020-07-13,4.0,4.0,4.400000095367432,4.0,4.400000095367432,85,2020-07-13
2020-07-20,3.799999952316284,3.799999952316284,3.950000047683716,3.6500000953674316,3.799999952316284,1129,2020-07-20
2020-07-27,3.799999952316284,3.799999952316284,3.799999952316284,3.5,3.799999952316284,646,2020-07-27
2020-08-03,3.6500000953674316,3.6500000953674316,3.799999952316284,3.6500000953674316,3.799999952316284,891,2020-08-03
2020-08-10,4.5,4.5,4.5,3.6500000953674316,3.6500000953674316,21489,2020-08-10
2020-08-17,4.699999809265137,4.699999809265137,4.949999809265137,4.5,4.5,7149,2020-08-17
2020-08-24,4.599999904632568,4.599999904632568,4.699999809265137,4.5,4.699999809265137,3242,2020-08-24
2020-08-31,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,500,2020-08-31
2020-09-07,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,0,2020-09-07
2020-09-14,4.400000095367432,4.400000095367432,4.400000095367432,4.300000190734863,4.300000190734863,5,2020-09-14
2020-09-21,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,0,2020-09-21
2020-09-28,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,153,2020-09-28
2020-10-05,4.0,4.0,4.0,4.0,4.0,100,2020-10-05
2020-10-12,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,1991,2020-10-12
2020-10-19,3.6500000953674316,3.6500000953674316,3.799999952316284,3.6500000953674316,3.799999952316284,100,2020-10-19
2020-10-26,3.3499999046325684,3.3499999046325684,3.5,3.3499999046325684,3.5,65,2020-10-26
2020-11-02,3.450000047683716,3.450000047683716,3.450000047683716,3.25,3.3499999046325684,937,2020-11-02
2020-11-09,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.450000047683716,3.450000047683716,1221,2020-11-09
2020-11-16,4.650000095367432,4.650000095367432,4.650000095367432,3.9000000953674316,3.9000000953674316,4302,2020-11-16
2020-11-23,5.5,5.5,5.5,4.650000095367432,4.650000095367432,12949,2020-11-23
2020-11-30,5.449999809265137,5.449999809265137,5.5,5.449999809265137,5.5,62,2020-11-30
2020-12-07,5.199999809265137,5.199999809265137,5.300000190734863,5.199999809265137,5.300000190734863,191,2020-12-07
2020-12-14,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,0,2020-12-14
