Date,Adj Close_SYRMA.NS,Close_SYRMA.NS,High_SYRMA.NS,Low_SYRMA.NS,Open_SYRMA.NS,Volume_SYRMA.NS,Date
2022-08-22,308.5399169921875,310.5,312.0,256.3999938964844,260.0,59961608,2022-08-22
2022-08-29,306.65191650390625,308.6000061035156,342.79998779296875,297.45001220703125,309.0,51530245,2022-08-29
2022-09-05,301.7828674316406,303.70001220703125,317.6000061035156,285.6499938964844,309.70001220703125,12627270,2022-09-05
2022-09-12,285.4366760253906,287.25,309.0,285.0,304.5,4840856,2022-09-12
2022-09-19,286.8775329589844,288.70001220703125,311.8999938964844,286.5,289.0,4639379,2022-09-19
2022-09-26,280.4185791015625,282.20001220703125,287.5,269.70001220703125,287.5,2992117,2022-09-26
2022-10-03,299.59674072265625,301.5,310.25,280.20001220703125,282.0,3995480,2022-10-03
2022-10-10,285.78448486328125,287.6000061035156,302.6000061035156,283.04998779296875,297.0,1497705,2022-10-10
2022-10-17,271.52508544921875,273.25,291.8500061035156,268.5,289.8999938964844,1688937,2022-10-17
2022-10-24,275.99664306640625,277.75,280.70001220703125,271.3999938964844,275.0,845756,2022-10-24
2022-10-31,283.5983581542969,285.3999938964844,295.0,271.1000061035156,276.54998779296875,1956051,2022-10-31
2022-11-07,284.7410888671875,286.54998779296875,298.1499938964844,283.6499938964844,289.0,1732143,2022-11-07
2022-11-14,290.852294921875,292.70001220703125,317.54998779296875,277.0,289.79998779296875,7963909,2022-11-14
2022-11-21,280.766357421875,282.54998779296875,307.79998779296875,278.0,292.8500061035156,3581400,2022-11-21
2022-11-28,280.6173095703125,282.3999938964844,289.3999938964844,279.5,284.0,1895941,2022-11-28
2022-12-05,278.4808654785156,280.25,286.0,275.0,282.70001220703125,1513961,2022-12-05
2022-12-12,282.60467529296875,284.3999938964844,308.0,276.29998779296875,279.8999938964844,3870701,2022-12-12
2022-12-19,252.54563903808594,254.14999389648438,288.20001220703125,249.14999389648438,285.79998779296875,2590364,2022-12-19
2022-12-26,279.07708740234375,280.8500061035156,285.0,255.0,255.25,1342508,2022-12-26
2023-01-02,268.44464111328125,270.1499938964844,281.0,268.95001220703125,280.8500061035156,906657,2023-01-02
