Date,Adj Close_SNOWMAN.NS,Close_SNOWMAN.NS,High_SNOWMAN.NS,Low_SNOWMAN.NS,Open_SNOWMAN.NS,Volume_SNOWMAN.NS,Date
2021-03-22,43.38719940185547,45.849998474121094,49.0,44.0,47.849998474121094,7509535,2021-03-22
2021-03-29,44.00228500366211,46.5,47.25,43.54999923706055,45.849998474121094,5650583,2021-03-29
2021-04-05,47.172340393066406,49.849998474121094,50.70000076293945,44.400001525878906,46.45000076293945,9434426,2021-04-05
2021-04-12,45.185142517089844,47.75,51.400001525878906,45.20000076293945,48.75,16433392,2021-04-12
2021-04-19,51.3833122253418,54.29999923706055,56.400001525878906,45.5,45.79999923706055,37133734,2021-04-19
2021-04-26,46.98308563232422,49.650001525878906,56.25,49.5,55.25,20621958,2021-04-26
2021-05-03,47.26697540283203,49.95000076293945,52.70000076293945,48.400001525878906,48.95000076293945,16418416,2021-05-03
2021-05-10,47.172340393066406,49.849998474121094,52.0,49.04999923706055,50.29999923706055,10579049,2021-05-10
2021-05-17,49.86925506591797,52.70000076293945,55.400001525878906,49.20000076293945,49.20000076293945,32940633,2021-05-17
2021-05-24,50.57897186279297,53.45000076293945,58.0,51.599998474121094,52.849998474121094,31874962,2021-05-24
2021-05-31,52.94468307495117,55.95000076293945,59.150001525878906,49.900001525878906,53.400001525878906,45147779,2021-05-31
2021-06-07,54.36411666870117,57.45000076293945,59.70000076293945,54.54999923706055,56.400001525878906,31983169,2021-06-07
2021-06-14,50.81554412841797,53.70000076293945,57.75,52.25,57.5,14848106,2021-06-14
2021-06-21,51.09942626953125,54.0,55.900001525878906,52.25,52.5,11017658,2021-06-21
2021-06-28,51.80914306640625,54.75,55.400001525878906,52.25,54.400001525878906,9484470,2021-06-28
2021-07-05,50.153141021728516,53.0,55.75,52.5,55.349998474121094,11136842,2021-07-05
2021-07-12,50.153141021728516,53.0,55.20000076293945,52.45000076293945,53.400001525878906,9435892,2021-07-12
2021-07-19,50.91017150878906,53.79999923706055,54.25,50.70000076293945,52.0,8947107,2021-07-19
2021-07-26,47.78742599487305,50.5,55.150001525878906,49.79999923706055,54.70000076293945,11586354,2021-07-26
2021-08-02,45.42171859741211,48.0,51.599998474121094,46.400001525878906,50.900001525878906,6270488,2021-08-02
2021-08-09,43.10331344604492,45.54999923706055,48.400001525878906,43.70000076293945,48.29999923706055,4488097,2021-08-09
2021-08-16,40.406402587890625,42.70000076293945,45.54999923706055,42.5,45.5,2350745,2021-08-16
2021-08-23,40.311771392822266,42.599998474121094,43.45000076293945,39.5,43.29999923706055,4002077,2021-08-23
2021-08-30,42.72480010986328,45.150001525878906,47.20000076293945,42.650001525878906,42.95000076293945,4273929,2021-08-30
2021-09-06,42.72480010986328,45.150001525878906,46.95000076293945,43.79999923706055,45.45000076293945,4500335,2021-09-06
2021-09-13,41.494625091552734,43.849998474121094,45.79999923706055,43.599998474121094,45.150001525878906,3199809,2021-09-13
2021-09-20,40.35908889770508,42.650001525878906,44.599998474121094,41.599998474121094,43.70000076293945,3102366,2021-09-20
2021-09-27,40.83222961425781,43.150001525878906,43.75,41.95000076293945,43.0,2186332,2021-09-27
2021-10-04,40.926856994628906,43.25,44.79999923706055,42.95000076293945,43.150001525878906,4727116,2021-10-04
2021-10-11,40.59566116333008,42.900001525878906,43.650001525878906,42.04999923706055,43.400001525878906,3402231,2021-10-11
2021-10-18,42.062400817871094,44.45000076293945,47.5,42.25,42.900001525878906,17421969,2021-10-18
2021-10-25,38.703086853027344,40.900001525878906,44.75,39.849998474121094,44.150001525878906,5549484,2021-10-25
2021-11-01,40.50102615356445,42.79999923706055,43.20000076293945,40.5,41.0,4173235,2021-11-01
2021-11-08,39.60205841064453,41.849998474121094,44.349998474121094,41.70000076293945,42.900001525878906,5014157,2021-11-08
2021-11-15,38.608455657958984,40.79999923706055,42.70000076293945,40.650001525878906,42.0,2065722,2021-11-15
2021-11-22,37.52022933959961,39.650001525878906,41.54999923706055,39.099998474121094,41.04999923706055,3175791,2021-11-22
2021-11-29,37.094398498535156,39.20000076293945,40.20000076293945,37.45000076293945,39.150001525878906,2075701,2021-11-29
2021-12-06,38.845027923583984,41.04999923706055,41.25,37.900001525878906,39.45000076293945,2793237,2021-12-06
2021-12-13,36.62125778198242,38.70000076293945,42.25,38.54999923706055,41.150001525878906,3000354,2021-12-13
