Date,Adj Close_NUVAMA.NS,Close_NUVAMA.NS,High_NUVAMA.NS,Low_NUVAMA.NS,Open_NUVAMA.NS,Volume_NUVAMA.NS,Date
2023-09-25,2333.989990234375,2410.25,2790.0,2242.0,2750.0,316308,2023-09-25
2023-10-02,2213.18701171875,2285.5,2389.0,2100.0,2389.0,378086,2023-10-02
2023-10-09,2271.191650390625,2345.39990234375,2440.0,2201.550048828125,2289.0,98917,2023-10-09
2023-10-16,2480.9384765625,2562.0,2590.0,2302.0,2302.0,272878,2023-10-16
2023-10-23,2627.7421875,2713.60009765625,2752.949951171875,2460.25,2565.0,225643,2023-10-23
2023-10-30,2787.763671875,2878.85009765625,3010.10009765625,2810.10009765625,2900.0,355822,2023-10-30
2023-11-06,2627.984130859375,2713.85009765625,2901.14990234375,2618.64990234375,2897.0,555367,2023-11-06
2023-11-13,3023.026611328125,3121.800048828125,3174.60009765625,2712.60009765625,2740.0,1363589,2023-11-13
2023-11-20,3064.0849609375,3164.199951171875,3314.0,3056.0,3149.0,712153,2023-11-20
2023-11-27,3075.560302734375,3176.050048828125,3220.0,3080.0,3165.10009765625,327359,2023-11-27
2023-12-04,3065.053466796875,3165.199951171875,3450.0,3108.39990234375,3450.0,662257,2023-12-04
2023-12-11,3594.794921875,3712.25,3770.0,3151.050048828125,3194.0,1003921,2023-12-11
2023-12-18,3507.739501953125,3622.35009765625,3745.0,3475.0,3666.14990234375,311671,2023-12-18
2023-12-25,3476.364013671875,3589.949951171875,3730.0,3544.64990234375,3625.0,123214,2023-12-25
2024-01-01,3520.71533203125,3635.75,3691.050048828125,3515.0,3620.0,135953,2024-01-01
2024-01-08,3589.7109375,3707.0,3752.10009765625,3425.050048828125,3635.75,301401,2024-01-08
2024-01-15,3315.6162109375,3423.949951171875,3799.949951171875,3369.050048828125,3799.949951171875,356168,2024-01-15
2024-01-22,3394.7314453125,3505.64990234375,3525.0,3255.0,3423.949951171875,144791,2024-01-22
2024-01-29,3293.780029296875,3401.39990234375,3671.0,3380.0,3550.0,312153,2024-01-29
2024-02-05,3341.520263671875,3450.699951171875,3477.0,3170.699951171875,3390.10009765625,355690,2024-02-05
2024-02-12,4049.052734375,4181.35009765625,4352.0,3302.449951171875,3500.0,1099089,2024-02-12
2024-02-19,4295.2578125,4435.60009765625,4548.9501953125,4181.35009765625,4199.60009765625,397415,2024-02-19
2024-02-26,3967.855712890625,4097.5,4440.0,4014.050048828125,4440.0,150133,2024-02-26
2024-03-04,3955.896240234375,4085.14990234375,4460.0,4021.800048828125,4116.5,232948,2024-03-04
2024-03-11,4072.196044921875,4205.25,4374.7001953125,3760.800048828125,4146.4501953125,781682,2024-03-11
2024-03-18,4095.630859375,4229.4501953125,4297.0,3949.35009765625,4184.5,220507,2024-03-18
2024-03-25,4523.88818359375,4671.7001953125,4849.0,4090.800048828125,4250.0,429976,2024-03-25
2024-04-01,4802.09765625,4959.0,5001.0,4595.60009765625,4747.0,416211,2024-04-01
2024-04-08,5243.234375,5414.5498046875,5475.0,4976.64990234375,5020.0,378409,2024-04-08
2024-04-15,5130.0322265625,5297.64990234375,5401.64990234375,5158.5,5200.0,170190,2024-04-15
2024-04-22,5179.564453125,5348.7998046875,5500.0,5180.0,5388.0,215363,2024-04-22
2024-04-29,5068.5419921875,5234.14990234375,5384.89990234375,5151.0,5350.0,88304,2024-04-29
2024-05-06,4873.4658203125,5032.7001953125,5440.7001953125,4970.0,5384.0,222077,2024-05-06
2024-05-13,4764.9130859375,4920.60009765625,5280.0,4740.0,5100.5,413679,2024-05-13
2024-05-20,4611.57275390625,4762.25,4970.0498046875,4581.0,4969.9501953125,318961,2024-05-20
2024-05-27,4686.86279296875,4840.0,5136.0,4715.0,4764.0,335874,2024-05-27
2024-06-03,5036.29541015625,5200.85009765625,5250.0,4120.0,5081.7998046875,439995,2024-06-03
2024-06-10,4907.7939453125,5068.14990234375,5219.64990234375,4960.0498046875,5207.0,177043,2024-06-10
2024-06-17,4937.474609375,5098.7998046875,5350.0,5020.0,5089.9501953125,249613,2024-06-17
2024-06-24,4798.51416015625,4955.2998046875,5150.0,4790.0,5124.89990234375,228140,2024-06-24
2024-07-01,4618.6416015625,4769.5498046875,5150.0,4730.0,5050.0,298191,2024-07-01
2024-07-08,4651.75927734375,4803.75,4950.0,4675.0,4769.9501953125,273668,2024-07-08
2024-07-15,4650.01708984375,4801.9501953125,4980.0,4700.0,4850.0,163648,2024-07-15
2024-07-22,5522.7998046875,5703.25,5750.0,4600.0,4775.0,680091,2024-07-22
2024-07-29,6211.44873046875,6414.39990234375,6719.0,5720.0,5850.0,960486,2024-07-29
2024-08-05,6128.3154296875,6328.5498046875,6512.0,5758.7001953125,6364.9501953125,454000,2024-08-05
2024-08-12,6038.5732421875,6148.5,6453.7998046875,5973.85009765625,6275.0,206948,2024-08-12
2024-08-19,6204.6005859375,6317.5498046875,6898.85009765625,6170.0,6249.35009765625,1628639,2024-08-19
2024-08-26,6331.44140625,6446.7001953125,6799.39990234375,6201.10009765625,6311.64990234375,320102,2024-08-26
2024-09-02,6431.37255859375,6548.4501953125,6875.0,6418.39990234375,6494.35009765625,565814,2024-09-02
2024-09-09,6835.12255859375,6959.5498046875,7052.0,6440.0,6599.4501953125,428729,2024-09-09
2024-09-16,6823.484375,6947.7001953125,7023.89990234375,6485.0,7023.85009765625,342214,2024-09-16
2024-09-23,6720.3125,6842.64990234375,7100.0,6611.0,6947.7001953125,607577,2024-09-23
2024-09-30,5790.4892578125,5895.89990234375,7000.0,5849.9501953125,6880.0,1008713,2024-09-30
2024-10-07,6571.66796875,6691.2998046875,6748.0,5850.5498046875,5999.0,764076,2024-10-07
2024-10-14,7001.4443359375,7128.89990234375,7395.5,6628.5498046875,6729.0,803087,2024-10-14
2024-10-21,6560.03076171875,6679.4501953125,7233.5,6481.9501953125,7159.0,839227,2024-10-21
2024-10-28,6966.62890625,7093.4501953125,7124.0,6520.0,6850.0,491033,2024-10-28
2024-11-04,6868.12158203125,6993.14990234375,7489.75,6899.5,7151.9501953125,485665,2024-11-04
2024-11-11,6664.279296875,6727.60009765625,7017.89990234375,6273.0498046875,7000.0,444662,2024-11-11
2024-11-18,6424.0615234375,6485.10009765625,6829.7001953125,6350.0,6739.89990234375,259190,2024-11-18
2024-11-25,6503.40771484375,6565.2001953125,6800.0,6476.0,6570.0,379636,2024-11-25
2024-12-02,6961.95068359375,7028.10009765625,7105.0,6558.0,6590.14990234375,391767,2024-12-02
2024-12-09,6840.60400390625,6905.60009765625,7648.0,6825.0,7020.0,6656678,2024-12-09
2024-12-16,6786.220703125,6850.7001953125,6998.0,6777.75,6907.0,890727,2024-12-16
2024-12-23,6777.30517578125,6841.7001953125,6904.39990234375,6750.0,6824.0,266729,2024-12-23
2024-12-30,6946.00244140625,7012.0,7300.0,6808.5498046875,6854.7001953125,480310,2024-12-30
2025-01-06,6592.015625,6654.64990234375,7090.35009765625,6498.9501953125,7062.0,670390,2025-01-06
2025-01-13,5998.45556640625,6055.4501953125,6729.0,5934.7998046875,6659.0498046875,620596,2025-01-13
2025-01-20,5546.25244140625,5598.9501953125,6259.9501953125,5446.64990234375,6055.4501953125,598496,2025-01-20
2025-01-27,5398.60498046875,5449.89990234375,5643.75,4970.7001953125,5529.0,860360,2025-01-27
2025-02-03,5631.6904296875,5685.2001953125,6050.0,5077.2998046875,5400.0,1147933,2025-02-03
2025-02-10,5237.98095703125,5287.75,5675.0,5210.0498046875,5675.0,336018,2025-02-10
2025-02-17,5562.9931640625,5615.85009765625,5739.7998046875,5113.35009765625,5287.75,335641,2025-02-17
2025-02-24,5349.669921875,5400.5,5649.0,5150.5,5574.89990234375,431981,2025-02-24
2025-03-03,5411.38330078125,5462.7998046875,5556.5498046875,4900.0,5455.14990234375,423625,2025-03-03
2025-03-10,5006.62939453125,5054.2001953125,5718.0,5025.0,5479.0,476104,2025-03-10
2025-03-17,6284.833984375,6344.5498046875,6399.0,5055.89990234375,5057.2001953125,1257607,2025-03-17
2025-03-24,6018.51513671875,6075.7001953125,6364.7998046875,5975.2001953125,6353.35009765625,506455,2025-03-24
2025-03-31,5601.67529296875,5654.89990234375,6148.2998046875,5585.0,6095.0498046875,365553,2025-03-31
2025-04-07,5462.2998046875,5514.2001953125,5668.0,4735.4501953125,4735.4501953125,379582,2025-04-07
2025-04-14,5909.84716796875,5966.0,6032.5,5640.5,5709.0,237060,2025-04-14
2025-04-21,6209.0048828125,6268.0,6350.5,5851.0,5999.0,536823,2025-04-21
2025-04-28,5999.00048828125,6056.0,6421.0,5977.5,6268.0,233228,2025-04-28
2025-05-05,5877.15771484375,5933.0,6061.0,5651.0,5912.0,343730,2025-05-05
2025-05-12,6643.873046875,6707.0,6800.0,6002.0,6048.0,433469,2025-05-12
2025-05-19,6741.94140625,6806.0,6971.0,6435.5,6707.0,395048,2025-05-19
2025-05-26,7126.78466796875,7194.5,7310.0,6784.5,6830.0,733588,2025-05-26
2025-06-02,7296.17529296875,7365.5,7415.0,7120.0,7244.5,618021,2025-06-02
2025-06-09,7088.0,7088.0,7800.0,6968.0,7401.5,610734,2025-06-09
2025-06-16,6882.5,6882.5,7437.5,6828.0,7113.0,617121,2025-06-16
2025-06-23,8287.5,8287.5,8508.0,6805.5,6870.0,909369,2025-06-23
2025-06-30,7261.0,7261.0,8508.5,7205.0,8376.5,1403840,2025-06-30
2025-07-07,7318.0,7318.0,7650.0,7135.5,7251.0,1243401,2025-07-07
2025-07-14,7531.5,7531.5,7575.0,7360.0,7422.5,247047,2025-07-14
