Date,Adj Close_BSOFT.NS,Close_BSOFT.NS,High_BSOFT.NS,Low_BSOFT.NS,Open_BSOFT.NS,Volume_BSOFT.NS,Date
2020-07-13,102.34818267822266,108.5999984741211,112.69999694824219,101.6500015258789,101.6500015258789,12578542,2020-07-13
2020-07-20,98.43708038330078,104.44999694824219,109.5999984741211,101.5,109.30000305175781,5561411,2020-07-20
2020-07-27,113.37466430664062,120.30000305175781,122.19999694824219,104.69999694824219,107.94999694824219,23470440,2020-07-27
2020-08-03,134.62652587890625,142.85000610351562,149.5,117.75,120.25,37142417,2020-08-03
2020-08-10,143.20265197753906,151.9499969482422,157.39999389648438,140.64999389648438,143.6999969482422,13429835,2020-08-10
2020-08-17,164.34580993652344,173.1999969482422,187.6999969482422,148.75,154.0,39911078,2020-08-17
2020-08-24,163.96627807617188,172.8000030517578,182.9499969482422,169.39999389648438,173.0,10787578,2020-08-24
2020-08-31,159.31675720214844,167.89999389648438,175.39999389648438,154.10000610351562,175.10000610351562,7009780,2020-08-31
2020-09-07,157.70370483398438,166.1999969482422,176.1999969482422,161.10000610351562,167.8000030517578,8990553,2020-09-07
2020-09-14,185.6956024169922,195.6999969482422,206.5,165.5500030517578,170.14999389648438,24025845,2020-09-14
2020-09-21,181.0935516357422,190.85000610351562,203.5,172.0,195.89999389648438,13147940,2020-09-21
2020-09-28,184.6044158935547,194.5500030517578,201.8000030517578,192.10000610351562,194.75,5043582,2020-09-28
2020-10-05,188.25758361816406,198.39999389648438,210.39999389648438,193.10000610351562,196.89999389648438,11210155,2020-10-05
2020-10-12,180.99864196777344,190.75,205.6999969482422,172.1999969482422,198.60000610351562,8759841,2020-10-12
2020-10-19,183.37088012695312,193.25,200.4499969482422,186.0500030517578,191.14999389648438,3452794,2020-10-19
2020-10-26,169.6121063232422,178.75,194.39999389648438,173.0,191.0,4231566,2020-10-26
2020-11-02,171.55731201171875,180.8000030517578,188.0,173.14999389648438,180.39999389648438,3472470,2020-11-02
2020-11-09,172.60108947753906,181.89999389648438,186.0,175.10000610351562,184.0,3734548,2020-11-09
2020-11-16,174.4314727783203,182.8000030517578,189.6999969482422,177.1999969482422,181.35000610351562,2778746,2020-11-16
2020-11-23,188.55392456054688,197.60000610351562,200.0,183.0,184.1999969482422,6300088,2020-11-23
2020-11-30,179.63194274902344,188.25,199.9499969482422,185.0,197.60000610351562,3013097,2020-11-30
2020-12-07,191.41659545898438,200.60000610351562,208.6999969482422,188.5,189.9499969482422,11493401,2020-12-07
2020-12-14,197.66668701171875,207.14999389648438,217.9499969482422,194.14999389648438,201.89999389648438,10470562,2020-12-14
2020-12-21,243.03988647460938,254.6999969482422,276.0,195.0500030517578,214.1999969482422,28215621,2020-12-21
2020-12-28,237.79165649414062,249.1999969482422,260.0,246.0,256.8999938964844,6026503,2020-12-28
2021-01-04,252.39129638671875,264.5,274.95001220703125,247.0,251.0,9021685,2021-01-04
2021-01-11,245.80711364746094,257.6000061035156,282.0,252.0,267.8999938964844,6393022,2021-01-11
2021-01-18,237.4099884033203,248.8000030517578,264.0,236.0,257.54998779296875,3811608,2021-01-18
2021-01-25,238.74591064453125,250.1999969482422,261.79998779296875,239.0,250.0,2427026,2021-01-25
2021-02-01,258.9753723144531,271.3999938964844,277.0,242.89999389648438,247.4499969482422,7835910,2021-02-01
2021-02-08,233.16371154785156,244.35000610351562,285.0,241.0500030517578,283.0,6184518,2021-02-08
2021-02-15,227.34295654296875,238.25,248.5500030517578,236.0500030517578,247.0,3853525,2021-02-15
2021-02-22,216.5125732421875,226.89999389648438,239.9499969482422,225.3000030517578,239.0,4422538,2021-02-22
2021-03-01,223.0489959716797,233.75,246.89999389648438,223.0,229.0,3749017,2021-03-01
2021-03-08,233.21139526367188,244.39999389648438,251.14999389648438,224.1999969482422,234.10000610351562,5664018,2021-03-08
2021-03-15,233.78396606445312,245.0,259.8999938964844,225.64999389648438,245.64999389648438,8993502,2021-03-15
2021-03-22,241.27459716796875,252.85000610351562,261.8500061035156,240.4499969482422,243.0,7365561,2021-03-22
2021-03-29,250.14883422851562,262.1499938964844,268.5,248.9499969482422,252.85000610351562,5696657,2021-03-29
2021-04-05,259.3093566894531,271.75,278.79998779296875,256.5,262.6499938964844,10904864,2021-04-05
2021-04-12,241.27459716796875,252.85000610351562,268.3500061035156,248.5,268.3500061035156,3066727,2021-04-12
2021-04-19,243.27845764160156,254.9499969482422,257.3999938964844,241.0,247.0,2115414,2021-04-19
2021-04-26,234.451904296875,245.6999969482422,261.5,244.0,257.79998779296875,2595133,2021-04-26
2021-05-03,240.84518432617188,252.39999389648438,257.0,240.3000030517578,245.0,4320908,2021-05-03
2021-05-10,244.42349243164062,256.1499938964844,259.70001220703125,248.14999389648438,253.64999389648438,2951971,2021-05-10
2021-05-17,254.87222290039062,267.1000061035156,277.0,215.89999389648438,258.0,7745339,2021-05-17
2021-05-24,306.97265625,321.70001220703125,342.0,280.0,280.0,30249938,2021-05-24
2021-05-31,318.04156494140625,333.29998779296875,339.29998779296875,305.25,323.3500061035156,8391616,2021-05-31
2021-06-07,383.97821044921875,402.3999938964844,421.3500061035156,336.0,336.3500061035156,31510955,2021-06-07
2021-06-14,375.9627380371094,394.0,414.3999938964844,375.0,405.8999938964844,13068177,2021-06-14
2021-06-21,365.0846252441406,382.6000061035156,396.8999938964844,380.5,385.0,8829115,2021-06-21
2021-06-28,379.2071228027344,397.3999938964844,408.0,379.6499938964844,383.8999938964844,8639167,2021-06-28
2021-07-05,370.18975830078125,387.95001220703125,399.5,381.29998779296875,398.04998779296875,5985304,2021-07-05
2021-07-12,400.8201904296875,420.04998779296875,434.8500061035156,384.0,390.0,24900496,2021-07-12
2021-07-19,382.2231750488281,398.0,420.3999938964844,387.0,413.8500061035156,12095989,2021-07-19
2021-07-26,385.728515625,401.6499938964844,415.0,395.0,400.79998779296875,15544241,2021-07-26
2021-08-02,386.4007873535156,402.3500061035156,407.0,389.79998779296875,405.0,7231557,2021-08-02
2021-08-09,404.9837646484375,421.70001220703125,436.6499938964844,394.6000061035156,403.8999938964844,19398899,2021-08-09
2021-08-16,398.2612609863281,414.70001220703125,441.29998779296875,412.0,421.0,8905706,2021-08-16
2021-08-23,390.86639404296875,407.0,421.8500061035156,398.0,417.70001220703125,6391294,2021-08-23
2021-08-30,398.2612609863281,414.70001220703125,426.70001220703125,406.0,410.0,8706137,2021-08-30
2021-09-06,387.64923095703125,403.6499938964844,418.5,398.45001220703125,417.20001220703125,5126600,2021-09-06
2021-09-13,403.78326416015625,420.45001220703125,438.0,403.0,405.6000061035156,11290404,2021-09-13
2021-09-20,427.1679992675781,444.79998779296875,457.79998779296875,403.0,412.54998779296875,13847648,2021-09-20
2021-09-27,381.5028991699219,397.25,447.20001220703125,395.20001220703125,447.0,8615080,2021-09-27
2021-10-04,418.1406555175781,435.3999938964844,441.0,401.0,401.0,8908662,2021-10-04
2021-10-11,413.1467590332031,430.20001220703125,436.0,416.1000061035156,435.3999938964844,5285389,2021-10-11
2021-10-18,398.2132263183594,414.6499938964844,445.79998779296875,404.0,433.45001220703125,8003120,2021-10-18
2021-10-25,390.3382263183594,406.45001220703125,424.54998779296875,393.20001220703125,415.0,10616031,2021-10-25
2021-11-01,392.54705810546875,408.75,416.70001220703125,401.5,409.75,3317894,2021-11-01
2021-11-08,410.26849365234375,425.6499938964844,443.45001220703125,405.0,410.0,11079986,2021-11-08
2021-11-15,452.2929382324219,469.25,501.70001220703125,418.5,428.3500061035156,42530403,2021-11-15
2021-11-22,454.26885986328125,471.29998779296875,513.9500122070312,441.1000061035156,473.0,41309091,2021-11-22
2021-11-29,465.4979248046875,482.95001220703125,498.75,447.0,465.20001220703125,18417726,2021-11-29
2021-12-06,461.69061279296875,479.0,490.5,464.45001220703125,485.0,9760418,2021-12-06
2021-12-13,479.85943603515625,497.8500061035156,521.9000244140625,481.3500061035156,482.3500061035156,32007838,2021-12-13
2021-12-20,511.3778381347656,530.5499877929688,538.4000244140625,457.75,488.0,37124832,2021-12-20
2021-12-27,525.0165405273438,544.7000122070312,549.3499755859375,521.2000122070312,529.0,19141161,2021-12-27
2022-01-03,556.4384155273438,577.2999877929688,582.4000244140625,537.2000122070312,547.5999755859375,22911213,2022-01-03
2022-01-10,536.8720092773438,557.0,585.8499755859375,553.0,579.7999877929688,13099696,2022-01-10
2022-01-17,469.6424865722656,487.25,562.9500122070312,482.1000061035156,557.0,17086683,2022-01-17
2022-01-24,429.0156555175781,445.1000061035156,483.0,431.0,478.54998779296875,20645080,2022-01-24
2022-01-31,450.50982666015625,467.3999938964844,486.8999938964844,451.3500061035156,457.29998779296875,15574408,2022-01-31
2022-02-07,436.630126953125,453.0,473.0,440.45001220703125,469.6000061035156,9777451,2022-02-07
2022-02-14,411.28057861328125,426.70001220703125,459.0,418.54998779296875,430.0,10896604,2022-02-14
2022-02-21,388.96710205078125,403.54998779296875,425.04998779296875,380.0,424.95001220703125,15232022,2022-02-21
2022-02-28,422.1240539550781,437.95001220703125,445.5,390.45001220703125,397.1000061035156,13897361,2022-02-28
2022-03-07,436.8711242675781,453.25,470.0,424.6499938964844,430.0,13176805,2022-03-07
2022-03-14,427.9072265625,443.95001220703125,458.8500061035156,433.20001220703125,450.5,6622674,2022-03-14
2022-03-21,449.06396484375,465.8999938964844,486.0,441.5,448.95001220703125,18153628,2022-03-21
2022-03-28,449.73870849609375,466.6000061035156,468.79998779296875,449.45001220703125,466.8999938964844,9183287,2022-03-28
2022-04-04,471.9075622558594,489.6000061035156,498.0,467.0,471.0,17424403,2022-04-04
2022-04-11,436.0518493652344,452.3999938964844,501.6000061035156,425.1499938964844,490.0,23155469,2022-04-11
2022-04-18,404.6299133300781,419.79998779296875,445.0,414.0,445.0,17899815,2022-04-18
2022-04-25,398.943115234375,413.8999938964844,430.54998779296875,405.1000061035156,419.0,9394884,2022-04-25
2022-05-02,380.5815124511719,394.8500061035156,419.1000061035156,388.1499938964844,405.6499938964844,8239215,2022-05-02
2022-05-09,345.01495361328125,357.95001220703125,391.75,348.04998779296875,390.0,13149344,2022-05-09
2022-05-16,369.6416320800781,383.5,401.0,355.25,364.0,9495344,2022-05-16
2022-05-23,349.5450744628906,362.6499938964844,387.6499938964844,338.25,385.5,14380026,2022-05-23
2022-05-30,367.6657409667969,381.45001220703125,390.5,363.6000061035156,368.70001220703125,10362705,2022-05-30
2022-06-06,344.388427734375,357.29998779296875,381.3999938964844,356.0,381.3999938964844,6188705,2022-06-06
2022-06-13,318.5086669921875,330.45001220703125,364.0,329.0,349.0,9823668,2022-06-13
2022-06-20,348.5812072753906,361.6499938964844,363.54998779296875,316.45001220703125,334.0,10376848,2022-06-20
2022-06-27,336.8221435546875,349.45001220703125,378.0,343.54998779296875,365.8999938964844,11184133,2022-06-27
2022-07-04,331.231689453125,343.6499938964844,357.54998779296875,337.25,354.8999938964844,10159992,2022-07-04
2022-07-11,298.4121398925781,309.6000061035156,346.79998779296875,306.79998779296875,342.0,19906908,2022-07-11
2022-07-18,324.262451171875,333.5,343.5,311.04998779296875,312.3500061035156,13172339,2022-07-18
2022-07-25,326.69317626953125,336.0,340.75,316.0,333.0,10653120,2022-07-25
