Date,Adj Close_FMGOETZE.NS,Close_FMGOETZE.NS,High_FMGOETZE.NS,Low_FMGOETZE.NS,Open_FMGOETZE.NS,Volume_FMGOETZE.NS,Date
2020-07-13,365.45001220703125,365.45001220703125,375.0,350.0,369.95001220703125,3361,2020-07-13
2020-07-20,350.3500061035156,350.3500061035156,374.0,347.75,365.45001220703125,8028,2020-07-20
2020-07-27,361.79998779296875,361.79998779296875,378.0,341.0,348.04998779296875,7325,2020-07-27
2020-08-03,351.04998779296875,351.04998779296875,370.0,343.75,362.04998779296875,17251,2020-08-03
2020-08-10,375.3999938964844,375.3999938964844,405.0,347.0,354.20001220703125,31649,2020-08-10
2020-08-17,422.79998779296875,422.79998779296875,427.95001220703125,376.20001220703125,380.0,86045,2020-08-17
2020-08-24,411.95001220703125,411.95001220703125,438.0,400.1499938964844,438.0,97149,2020-08-24
2020-08-31,389.79998779296875,389.79998779296875,418.8999938964844,371.1000061035156,418.8999938964844,30478,2020-08-31
2020-09-07,376.70001220703125,376.70001220703125,393.75,367.6000061035156,385.29998779296875,10339,2020-09-07
2020-09-14,378.20001220703125,378.20001220703125,400.8500061035156,374.0,379.95001220703125,18092,2020-09-14
2020-09-21,344.1499938964844,344.1499938964844,381.45001220703125,340.1000061035156,378.95001220703125,17979,2020-09-21
2020-09-28,438.79998779296875,438.79998779296875,449.8999938964844,343.1499938964844,354.8999938964844,250403,2020-09-28
2020-10-05,438.8500061035156,438.8500061035156,465.0,422.0,432.04998779296875,172517,2020-10-05
2020-10-12,339.70001220703125,339.70001220703125,416.95001220703125,339.70001220703125,416.95001220703125,64978,2020-10-12
2020-10-19,290.6000061035156,290.6000061035156,331.0,264.20001220703125,322.79998779296875,1118931,2020-10-19
2020-10-26,258.45001220703125,258.45001220703125,298.8999938964844,254.64999389648438,294.0,339244,2020-10-26
2020-11-02,258.0,258.0,264.0,246.10000610351562,264.0,185709,2020-11-02
2020-11-09,292.1000061035156,292.1000061035156,294.54998779296875,255.0,262.8500061035156,170680,2020-11-09
2020-11-16,282.29998779296875,282.29998779296875,298.45001220703125,278.0,282.20001220703125,111380,2020-11-16
2020-11-23,330.6499938964844,330.6499938964844,334.1000061035156,288.0,289.8999938964844,424212,2020-11-23
