Date,Adj Close_EXIDEIND.NS,Close_EXIDEIND.NS,High_EXIDEIND.NS,Low_EXIDEIND.NS,Open_EXIDEIND.NS,Volume_EXIDEIND.NS,Date
2020-07-13,154.22238159179688,159.4499969482422,161.35000610351562,152.5500030517578,153.9499969482422,8904675,2020-07-13
2020-07-20,152.9650115966797,158.14999389648438,162.75,155.89999389648438,162.10000610351562,16372342,2020-07-20
2020-07-27,150.54696655273438,155.64999389648438,158.0,150.39999389648438,158.0,14524417,2020-07-27
2020-08-03,156.59205627441406,161.89999389648438,165.4499969482422,153.0,155.60000610351562,36315688,2020-08-03
2020-08-10,157.5592803955078,162.89999389648438,169.5500030517578,161.10000610351562,161.89999389648438,15907466,2020-08-10
2020-08-17,165.10354614257812,170.6999969482422,173.5,162.3000030517578,163.5,23195080,2020-08-17
2020-08-24,166.699462890625,172.35000610351562,178.39999389648438,168.64999389648438,171.9499969482422,25998393,2020-08-24
2020-08-31,158.28468322753906,163.64999389648438,174.14999389648438,158.85000610351562,174.0,22570980,2020-08-31
2020-09-07,150.54696655273438,155.64999389648438,164.64999389648438,153.60000610351562,164.10000610351562,13884421,2020-09-07
2020-09-14,161.76666259765625,167.25,169.5,156.39999389648438,156.64999389648438,19718197,2020-09-14
2020-09-21,155.81829833984375,161.10000610351562,166.89999389648438,153.8000030517578,166.89999389648438,22636007,2020-09-21
2020-09-28,157.65599060058594,163.0,167.39999389648438,161.89999389648438,164.8000030517578,13923066,2020-09-28
2020-10-05,158.96173095703125,164.35000610351562,168.85000610351562,162.10000610351562,164.6999969482422,14457928,2020-10-05
2020-10-12,154.5609130859375,159.8000030517578,165.3000030517578,155.5,165.0,10415382,2020-10-12
2020-10-19,156.7371368408203,162.0500030517578,163.35000610351562,156.14999389648438,160.0,14276443,2020-10-19
2020-10-26,153.8354949951172,159.0500030517578,165.64999389648438,155.0,162.64999389648438,15147624,2020-10-26
2020-11-02,158.816650390625,164.1999969482422,165.0,157.10000610351562,159.14999389648438,12493435,2020-11-02
2020-11-09,163.84617614746094,169.39999389648438,171.8000030517578,161.3000030517578,165.0,31541506,2020-11-09
2020-11-16,166.16748046875,171.8000030517578,172.89999389648438,167.4499969482422,168.75,19427370,2020-11-16
2020-11-23,178.78964233398438,184.85000610351562,186.39999389648438,169.64999389648438,173.60000610351562,34299656,2020-11-23
2020-11-30,180.7240753173828,186.85000610351562,188.89999389648438,180.9499969482422,184.85000610351562,18473151,2020-11-30
2020-12-07,187.34950256347656,193.6999969482422,195.0,186.4499969482422,187.5500030517578,22612711,2020-12-07
2020-12-14,184.1093292236328,190.35000610351562,197.4499969482422,188.0,194.60000610351562,16376756,2020-12-14
2020-12-21,177.3871612548828,183.39999389648438,192.6999969482422,174.6999969482422,191.89999389648438,16020355,2020-12-21
2020-12-28,185.0765380859375,191.35000610351562,193.5,184.10000610351562,184.9499969482422,17924165,2020-12-28
2021-01-04,191.8470458984375,198.35000610351562,201.8000030517578,190.89999389648438,192.35000610351562,25233857,2021-01-04
2021-01-11,193.73312377929688,200.3000030517578,209.1999969482422,196.64999389648438,199.3000030517578,32213735,2021-01-11
2021-01-18,194.07162475585938,200.64999389648438,206.89999389648438,190.39999389648438,200.3000030517578,26044564,2021-01-18
2021-01-25,187.1560516357422,193.5,205.1999969482422,191.0,203.25,24317324,2021-01-25
2021-02-01,197.0699920654297,203.75,209.0,187.60000610351562,193.9499969482422,34337603,2021-02-01
2021-02-08,206.43978881835938,211.35000610351562,219.3000030517578,204.75,205.39999389648438,45027573,2021-02-08
2021-02-15,199.70008850097656,204.4499969482422,215.39999389648438,202.10000610351562,213.10000610351562,24161592,2021-02-15
2021-02-22,197.99075317382812,202.6999969482422,209.5500030517578,198.39999389648438,205.0,23219906,2021-02-22
2021-03-01,199.3582305908203,204.10000610351562,211.5500030517578,203.0,204.5,15541656,2021-03-01
