Date,Adj Close_CHEMCON.NS,Close_CHEMCON.NS,High_CHEMCON.NS,Low_CHEMCON.NS,Open_CHEMCON.NS,Volume_CHEMCON.NS,Date
2020-09-28,578.9600219726562,584.7999877929688,731.25,584.7999877929688,731.0,15779086,2020-09-28
2020-10-05,481.3941650390625,486.25,566.7000122070312,481.75,551.0999755859375,13494717,2020-10-05
2020-10-12,400.7575378417969,404.79998779296875,482.75,398.04998779296875,482.75,7389401,2020-10-12
2020-10-19,425.9039001464844,430.20001220703125,442.8500061035156,404.04998779296875,410.75,3835284,2020-10-19
2020-10-26,407.4896545410156,411.6000061035156,432.5,398.0,432.0,2509099,2020-10-26
2020-11-02,439.96209716796875,444.3999938964844,456.0,413.1499938964844,418.1000061035156,2489250,2020-11-02
2020-11-09,417.6372985839844,421.8500061035156,434.0,412.1499938964844,433.79998779296875,1773335,2020-11-09
2020-11-16,414.46923828125,418.6499938964844,424.3999938964844,412.5,418.54998779296875,1112452,2020-11-16
2020-11-23,414.1227111816406,418.29998779296875,434.0,414.75,418.6499938964844,1136558,2020-11-23
2020-11-30,441.0016174316406,445.45001220703125,460.8500061035156,416.1499938964844,418.29998779296875,2092736,2020-11-30
2020-12-07,426.84442138671875,431.1499938964844,466.0,428.95001220703125,447.8999938964844,1511010,2020-12-07
2020-12-14,422.1913757324219,426.45001220703125,441.6499938964844,424.0,432.6000061035156,1065881,2020-12-14
2020-12-21,406.94512939453125,411.04998779296875,428.29998779296875,400.04998779296875,428.29998779296875,1561780,2020-12-21
2020-12-28,495.3038635253906,500.29998779296875,535.9000244140625,412.1499938964844,414.8999938964844,19463971,2020-12-28
2021-01-04,469.6625061035156,474.3999938964844,507.0,466.75,504.95001220703125,3143504,2021-01-04
2021-01-11,443.2786560058594,447.75,480.0,446.0,476.75,1575694,2021-01-11
2021-01-18,434.31903076171875,438.70001220703125,466.8500061035156,435.04998779296875,449.8999938964844,1359317,2021-01-18
2021-01-25,418.77581787109375,423.0,444.3999938964844,420.0,440.8999938964844,709593,2021-01-25
2021-02-01,434.9625244140625,439.3500061035156,453.8999938964844,420.8500061035156,425.0,989962,2021-02-01
2021-02-08,445.7041931152344,450.20001220703125,459.0,430.20001220703125,441.0,875856,2021-02-08
2021-02-15,444.2686462402344,448.75,469.79998779296875,426.04998779296875,458.0,2300815,2021-02-15
2021-02-22,428.1314392089844,432.45001220703125,457.0,428.5,450.1000061035156,1305886,2021-02-22
