Date,Adj Close_APOLLOHOSP.NS,Close_APOLLOHOSP.NS,High_APOLLOHOSP.NS,Low_APOLLOHOSP.NS,Open_APOLLOHOSP.NS,Volume_APOLLOHOSP.NS,Date
2020-07-13,1481.2962646484375,1499.199951171875,1507.0,1427.550048828125,1450.0999755859375,3057183,2020-07-13
2020-07-20,1493.9927978515625,1512.050048828125,1549.3499755859375,1465.25,1507.800048828125,4738436,2020-07-20
2020-07-27,1654.601806640625,1674.5999755859375,1728.0,1492.050048828125,1519.0,6738222,2020-07-27
2020-08-03,1722.38232421875,1743.199951171875,1753.0,1567.0999755859375,1670.0,8999709,2020-08-03
2020-08-10,1686.9603271484375,1707.3499755859375,1798.0,1687.5,1758.949951171875,4355408,2020-08-10
2020-08-17,1657.4669189453125,1677.5,1749.0,1665.6500244140625,1715.0,3272984,2020-08-17
2020-08-24,1642.1026611328125,1661.949951171875,1716.5,1635.199951171875,1695.5,2981431,2020-08-24
2020-08-31,1630.1966552734375,1649.9000244140625,1717.0,1622.0,1670.0,3876991,2020-08-31
2020-09-07,1592.5517578125,1611.800048828125,1688.1500244140625,1585.050048828125,1654.0,3958730,2020-09-07
2020-09-14,1806.6143798828125,1828.449951171875,1871.949951171875,1590.1500244140625,1637.9000244140625,11216569,2020-09-14
2020-09-21,2006.7030029296875,2027.6500244140625,2047.0,1760.1500244140625,1824.050048828125,14435577,2020-09-21
2020-09-28,2068.16162109375,2089.75,2168.0,1999.0999755859375,2035.0,7833633,2020-09-28
2020-10-05,2253.576171875,2277.10009765625,2314.0,2068.10009765625,2095.0,8048892,2020-10-05
2020-10-12,2187.713134765625,2210.550048828125,2333.0,2175.0,2231.0,8216658,2020-10-12
2020-10-19,2053.5634765625,2075.0,2241.0,2052.60009765625,2224.300048828125,5620593,2020-10-19
2020-10-26,2097.554931640625,2119.449951171875,2147.0,2024.1500244140625,2079.0,5303295,2020-10-26
2020-11-02,2064.35107421875,2085.89990234375,2168.449951171875,2062.550048828125,2138.10009765625,4647998,2020-11-02
2020-11-09,2261.048095703125,2284.64990234375,2323.5,1986.0,2099.800048828125,15441470,2020-11-09
2020-11-16,2325.3271484375,2349.60009765625,2415.0,2265.800048828125,2265.800048828125,7598781,2020-11-16
2020-11-23,2323.644775390625,2347.89990234375,2423.39990234375,2236.35009765625,2374.0,15419013,2020-11-23
2020-11-30,2409.498291015625,2434.64990234375,2508.85009765625,2347.89990234375,2347.89990234375,6577415,2020-11-30
2020-12-07,2335.520263671875,2359.89990234375,2520.0,2345.0,2434.64990234375,6618513,2020-12-07
2020-12-14,2363.0830078125,2387.75,2428.0,2335.0,2375.800048828125,5059503,2020-12-14
2020-12-21,2388.121826171875,2413.050048828125,2460.89990234375,2251.0,2385.0,4128359,2020-12-21
2020-12-28,2389.90283203125,2414.85009765625,2430.0,2351.199951171875,2425.5,3218660,2020-12-28
2021-01-04,2527.120849609375,2553.5,2579.0,2385.800048828125,2418.10009765625,5233090,2021-01-04
2021-01-11,2565.5693359375,2592.35009765625,2613.699951171875,2437.75,2564.75,4129932,2021-01-11
2021-01-18,2571.06201171875,2597.89990234375,2685.0,2547.050048828125,2599.5,6028895,2021-01-18
2021-01-25,2534.79052734375,2561.25,2749.64990234375,2551.0,2610.85009765625,5762235,2021-01-25
2021-02-01,2710.30810546875,2738.60009765625,2808.14990234375,2528.10009765625,2590.0,4169358,2021-02-01
2021-02-08,2719.71044921875,2748.10009765625,2836.60009765625,2725.0,2741.0,3638103,2021-02-08
2021-02-15,2889.784912109375,2919.949951171875,3284.0,2760.449951171875,2777.0,14424458,2021-02-15
2021-02-22,3027.052001953125,3058.64990234375,3173.949951171875,2866.89990234375,2918.449951171875,6723725,2021-02-22
2021-03-01,2849.752685546875,2879.5,3152.0,2870.0,3039.050048828125,4332887,2021-03-01
2021-03-08,2945.60205078125,2976.35009765625,3031.0,2826.699951171875,2901.0,3779842,2021-03-08
2021-03-15,2904.28369140625,2934.60009765625,3082.300048828125,2887.25,2998.0,5818787,2021-03-15
2021-03-22,2822.239990234375,2851.699951171875,2993.0,2787.5,2913.0,3666498,2021-03-22
2021-03-29,2864.152587890625,2894.050048828125,2970.89990234375,2843.39990234375,2851.699951171875,2928077,2021-03-29
2021-04-05,3099.79248046875,3132.14990234375,3164.14990234375,2886.0,2922.0,5231905,2021-04-05
2021-04-12,3029.3779296875,3061.0,3119.0,2902.300048828125,3119.0,2822212,2021-04-12
