Date,Adj Close_KOTARISUG.NS,Close_KOTARISUG.NS,High_KOTARISUG.NS,Low_KOTARISUG.NS,Open_KOTARISUG.NS,Volume_KOTARISUG.NS,Date
2020-07-13,12.824862480163574,13.25,13.25,12.149999618530273,12.800000190734863,323789,2020-07-13
2020-07-20,13.212027549743652,13.649999618530273,14.0,12.600000381469727,13.75,640346,2020-07-20
2020-07-27,12.679675102233887,13.100000381469727,13.75,12.899999618530273,13.75,406276,2020-07-27
2020-08-03,12.728071212768555,13.149999618530273,13.5,12.75,13.199999809265137,276948,2020-08-03
2020-08-10,12.582883834838867,13.0,14.300000190734863,12.800000190734863,13.100000381469727,934703,2020-08-10
2020-08-17,12.437697410583496,12.850000381469727,13.199999809265137,12.300000190734863,13.0,765092,2020-08-17
2020-08-24,15.728604316711426,16.25,17.0,12.800000190734863,13.0,2807350,2020-08-24
2020-08-31,14.615504264831543,15.100000381469727,16.600000381469727,13.75,16.600000381469727,779613,2020-08-31
2020-09-07,14.470315933227539,14.949999809265137,15.5,14.149999618530273,15.149999618530273,227866,2020-09-07
2020-09-14,15.535021781921387,16.049999237060547,17.799999237060547,14.449999809265137,14.449999809265137,576451,2020-09-14
2020-09-21,14.373526573181152,14.850000381469727,16.25,14.300000190734863,16.049999237060547,153129,2020-09-21
2020-09-28,14.712294578552246,15.199999809265137,15.949999809265137,14.5,15.100000381469727,87896,2020-09-28
2020-10-05,14.17994213104248,14.649999618530273,15.699999809265137,14.25,15.25,75992,2020-10-05
2020-10-12,13.502402305603027,13.949999809265137,14.75,13.399999618530273,14.649999618530273,175071,2020-10-12
2020-10-19,13.841172218322754,14.300000190734863,14.800000190734863,13.649999618530273,14.350000381469727,81328,2020-10-19
2020-10-26,13.357216835021973,13.800000190734863,14.800000190734863,13.600000381469727,14.550000190734863,99348,2020-10-26
2020-11-02,13.45400619506836,13.899999618530273,16.149999618530273,12.699999809265137,13.800000190734863,100972,2020-11-02
2020-11-09,13.308818817138672,13.75,14.949999809265137,13.5,13.75,490654,2020-11-09
2020-11-16,13.744380950927734,14.199999809265137,14.699999809265137,13.5,13.699999809265137,152661,2020-11-16
2020-11-23,15.051065444946289,15.550000190734863,16.399999618530273,13.800000190734863,14.199999809265137,486172,2020-11-23
2020-11-30,16.018980026245117,16.549999237060547,18.600000381469727,15.050000190734863,15.550000190734863,450328,2020-11-30
2020-12-07,18.632347106933594,19.25,20.950000762939453,16.549999237060547,16.899999618530273,1188183,2020-12-07
2020-12-14,17.95480728149414,18.549999237060547,21.799999237060547,17.399999618530273,19.450000762939453,787558,2020-12-14
2020-12-21,18.196786880493164,18.799999237060547,19.950000762939453,16.200000762939453,18.600000381469727,283671,2020-12-21
2020-12-28,18.487159729003906,19.100000381469727,20.0,18.299999237060547,18.799999237060547,259359,2020-12-28
