Date,Adj Close_BIRLACORPN.NS,Close_BIRLACORPN.NS,High_BIRLACORPN.NS,Low_BIRLACORPN.NS,Open_BIRLACORPN.NS,Volume_BIRLACORPN.NS,Date
2020-07-13,548.666015625,570.0,589.9000244140625,560.5,584.0,375857,2020-07-13
2020-07-20,539.6659545898438,560.6500244140625,582.0,540.5499877929688,575.9000244140625,1048796,2020-07-20
2020-07-27,576.8212890625,599.25,619.0,555.0,562.8499755859375,1320984,2020-07-27
2020-08-03,628.65576171875,653.0999755859375,682.0,589.4500122070312,595.0,1665027,2020-08-03
2020-08-10,580.1903076171875,602.75,635.0999755859375,590.0999755859375,635.0999755859375,1523109,2020-08-10
2020-08-17,572.0565185546875,594.2999877929688,609.0,586.0999755859375,600.0,854953,2020-08-17
2020-08-24,626.5371704101562,642.7999877929688,648.5,599.0499877929688,601.9500122070312,2158337,2020-08-24
2020-08-31,587.4030151367188,602.6500244140625,650.0,601.0,650.0,809545,2020-08-31
2020-09-07,582.237060546875,597.3499755859375,612.7999877929688,575.2000122070312,602.6500244140625,381472,2020-09-07
2020-09-14,700.7606201171875,718.9500122070312,736.9500122070312,609.1500244140625,623.9500122070312,2587860,2020-09-14
2020-09-21,614.8408203125,630.7999877929688,699.7000122070312,599.0999755859375,699.7000122070312,1859114,2020-09-21
2020-09-28,646.2261352539062,663.0,697.0,622.8499755859375,635.0,560264,2020-09-28
2020-10-05,612.6964721679688,628.5999755859375,667.0999755859375,616.0999755859375,663.0,659522,2020-10-05
2020-10-12,622.9796142578125,639.1500244140625,660.0,620.0,626.6500244140625,678699,2020-10-12
2020-10-19,629.510009765625,645.8499755859375,661.8499755859375,620.0999755859375,641.0,890287,2020-10-19
2020-10-26,623.8568115234375,640.0499877929688,664.8499755859375,623.8499755859375,650.0,1361941,2020-10-26
2020-11-02,652.3179931640625,669.25,704.9500122070312,622.2999877929688,642.0,1695693,2020-11-02
2020-11-09,744.9144897460938,764.25,770.0,671.0,675.0,2652780,2020-11-09
2020-11-16,729.56298828125,748.5,779.0,730.5,750.3499755859375,1137804,2020-11-16
2020-11-23,690.9160766601562,708.8499755859375,757.6500244140625,696.2999877929688,752.25,893360,2020-11-23
2020-11-30,744.37841796875,763.7000122070312,774.5499877929688,708.8499755859375,708.8499755859375,1451462,2020-11-30
2020-12-07,719.1336669921875,737.7999877929688,783.0499877929688,726.25,770.0,897361,2020-12-07
2020-12-14,705.53662109375,723.8499755859375,752.0,713.0,750.0,561760,2020-12-14
2020-12-21,684.190673828125,701.9500122070312,724.8499755859375,662.0,724.0,819781,2020-12-21
2020-12-28,709.9227294921875,728.3499755859375,748.9500122070312,699.0999755859375,709.0,1419404,2020-12-28
2021-01-04,736.5321044921875,755.6500244140625,770.0,725.5999755859375,739.7999877929688,2040228,2021-01-04
2021-01-11,703.635986328125,721.9000244140625,767.75,718.0,763.7000122070312,1176671,2021-01-11
2021-01-18,702.9537353515625,721.2000122070312,733.0,701.0999755859375,722.1500244140625,1135110,2021-01-18
2021-01-25,699.9808959960938,718.1500244140625,761.5,702.6500244140625,745.0,1309326,2021-01-25
2021-02-01,809.683349609375,830.7000122070312,842.9500122070312,707.5,721.7000122070312,3067861,2021-02-01
2021-02-08,803.7864379882812,824.6500244140625,850.0,800.0999755859375,834.9000244140625,1122832,2021-02-08
2021-02-15,846.7219848632812,868.7000122070312,932.0,825.0,834.7999877929688,1762387,2021-02-15
2021-02-22,828.0076904296875,849.5,881.9000244140625,838.8499755859375,868.7000122070312,497138,2021-02-22
