Date,Adj Close_MANAKCOAT.NS,Close_MANAKCOAT.NS,High_MANAKCOAT.NS,Low_MANAKCOAT.NS,Open_MANAKCOAT.NS,Volume_MANAKCOAT.NS,Date
2020-07-13,4.579146385192871,4.599999904632568,5.300000190734863,4.599999904632568,5.300000190734863,6708,2020-07-13
2020-07-20,3.9818661212921143,4.0,4.800000190734863,4.0,4.800000190734863,10784,2020-07-20
2020-07-27,3.9818661212921143,4.0,4.199999809265137,3.799999952316284,4.0,13487,2020-07-27
2020-08-03,3.832545757293701,3.8499999046325684,4.099999904632568,3.75,3.799999952316284,40006,2020-08-03
2020-08-10,4.280506134033203,4.300000190734863,4.300000190734863,3.700000047683716,3.9000000953674316,51817,2020-08-10
2020-08-17,4.5293731689453125,4.550000190734863,4.800000190734863,4.099999904632568,4.5,70913,2020-08-17
2020-08-24,4.4795989990234375,4.5,4.699999809265137,4.150000095367432,4.699999809265137,64876,2020-08-24
2020-08-31,3.9320926666259766,3.950000047683716,4.300000190734863,3.75,4.300000190734863,17237,2020-08-31
2020-09-07,4.0814127922058105,4.099999904632568,4.25,3.799999952316284,4.099999904632568,13576,2020-09-07
2020-09-14,3.9818661212921143,4.0,4.199999809265137,3.9000000953674316,3.950000047683716,55303,2020-09-14
2020-09-21,3.9818661212921143,4.0,4.199999809265137,3.8499999046325684,4.0,10824,2020-09-21
2020-09-28,3.9818661212921143,4.0,4.199999809265137,3.9000000953674316,4.150000095367432,15125,2020-09-28
2020-10-05,4.0814127922058105,4.099999904632568,4.550000190734863,3.9000000953674316,3.9000000953674316,29244,2020-10-05
2020-10-12,3.9818661212921143,4.0,4.5,3.799999952316284,4.300000190734863,34111,2020-10-12
2020-10-19,3.882319688796997,3.9000000953674316,4.400000095367432,3.75,4.0,68413,2020-10-19
2020-10-26,3.9320926666259766,3.950000047683716,4.449999809265137,3.5999999046325684,4.0,136722,2020-10-26
2020-11-02,3.882319688796997,3.9000000953674316,4.300000190734863,3.8499999046325684,3.9000000953674316,59226,2020-11-02
2020-11-09,4.429825782775879,4.449999809265137,4.849999904632568,3.9000000953674316,4.0,78506,2020-11-09
2020-11-16,5.176425933837891,5.199999809265137,5.199999809265137,4.400000095367432,4.5,43230,2020-11-16
