Date,Adj Close_SUNDRMFAST.NS,Close_SUNDRMFAST.NS,High_SUNDRMFAST.NS,Low_SUNDRMFAST.NS,Open_SUNDRMFAST.NS,Volume_SUNDRMFAST.NS,Date
2020-07-13,376.8343200683594,390.04998779296875,393.70001220703125,382.1000061035156,386.5,135522,2020-07-13
2020-07-20,387.0751037597656,400.6499938964844,419.95001220703125,384.79998779296875,390.04998779296875,524499,2020-07-20
2020-07-27,401.8567810058594,415.95001220703125,417.0,390.25,399.0,290800,2020-07-27
2020-08-03,431.17840576171875,446.29998779296875,452.04998779296875,400.54998779296875,415.95001220703125,670728,2020-08-03
2020-08-10,425.2851257324219,440.20001220703125,455.0,422.0,445.0,526590,2020-08-10
2020-08-17,448.6650695800781,464.3999938964844,491.0,439.1499938964844,440.20001220703125,613755,2020-08-17
2020-08-24,453.83380126953125,469.75,493.20001220703125,457.0,469.95001220703125,364645,2020-08-24
2020-08-31,422.53167724609375,437.3500061035156,471.95001220703125,430.0,469.79998779296875,336356,2020-08-31
2020-09-07,404.4169616699219,418.6000061035156,442.3500061035156,397.29998779296875,438.95001220703125,369299,2020-09-07
2020-09-14,402.5813293457031,416.70001220703125,443.0,406.6000061035156,425.70001220703125,524663,2020-09-14
2020-09-21,386.5920715332031,400.1499938964844,431.8999938964844,391.5,414.70001220703125,595023,2020-09-21
2020-09-28,396.1566467285156,410.04998779296875,419.0,398.0,402.0,282963,2020-09-28
2020-10-05,405.18975830078125,419.3999938964844,447.70001220703125,410.6499938964844,412.1499938964844,667568,2020-10-05
2020-10-12,391.90570068359375,405.6499938964844,435.0,398.45001220703125,421.5,318983,2020-10-12
2020-10-19,406.30084228515625,420.54998779296875,432.70001220703125,403.0,407.70001220703125,286071,2020-10-19
2020-10-26,412.4840393066406,426.95001220703125,433.0,409.0,423.95001220703125,232559,2020-10-26
2020-11-02,446.4913330078125,462.1499938964844,469.79998779296875,418.8500061035156,427.95001220703125,541209,2020-11-02
2020-11-09,472.9146728515625,489.5,499.0,447.70001220703125,464.79998779296875,619999,2020-11-09
2020-11-16,497.392578125,513.4000244140625,528.9500122070312,491.0,491.1499938964844,765435,2020-11-16
2020-11-23,505.28839111328125,521.5499877929688,528.0,491.04998779296875,518.0,1282250,2020-11-23
2020-11-30,522.5819091796875,539.4000244140625,555.0,521.5499877929688,521.5499877929688,1426072,2020-11-30
2020-12-07,526.069580078125,543.0,549.9000244140625,520.0499877929688,530.5499877929688,503193,2020-12-07
2020-12-14,552.2276611328125,570.0,585.9000244140625,535.5499877929688,544.0,1547789,2020-12-14
2020-12-21,514.9765625,531.5499877929688,580.7999877929688,512.0,566.3499755859375,420509,2020-12-21
2020-12-28,506.5963439941406,522.9000244140625,540.0,513.0,534.0499877929688,450803,2020-12-28
