Date,Adj Close_JUBLINGREA.NS,Close_JUBLINGREA.NS,High_JUBLINGREA.NS,Low_JUBLINGREA.NS,Open_JUBLINGREA.NS,Volume_JUBLINGREA.NS,Date
2021-03-15,259.5444641113281,268.70001220703125,268.70001220703125,243.1999969482422,255.9499969482422,797366,2021-03-15
2021-03-22,245.34536743164062,254.0,296.20001220703125,254.0,282.1000061035156,1472623,2021-03-22
2021-03-29,263.3598937988281,272.6499938964844,272.6499938964844,241.3000030517578,254.0,2668423,2021-03-29
2021-04-05,322.4746398925781,333.8500061035156,349.8999938964844,275.0,278.8999938964844,6909388,2021-04-05
2021-04-12,290.792236328125,301.04998779296875,327.20001220703125,297.0,323.0,1789046,2021-04-12
2021-04-19,319.04559326171875,330.29998779296875,344.70001220703125,295.5,302.0,3274278,2021-04-19
2021-04-26,396.1748352050781,410.1499938964844,432.0,320.25,343.5,11796573,2021-04-26
2021-05-03,402.50164794921875,416.70001220703125,456.75,392.6499938964844,415.0,6183550,2021-05-03
2021-05-10,409.93927001953125,424.3999938964844,463.70001220703125,405.6000061035156,424.0,3470102,2021-05-10
2021-05-17,422.0616760253906,436.95001220703125,449.0,410.0,426.0,2941676,2021-05-17
2021-05-24,467.41192626953125,483.8999938964844,503.70001220703125,436.75,440.0,5402540,2021-05-24
2021-05-31,552.3651123046875,571.8499755859375,600.0,461.0,485.0,7045846,2021-05-31
2021-06-07,556.6151733398438,576.25,611.5999755859375,536.2999877929688,579.7999877929688,6493053,2021-06-07
2021-06-14,533.23974609375,552.0499877929688,581.0,525.3499755859375,580.0,2546714,2021-06-14
2021-06-21,530.9215698242188,549.6500244140625,564.4500122070312,537.0499877929688,543.0,2487086,2021-06-21
2021-06-28,524.7396240234375,543.25,575.0,515.0,555.0999755859375,3561841,2021-06-28
2021-07-05,544.6377563476562,563.8499755859375,582.5999755859375,540.5,547.4000244140625,4783565,2021-07-05
2021-07-12,543.430419921875,562.5999755859375,584.0,556.3499755859375,568.4000244140625,4431550,2021-07-12
2021-07-19,608.0990600585938,629.5499877929688,671.5999755859375,557.5999755859375,563.0,26292233,2021-07-19
2021-07-26,573.0842895507812,593.2999877929688,649.7999877929688,586.0499877929688,636.5999755859375,7817286,2021-07-26
2021-08-02,592.3544311523438,613.25,626.7000122070312,592.25,600.0,6638253,2021-08-02
