Date,Adj Close_TARSONS.NS,Close_TARSONS.NS,High_TARSONS.NS,Low_TARSONS.NS,Open_TARSONS.NS,Volume_TARSONS.NS,Date
2021-11-22,814.9052124023438,818.4000244140625,818.4000244140625,680.0,682.0,13411618,2021-11-22
2021-11-29,659.2725830078125,662.0999755859375,924.9000244140625,658.0,900.0,17318217,2021-11-29
2021-12-06,628.5045776367188,631.2000122070312,669.0,607.0499877929688,662.0,3417938,2021-12-06
2021-12-13,612.4733276367188,615.0999755859375,645.75,613.5999755859375,635.9000244140625,1299227,2021-12-13
2021-12-20,632.338134765625,635.0499877929688,647.3499755859375,581.4500122070312,604.0,1864767,2021-12-20
2021-12-27,642.2456665039062,645.0,675.0,622.5,625.0,1281915,2021-12-27
2022-01-03,645.581298828125,648.3499755859375,656.9500122070312,625.0,640.5,881754,2022-01-03
2022-01-10,720.1614990234375,723.25,741.7000122070312,642.5499877929688,648.3499755859375,2452428,2022-01-10
2022-01-17,689.5925903320312,692.5499877929688,759.5999755859375,687.2000122070312,729.4000244140625,1634075,2022-01-17
2022-01-24,653.4973754882812,656.2999877929688,701.6500244140625,631.5499877929688,695.0,624861,2022-01-24
2022-01-31,679.83447265625,682.75,720.7000122070312,658.2999877929688,668.4000244140625,912338,2022-01-31
2022-02-07,666.7406005859375,669.5999755859375,700.9000244140625,627.0,689.0,1312715,2022-02-07
2022-02-14,652.7506103515625,655.5499877929688,662.5999755859375,627.7999877929688,662.5999755859375,540834,2022-02-14
2022-02-21,616.5060424804688,619.1500244140625,674.4500122070312,595.0,650.0,591500,2022-02-21
2022-02-28,621.4348754882812,624.0999755859375,629.7999877929688,538.7000122070312,610.0,777735,2022-02-28
2022-03-07,671.9183959960938,674.7999877929688,681.0,603.2000122070312,616.2000122070312,932024,2022-03-07
2022-03-14,682.3237915039062,685.25,697.0,665.2000122070312,676.9500122070312,596376,2022-03-14
2022-03-21,676.1502075195312,679.0499877929688,693.0,660.0499877929688,689.0,391639,2022-03-21
2022-03-28,701.889892578125,704.9000244140625,728.4000244140625,660.0,680.0,938899,2022-03-28
2022-04-04,732.0604858398438,735.2000122070312,741.9500122070312,698.0,710.5,933438,2022-04-04
2022-04-11,765.915283203125,769.2000122070312,790.0,739.3499755859375,742.5,980532,2022-04-11
2022-04-18,720.6593627929688,723.75,788.9000244140625,710.0999755859375,756.1500244140625,744221,2022-04-18
2022-04-25,692.330810546875,695.2999877929688,736.0,691.0,720.0,376909,2022-04-25
2022-05-02,669.777587890625,672.6500244140625,719.0,657.4500122070312,687.7000122070312,294992,2022-05-02
2022-05-09,614.5145874023438,617.1500244140625,677.75,600.0499877929688,672.0,386694,2022-05-09
2022-05-16,646.975341796875,649.75,667.0,608.2000122070312,617.1500244140625,252133,2022-05-16
2022-05-23,687.1530151367188,690.0999755859375,701.25,621.5499877929688,670.0,520143,2022-05-23
2022-05-30,697.3095092773438,700.2999877929688,739.0,690.0999755859375,710.0,489400,2022-05-30
2022-06-06,718.2695922851562,721.3499755859375,729.0,685.6500244140625,693.5999755859375,277370,2022-06-06
2022-06-13,679.3365478515625,682.25,736.9500122070312,666.0499877929688,707.0,357866,2022-06-13
2022-06-20,695.069091796875,698.0499877929688,710.0,666.2000122070312,682.25,189565,2022-06-20
2022-06-27,697.1103515625,700.0999755859375,735.0,690.0,710.0,365912,2022-06-27
2022-07-04,844.2293701171875,847.8499755859375,907.75,697.1500244140625,709.7000122070312,3598163,2022-07-04
2022-07-11,819.8838500976562,823.4000244140625,860.25,802.7999877929688,854.5999755859375,1162502,2022-07-11
2022-07-18,828.4470825195312,832.0,894.7000122070312,818.0999755859375,836.0,900626,2022-07-18
2022-07-25,815.253662109375,818.75,839.6500244140625,756.5999755859375,836.5,882468,2022-07-25
2022-08-01,851.6475830078125,855.2999877929688,868.9000244140625,808.4000244140625,823.7000122070312,841686,2022-08-01
2022-08-08,769.4998779296875,772.7999877929688,799.0,684.25,775.0,1864861,2022-08-08
2022-08-15,746.2496337890625,749.4500122070312,784.0,743.0499877929688,772.7999877929688,300636,2022-08-15
2022-08-22,770.4458618164062,773.75,794.0,745.0,749.7000122070312,473121,2022-08-22
2022-08-29,764.7702026367188,768.0499877929688,788.0,748.0499877929688,750.0,169197,2022-08-29
2022-09-05,851.9961547851562,855.6500244140625,894.4000244140625,751.0,774.7000122070312,1556178,2022-09-05
2022-09-12,867.380126953125,871.0999755859375,914.4500122070312,833.9500122070312,859.9000244140625,1499696,2022-09-12
2022-09-19,802.9066162109375,806.3499755859375,894.0,800.0999755859375,878.9500122070312,692713,2022-09-19
2022-09-26,812.0673217773438,815.5499877929688,828.9000244140625,749.0,801.0999755859375,748826,2022-09-26
2022-10-03,790.2110595703125,793.5999755859375,822.0,786.0499877929688,818.0,276423,2022-10-03
2022-10-10,798.9237060546875,802.3499755859375,847.9500122070312,777.0499877929688,785.0,501360,2022-10-10
2022-10-17,797.878173828125,801.2999877929688,819.7000122070312,795.0499877929688,795.0499877929688,268709,2022-10-17
2022-10-24,780.2039794921875,783.5499877929688,812.0,778.0,809.7999877929688,170047,2022-10-24
2022-10-31,773.2836303710938,776.5999755859375,799.1500244140625,754.0999755859375,790.8499755859375,368188,2022-10-31
2022-11-07,696.2142333984375,699.2000122070312,763.0,677.9000244140625,763.0,1339191,2022-11-07
2022-11-14,690.9866333007812,693.9500122070312,710.0,677.0499877929688,698.0,632330,2022-11-14
2022-11-21,689.5427856445312,692.5,723.4500122070312,682.0,690.0499877929688,535404,2022-11-21
