Date,Adj Close_MASTEK.NS,Close_MASTEK.NS,High_MASTEK.NS,Low_MASTEK.NS,Open_MASTEK.NS,Volume_MASTEK.NS,Date
2020-07-13,407.867431640625,423.25,448.0,391.5,394.0,1734635,2020-07-13
2020-07-20,455.1347351074219,472.29998779296875,509.0,412.54998779296875,424.8999938964844,1933983,2020-07-20
2020-07-27,551.5484619140625,572.3499755859375,597.0,469.0,473.6000061035156,3506285,2020-07-27
2020-08-03,636.6875610351562,660.7000122070312,691.0,573.9000244140625,575.7999877929688,4060866,2020-08-03
2020-08-10,648.2996215820312,672.75,733.75,665.0,710.0,2150038,2020-08-10
2020-08-17,701.8307495117188,728.2999877929688,758.0,665.6500244140625,675.0,1609749,2020-08-17
2020-08-24,703.0352783203125,729.5499877929688,764.0,694.0499877929688,728.2999877929688,1300030,2020-08-24
2020-08-31,683.9066772460938,709.7000122070312,754.0,670.0,729.5499877929688,789815,2020-08-31
2020-09-07,770.2020263671875,799.25,799.25,694.0999755859375,714.0,1435468,2020-09-07
2020-09-14,839.1517944335938,870.7999877929688,907.0,808.0,808.0,2082606,2020-09-14
2020-09-21,830.5751342773438,861.9000244140625,922.6500244140625,752.6500244140625,877.5999755859375,2111355,2020-09-21
2020-09-28,825.6605224609375,856.7999877929688,899.7000122070312,845.0,869.0,371783,2020-09-28
2020-10-05,843.3435668945312,875.1500244140625,930.0,862.0,862.0,760816,2020-10-05
2020-10-12,774.1048583984375,803.2999877929688,901.2999877929688,772.0,885.7999877929688,600621,2020-10-12
2020-10-19,769.4793701171875,798.5,847.0,781.0,816.9000244140625,373244,2020-10-19
2020-10-26,829.4669799804688,860.75,884.1500244140625,770.2000122070312,796.0,943664,2020-10-26
2020-11-02,884.0098876953125,917.3499755859375,950.0,837.5,851.3499755859375,687274,2020-11-02
2020-11-09,946.2138061523438,981.9000244140625,988.0,841.6500244140625,926.75,834816,2020-11-09
2020-11-16,967.2387084960938,997.7000122070312,1075.0,934.25,954.9500122070312,661940,2020-11-16
2020-11-23,934.7130737304688,964.1500244140625,1011.25,955.0,1004.7999877929688,320977,2020-11-23
2020-11-30,950.176025390625,980.0999755859375,1008.7999877929688,944.75,964.1500244140625,373551,2020-11-30
2020-12-07,1030.7874755859375,1063.25,1178.25,987.9500122070312,988.0,1186533,2020-12-07
2020-12-14,1038.591796875,1071.300048828125,1133.0999755859375,1025.5,1070.0,546999,2020-12-14
2020-12-21,1063.7493896484375,1097.25,1133.050048828125,802.2000122070312,1071.0,721391,2020-12-21
2020-12-28,1172.0389404296875,1208.949951171875,1234.050048828125,1088.0,1098.0,1242177,2020-12-28
2021-01-04,1281.0556640625,1321.4000244140625,1464.449951171875,1215.0,1223.0,1854560,2021-01-04
2021-01-11,1262.2481689453125,1302.0,1385.0,1279.699951171875,1342.9000244140625,837825,2021-01-11
