Date,Adj Close_EASEMYTRIP.NS,Close_EASEMYTRIP.NS,High_EASEMYTRIP.NS,Low_EASEMYTRIP.NS,Open_EASEMYTRIP.NS,Volume_EASEMYTRIP.NS,Date
2021-03-15,6.497611999511719,6.51406192779541,7.3125,5.849999904632568,6.632812023162842,1365056064,2021-03-15
2021-03-22,6.513197898864746,6.52968692779541,6.734375,5.21718692779541,6.4375,788938368,2021-03-22
2021-03-29,6.670612335205078,6.6875,6.965624809265137,6.096875190734863,6.52968692779541,490898336,2021-03-29
2021-04-05,6.276297569274902,6.292187213897705,6.618750095367432,5.9375,6.5,243609856,2021-04-05
2021-04-12,5.405066013336182,5.418749809265137,6.212500095367432,5.34375,6.0,214697984,2021-04-12
2021-04-19,5.532867431640625,5.546875,5.771874904632568,5.03125,5.276562213897705,219657216,2021-04-19
2021-04-26,5.841461181640625,5.856249809265137,6.084374904632568,5.59375,5.621874809265137,177252992,2021-04-26
2021-05-03,5.8492536544799805,5.8640618324279785,6.378125190734863,5.704687118530273,5.78125,151263104,2021-05-03
2021-05-10,5.906920433044434,5.921875,6.375,5.807812213897705,5.934374809265137,156021760,2021-05-10
2021-05-17,7.501320838928223,7.5203118324279785,7.896874904632568,5.9375,5.939062118530273,704084096,2021-05-17
2021-05-24,8.682705879211426,8.704687118530273,9.3125,7.300000190734863,7.617187023162842,667457760,2021-05-24
2021-05-31,11.629932403564453,11.659375190734863,12.428125381469727,8.515625,8.778124809265137,925461664,2021-05-31
2021-06-07,13.821259498596191,13.856249809265137,14.199999809265137,11.293749809265137,11.771875381469727,523091392,2021-06-07
2021-06-14,11.955669403076172,11.985937118530273,14.125,11.114062309265137,13.75,513486624,2021-06-14
2021-06-21,12.00086784362793,12.03125,12.895312309265137,11.429686546325684,11.78125,183656992,2021-06-21
2021-06-28,12.175426483154297,12.206250190734863,12.84218692779541,11.973437309265137,12.101561546325684,144444864,2021-06-28
2021-07-05,13.458115577697754,13.492186546325684,14.59375,12.1875,12.21875,451662368,2021-07-05
2021-07-12,13.556304931640625,13.590624809265137,14.409375190734863,13.510936737060547,13.59375,216822976,2021-07-12
2021-07-19,13.188486099243164,13.221875190734863,13.618749618530273,12.598437309265137,13.368749618530273,127527488,2021-07-19
2021-07-26,12.752091407775879,12.784375190734863,13.228124618530273,12.603124618530273,13.125,116112512,2021-07-26
2021-08-02,14.7891206741333,14.82656192779541,15.59375,13.125,13.125,665848480,2021-08-02
2021-08-09,14.714310646057129,14.751562118530273,15.853124618530273,13.329687118530273,15.0625,384228224,2021-08-09
2021-08-16,13.744889259338379,13.77968692779541,15.414061546325684,13.617186546325684,15.0,116407808,2021-08-16
2021-08-23,13.835285186767578,13.870311737060547,14.278124809265137,12.78125,14.04531192779541,126048000,2021-08-23
2021-08-30,14.835877418518066,14.87343692779541,15.46875,13.796875,13.960936546325684,246563296,2021-08-30
2021-09-06,15.978297233581543,16.018749237060547,16.40625,14.629687309265137,14.95156192779541,316603872,2021-09-06
2021-09-13,20.646167755126953,20.698436737060547,22.42656135559082,15.895312309265137,15.970312118530273,685007616,2021-09-13
2021-09-20,18.470426559448242,18.517187118530273,20.576562881469727,17.689062118530273,19.850000381469727,314320320,2021-09-20
2021-09-27,18.800838470458984,18.84843635559082,19.745311737060547,18.34375,18.75,110365440,2021-09-27
2021-10-04,18.529651641845703,18.576562881469727,19.590625762939453,18.1875,18.965625762939453,89781376,2021-10-04
2021-10-11,18.01844596862793,18.064062118530273,19.0,16.8671875,18.560937881469727,43854944,2021-10-11
2021-10-18,15.596451759338379,15.635936737060547,18.693750381469727,15.635936737060547,18.4375,61086080,2021-10-18
2021-10-25,14.920040130615234,14.957812309265137,16.0,14.112500190734863,15.9375,36571232,2021-10-25
2021-11-01,17.309303283691406,17.353124618530273,17.448436737060547,14.506250381469727,14.957812309265137,23368800,2021-11-01
2021-11-08,15.727370262145996,15.767187118530273,17.481250762939453,15.165624618530273,17.4375,27471136,2021-11-08
2021-11-15,16.018821716308594,16.059375762939453,16.5,15.4375,15.93593692779541,16035584,2021-11-15
2021-11-22,16.383522033691406,16.424999237060547,17.314062118530273,14.9375,16.21875,76127360,2021-11-22
2021-11-29,15.718018531799316,15.757811546325684,17.21875,15.037500381469727,15.625,37970752,2021-11-29
