Date,Adj Close_AYMSYNTEX.NS,Close_AYMSYNTEX.NS,High_AYMSYNTEX.NS,Low_AYMSYNTEX.NS,Open_AYMSYNTEX.NS,Volume_AYMSYNTEX.NS,Date
2020-07-13,21.049999237060547,21.049999237060547,22.5,20.399999618530273,21.899999618530273,46611,2020-07-13
2020-07-20,21.25,21.25,23.399999618530273,20.799999237060547,22.100000381469727,46576,2020-07-20
2020-07-27,22.0,22.0,22.450000762939453,20.149999618530273,21.049999237060547,42119,2020-07-27
2020-08-03,24.399999618530273,24.399999618530273,26.799999237060547,21.049999237060547,22.600000381469727,200140,2020-08-03
2020-08-10,25.75,25.75,26.5,22.5,24.950000762939453,148985,2020-08-10
2020-08-17,27.850000381469727,27.850000381469727,28.549999237060547,25.0,25.899999618530273,140827,2020-08-17
2020-08-24,27.649999618530273,27.649999618530273,30.600000381469727,26.600000381469727,28.450000762939453,135328,2020-08-24
2020-08-31,26.600000381469727,26.600000381469727,29.450000762939453,24.600000381469727,29.450000762939453,63121,2020-08-31
2020-09-07,27.350000381469727,27.350000381469727,28.75,25.549999237060547,26.600000381469727,83296,2020-09-07
2020-09-14,25.700000762939453,25.700000762939453,27.649999618530273,25.0,26.600000381469727,61249,2020-09-14
2020-09-21,24.700000762939453,24.700000762939453,26.25,23.100000381469727,25.25,54484,2020-09-21
2020-09-28,24.0,24.0,26.799999237060547,23.100000381469727,25.700000762939453,24250,2020-09-28
2020-10-05,27.899999618530273,27.899999618530273,28.5,24.0,24.350000381469727,62389,2020-10-05
2020-10-12,28.75,28.75,29.850000381469727,25.0,27.899999618530273,115817,2020-10-12
2020-10-19,28.850000381469727,28.850000381469727,33.45000076293945,28.049999237060547,28.200000762939453,272082,2020-10-19
2020-10-26,27.049999237060547,27.049999237060547,30.200000762939453,25.950000762939453,29.5,242826,2020-10-26
2020-11-02,29.850000381469727,29.850000381469727,32.400001525878906,25.700000762939453,26.950000762939453,314787,2020-11-02
2020-11-09,28.5,28.5,31.0,25.600000381469727,30.600000381469727,103550,2020-11-09
2020-11-16,40.650001525878906,40.650001525878906,45.0,28.049999237060547,28.649999618530273,1045216,2020-11-16
2020-11-23,44.400001525878906,44.400001525878906,45.0,37.349998474121094,40.599998474121094,330530,2020-11-23
2020-11-30,44.95000076293945,44.95000076293945,48.0,42.5,44.400001525878906,165633,2020-11-30
2020-12-07,42.5,42.5,45.29999923706055,41.75,43.45000076293945,100866,2020-12-07
2020-12-14,38.29999923706055,38.29999923706055,44.29999923706055,36.75,44.29999923706055,94458,2020-12-14
