Date,Adj Close_TATAMOTORS.NS,Close_TATAMOTORS.NS,High_TATAMOTORS.NS,Low_TATAMOTORS.NS,Open_TATAMOTORS.NS,Volume_TATAMOTORS.NS,Date
2020-07-13,105.16522216796875,106.4000015258789,106.94999694824219,100.5999984741211,106.80000305175781,136100988,2020-07-13
2020-07-20,102.54597473144531,103.75,109.75,102.69999694824219,106.3499984741211,226616399,2020-07-20
2020-07-27,103.43553161621094,104.6500015258789,108.75,101.30000305175781,104.0,205664691,2020-07-27
2020-08-03,117.71783447265625,119.0999984741211,119.69999694824219,102.9000015258789,103.0,506624791,2020-08-03
2020-08-10,123.15400695800781,124.5999984741211,132.64999389648438,119.69999694824219,119.94999694824219,342554175,2020-08-10
2020-08-17,119.4969482421875,120.9000015258789,127.5999984741211,120.1500015258789,124.5,260617712,2020-08-17
2020-08-24,141.14280700683594,142.8000030517578,146.85000610351562,120.80000305175781,122.0,595643567,2020-08-24
2020-08-31,146.08477783203125,147.8000030517578,155.1999969482422,138.1999969482422,144.5,500041199,2020-08-31
2020-09-07,142.62538146972656,144.3000030517578,152.0,135.6999969482422,150.0,409000685,2020-09-07
2020-09-14,146.18359375,147.89999389648438,154.3000030517578,145.5,147.1999969482422,306839471,2020-09-14
2020-09-21,125.77325439453125,127.25,147.75,122.1500015258789,147.75,354475842,2020-09-21
2020-09-28,131.9507293701172,133.5,136.5,127.5,128.89999389648438,214548581,2020-09-28
2020-10-05,136.84327697753906,138.4499969482422,145.8000030517578,132.0500030517578,136.9499969482422,363527322,2020-10-05
2020-10-12,126.2674560546875,127.75,139.64999389648438,126.0,139.64999389648438,250600694,2020-10-12
2020-10-19,135.4101104736328,137.0,138.89999389648438,126.3499984741211,129.8000030517578,217396100,2020-10-19
2020-10-26,131.11058044433594,132.64999389648438,143.25,130.0,138.39999389648438,415508310,2020-10-26
2020-11-02,137.38690185546875,139.0,142.3000030517578,131.10000610351562,133.64999389648438,244031517,2020-11-02
2020-11-09,147.12258911132812,148.85000610351562,153.85000610351562,138.6999969482422,140.60000610351562,288116965,2020-11-09
2020-11-16,167.13758850097656,169.10000610351562,178.8000030517578,146.35000610351562,146.35000610351562,430831134,2020-11-16
2020-11-23,178.2570343017578,180.35000610351562,183.85000610351562,165.5500030517578,169.5,321648892,2020-11-23
2020-11-30,182.01292419433594,184.14999389648438,188.8000030517578,178.10000610351562,180.35000610351562,218317259,2020-11-30
