Date,Adj Close_EKC.NS,Close_EKC.NS,High_EKC.NS,Low_EKC.NS,Open_EKC.NS,Volume_EKC.NS,Date
2020-07-13,20.198657989501953,20.549999237060547,21.399999618530273,19.700000762939453,20.5,572665,2020-07-13
2020-07-20,21.91874122619629,22.299999237060547,24.5,20.100000381469727,20.850000381469727,1672039,2020-07-20
2020-07-27,20.69011116027832,21.049999237060547,22.649999618530273,20.200000762939453,22.100000381469727,534269,2020-07-27
2020-08-03,21.378143310546875,21.75,22.200000762939453,20.600000381469727,21.049999237060547,322206,2020-08-03
2020-08-10,22.55763053894043,22.950000762939453,24.950000762939453,22.0,22.100000381469727,850892,2020-08-10
2020-08-17,32.87811279296875,33.45000076293945,33.45000076293945,23.049999237060547,23.950000762939453,3648042,2020-08-17
2020-08-24,29.978548049926758,30.5,35.04999923706055,30.299999237060547,34.0,2377922,2020-08-24
2020-08-31,27.816160202026367,28.299999237060547,30.399999618530273,27.549999237060547,29.049999237060547,420606,2020-08-31
2020-09-07,27.32470703125,27.799999237060547,28.5,26.0,28.0,385529,2020-09-07
2020-09-14,28.405902862548828,28.899999618530273,30.200000762939453,27.049999237060547,29.149999618530273,401373,2020-09-14
2020-09-21,26.734970092773438,27.200000762939453,29.950000762939453,26.0,28.899999618530273,494368,2020-09-21
2020-09-28,28.700773239135742,29.200000762939453,29.200000762939453,26.799999237060547,27.450000762939453,125295,2020-09-28
2020-10-05,29.29051399230957,29.799999237060547,32.20000076293945,29.0,30.200000762939453,414923,2020-10-05
2020-10-12,27.422998428344727,27.899999618530273,30.0,27.799999237060547,30.0,163964,2020-10-12
2020-10-19,27.865306854248047,28.350000381469727,29.25,27.0,28.0,164671,2020-10-19
2020-10-26,26.636676788330078,27.100000381469727,29.5,26.75,28.5,193563,2020-10-26
2020-11-02,28.89735221862793,29.399999618530273,30.600000381469727,27.049999237060547,27.5,262990,2020-11-02
2020-11-09,31.796913146972656,32.349998474121094,32.349998474121094,27.049999237060547,29.950000762939453,327982,2020-11-09
