Date,Adj Close_SIGMA.NS,Close_SIGMA.NS,High_SIGMA.NS,Low_SIGMA.NS,Open_SIGMA.NS,Volume_SIGMA.NS,Date
2020-11-09,17.90133285522461,18.0,18.18000030517578,18.0,18.0,22500,2020-11-09
2020-11-16,17.90133285522461,18.0,18.0,18.0,18.0,45000,2020-11-16
2020-11-23,17.90133285522461,18.0,18.0,18.0,18.0,37500,2020-11-23
2020-11-30,17.90133285522461,18.0,18.600000381469727,18.0,18.0,262500,2020-11-30
2020-12-07,18.27924919128418,18.3799991607666,21.559999465942383,18.0,18.0,127500,2020-12-07
2020-12-14,20.76554298400879,20.8799991607666,21.559999465942383,18.0,18.0,262500,2020-12-14
2020-12-21,17.941116333007812,18.040000915527344,18.65999984741211,17.200000762939453,18.65999984741211,52500,2020-12-21
2020-12-28,17.90133285522461,18.0,18.100000381469727,18.0,18.100000381469727,210000,2020-12-28
2021-01-04,19.45277976989746,19.559999465942383,20.15999984741211,18.0,18.0,120000,2021-01-04
2021-01-11,17.205169677734375,17.299999237060547,19.399999618530273,17.299999237060547,19.399999618530273,37500,2021-01-11
2021-01-18,16.807361602783203,16.899999618530273,17.0,16.899999618530273,17.0,15000,2021-01-18
2021-01-25,17.90133285522461,18.0,18.0,16.899999618530273,16.899999618530273,7500,2021-01-25
2021-02-01,17.90133285522461,18.0,18.0,18.0,18.0,22500,2021-02-01
2021-02-08,17.90133285522461,18.0,18.0,18.0,18.0,22500,2021-02-08
2021-02-15,17.90133285522461,18.0,18.0,18.0,18.0,0,2021-02-15
2021-02-22,17.90133285522461,18.0,18.0,18.0,18.0,0,2021-02-22
2021-03-01,16.707910537719727,16.799999237060547,18.799999237060547,14.880000114440918,18.0,60000,2021-03-01
2021-03-08,16.707910537719727,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0,2021-03-08
2021-03-15,18.000783920288086,18.100000381469727,18.100000381469727,16.1200008392334,18.0,37500,2021-03-15
2021-03-22,17.503524780273438,17.600000381469727,18.200000762939453,16.799999237060547,18.100000381469727,22500,2021-03-22
2021-03-29,17.503524780273438,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,0,2021-03-29
2021-04-05,16.707910537719727,16.799999237060547,17.600000381469727,15.260000228881836,17.600000381469727,15000,2021-04-05
2021-04-12,16.707910537719727,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0,2021-04-12
2021-04-19,16.707910537719727,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,0,2021-04-19
2021-04-26,18.498044967651367,18.600000381469727,18.600000381469727,16.799999237060547,16.799999237060547,45000,2021-04-26
2021-05-03,18.498044967651367,18.600000381469727,18.600000381469727,18.600000381469727,18.600000381469727,0,2021-05-03
2021-05-10,17.90133285522461,18.0,19.579999923706055,16.0,18.600000381469727,37500,2021-05-10
2021-05-17,17.90133285522461,18.0,18.0,18.0,18.0,0,2021-05-17
2021-05-24,29.07971954345703,29.239999771118164,29.239999771118164,18.399999618530273,18.399999618530273,180000,2021-05-24
2021-05-31,44.75333023071289,45.0,45.0,29.239999771118164,29.239999771118164,52500,2021-05-31
2021-06-07,57.08536148071289,57.400001525878906,57.400001525878906,47.2400016784668,47.2400016784668,52500,2021-06-07
2021-06-14,72.73907470703125,73.13999938964844,73.13999938964844,60.2599983215332,60.2599983215332,217500,2021-06-14
2021-06-21,63.11214065551758,63.459999084472656,76.77999877929688,63.459999084472656,73.13999938964844,90000,2021-06-21
2021-06-28,59.671112060546875,60.0,60.29999923706055,60.0,60.29999923706055,22500,2021-06-28
2021-07-05,68.8206787109375,69.19999694824219,69.44000244140625,60.0,60.0,60000,2021-07-05
2021-07-12,68.8206787109375,69.19999694824219,69.19999694824219,66.5999984741211,69.19999694824219,30000,2021-07-12
2021-07-19,83.6191177368164,84.08000183105469,84.08000183105469,72.66000366210938,72.66000366210938,52500,2021-07-19
2021-07-26,87.79609680175781,88.27999877929688,88.27999877929688,84.08000183105469,84.08000183105469,15000,2021-07-26
2021-08-02,96.4881820678711,97.0199966430664,97.0199966430664,88.27999877929688,88.27999877929688,15000,2021-08-02
2021-08-09,89.90447235107422,90.4000015258789,101.86000061035156,90.26000213623047,101.86000061035156,45000,2021-08-09
2021-08-16,85.2103500366211,85.68000030517578,90.4000015258789,81.5999984741211,90.4000015258789,30000,2021-08-16
2021-08-23,89.3077621459961,89.80000305175781,89.95999908447266,85.4800033569336,85.68000030517578,45000,2021-08-23
2021-08-30,89.3077621459961,89.80000305175781,89.80000305175781,89.80000305175781,89.80000305175781,0,2021-08-30
2021-09-06,98.05951690673828,98.5999984741211,98.5999984741211,89.80000305175781,89.80000305175781,22500,2021-09-06
2021-09-13,111.63469696044922,112.0,119.80000305175781,103.5199966430664,103.5199966430664,37500,2021-09-13
2021-09-20,129.2171630859375,129.63999938964844,129.63999938964844,106.4000015258789,106.4000015258789,37500,2021-09-20
2021-09-27,128.89822387695312,129.32000732421875,136.1199951171875,129.32000732421875,129.63999938964844,22500,2021-09-27
2021-10-04,116.6383285522461,117.0199966430664,129.60000610351562,117.0,129.32000732421875,127500,2021-10-04
2021-10-11,116.6383285522461,117.0199966430664,117.0199966430664,117.0199966430664,117.0199966430664,0,2021-10-11
2021-10-18,113.62818145751953,114.0,120.0,114.0,120.0,15000,2021-10-18
2021-10-25,121.60208892822266,122.0,122.0,116.0,116.0,30000,2021-10-25
2021-11-01,147.19833374023438,147.67999267578125,147.67999267578125,127.5999984741211,128.10000610351562,18000,2021-11-01
2021-11-08,144.64666748046875,145.1199951171875,158.0399932861328,140.8800048828125,155.05999755859375,73500,2021-11-08
2021-11-15,146.32119750976562,146.8000030517578,152.0,138.32000732421875,151.1999969482422,12000,2021-11-15
2021-11-22,153.2186279296875,153.72000122070312,153.72000122070312,139.1999969482422,146.0,52500,2021-11-22
2021-11-29,184.6158905029297,185.22000122070312,185.22000122070312,159.1999969482422,161.39999389648438,94500,2021-11-29
2021-12-06,225.8609161376953,226.60000610351562,246.0,196.0,196.0,100500,2021-12-06
2021-12-13,178.81484985351562,179.39999389648438,215.27999877929688,179.39999389648438,215.27999877929688,28500,2021-12-13
2021-12-20,178.75506591796875,179.33999633789062,179.39999389648438,161.9199981689453,179.39999389648438,42000,2021-12-20
