Date,Adj Close_COFORGE.NS,Close_COFORGE.NS,High_COFORGE.NS,Low_COFORGE.NS,Open_COFORGE.NS,Volume_COFORGE.NS,Date
2020-07-13,325.6265563964844,335.739990234375,352.0,311.70001220703125,311.7099914550781,21685955,2020-07-13
2020-07-20,329.7776184082031,340.0199890136719,344.79998779296875,322.7699890136719,338.0,11521645,2020-07-20
2020-07-27,373.635498046875,385.239990234375,393.79998779296875,338.760009765625,342.0,42391730,2020-07-27
2020-08-03,385.7880859375,397.7699890136719,407.9700012207031,379.3999938964844,384.3999938964844,21348885,2020-08-03
2020-08-10,383.3148193359375,395.2200012207031,415.79998779296875,388.3299865722656,399.0,14878595,2020-08-10
2020-08-17,384.96368408203125,396.9200134277344,409.8599853515625,394.8299865722656,398.8500061035156,8780045,2020-08-17
2020-08-24,388.232177734375,400.2900085449219,404.8900146484375,384.0299987792969,397.6000061035156,3312875,2020-08-24
2020-08-31,372.25830078125,383.82000732421875,407.0,376.1000061035156,404.0,3122185,2020-08-31
2020-09-07,405.5250549316406,418.1199951171875,420.5799865722656,377.0,384.3999938964844,11293525,2020-09-07
2020-09-14,425.5238952636719,438.739990234375,454.3999938964844,412.55999755859375,417.4599914550781,13424555,2020-09-14
2020-09-21,446.9873352050781,460.8699951171875,465.1700134277344,411.4800109863281,441.0,16496480,2020-09-21
2020-09-28,453.0878601074219,467.1600036621094,484.0,456.0,465.6099853515625,8451405,2020-09-28
2020-10-05,478.4307556152344,493.2900085449219,510.9800109863281,464.3999938964844,470.9599914550781,12800080,2020-10-05
2020-10-12,499.9134216308594,515.4400024414062,562.7999877929688,493.3999938964844,493.3999938964844,34598725,2020-10-12
2020-10-19,461.6809387207031,476.0199890136719,527.1799926757812,468.0,517.5999755859375,22804500,2020-10-19
2020-10-26,427.84197998046875,441.1300048828125,479.8299865722656,433.1099853515625,473.0,45895465,2020-10-26
2020-11-02,430.2471923828125,443.6099853515625,445.8800048828125,415.5,441.0,13498685,2020-11-02
2020-11-09,449.8193359375,463.7900085449219,471.739990234375,442.1400146484375,449.260009765625,17471110,2020-11-09
2020-11-16,456.8121643066406,471.0,481.0,454.4700012207031,460.8599853515625,9899270,2020-11-16
2020-11-23,465.66717529296875,480.1300048828125,499.0,469.8699951171875,473.20001220703125,11714560,2020-11-23
2020-11-30,474.8809814453125,489.6300048828125,502.79998779296875,477.0,480.1300048828125,8096945,2020-11-30
2020-12-07,484.5506896972656,499.6000061035156,512.9099731445312,482.20001220703125,489.9800109863281,9758690,2020-12-07
2020-12-14,495.95635986328125,511.3599853515625,525.0,496.6000061035156,500.20001220703125,9204340,2020-12-14
2020-12-21,514.529541015625,530.510009765625,537.4000244140625,461.0,512.0,14117735,2020-12-21
2020-12-28,528.0496215820312,544.4500122070312,549.5999755859375,531.4099731445312,534.0,7003220,2020-12-28
2021-01-04,543.9459228515625,560.8400268554688,581.9099731445312,544.0,550.1799926757812,12226940,2021-01-04
2021-01-11,511.66839599609375,527.5599975585938,569.5999755859375,522.0,564.0399780273438,9043395,2021-01-11
2021-01-18,483.1928405761719,498.20001220703125,551.8400268554688,495.0,529.5999755859375,10568415,2021-01-18
2021-01-25,464.1444396972656,478.55999755859375,502.260009765625,470.6000061035156,499.20001220703125,8848180,2021-01-25
2021-02-01,484.6670227050781,499.7200012207031,514.510009765625,465.010009765625,476.20001220703125,10060845,2021-02-01
2021-02-08,506.6250915527344,522.3599853515625,539.97998046875,496.0799865722656,504.0,8949430,2021-02-08
2021-02-15,498.5653991699219,514.0499877929688,533.219970703125,508.0,525.7999877929688,6045955,2021-02-15
2021-02-22,493.0953063964844,508.4100036621094,518.0,460.0,514.2000122070312,4278875,2021-02-22
2021-03-01,501.5526428222656,517.1300048828125,539.5999755859375,495.2099914550781,511.1000061035156,5241820,2021-03-01
2021-03-08,528.0205078125,544.4199829101562,558.7899780273438,499.0199890136719,523.7899780273438,9974630,2021-03-08
2021-03-15,575.4765625,593.3499755859375,606.4000244140625,545.4000244140625,548.0,18998320,2021-03-15
2021-03-22,542.3650512695312,559.2100219726562,602.5599975585938,545.0,595.1300048828125,7005935,2021-03-22
2021-03-29,569.0172729492188,586.6900024414062,614.1599731445312,555.260009765625,559.2100219726562,9379670,2021-03-29
2021-04-05,614.485107421875,633.5700073242188,636.989990234375,577.0,583.7999877929688,17415840,2021-04-05
2021-04-12,615.2804565429688,634.3900146484375,644.5800170898438,563.5399780273438,630.760009765625,20971780,2021-04-12
2021-04-19,553.0239868164062,570.2000122070312,634.0,568.6599731445312,610.1900024414062,11026095,2021-04-19
2021-04-26,556.5252075195312,573.8099975585938,586.2000122070312,557.0,573.97998046875,9962915,2021-04-26
2021-05-03,655.782470703125,676.1500244140625,708.9600219726562,564.3699951171875,575.1900024414062,53041585,2021-05-03
2021-05-10,649.7304077148438,669.9099731445312,693.97998046875,628.5399780273438,674.989990234375,29394665,2021-05-10
2021-05-17,645.9769897460938,666.0399780273438,703.0700073242188,650.3099975585938,674.4000244140625,36246545,2021-05-17
