Date,Adj Close_KRYSTAL.NS,Close_KRYSTAL.NS,High_KRYSTAL.NS,Low_KRYSTAL.NS,Open_KRYSTAL.NS,Volume_KRYSTAL.NS,Date
2024-03-18,709.37158203125,710.75,793.7999877929688,701.9000244140625,785.0,8404135,2024-03-18
2024-03-25,756.9791259765625,758.4500122070312,767.9500122070312,687.5999755859375,710.75,2030156,2024-03-25
2024-04-01,856.2362670898438,857.9000244140625,867.0499877929688,770.0499877929688,770.0499877929688,3195136,2024-04-01
2024-04-08,1014.3290405273438,1016.2999877929688,1021.9500122070312,839.0,865.0,6620854,2024-04-08
2024-04-15,796.4025268554688,797.9500122070312,997.5499877929688,782.0,984.9000244140625,7302779,2024-04-15
2024-04-22,763.5164184570312,765.0,823.0,752.7000122070312,815.0,5303816,2024-04-22
2024-04-29,755.4819946289062,756.9500122070312,770.0,726.1500244140625,768.0,514098,2024-04-29
2024-05-06,726.3885498046875,727.7999877929688,759.8499755859375,715.75,759.8499755859375,718531,2024-05-06
2024-05-13,703.8822631835938,705.25,729.5,681.0999755859375,724.7000122070312,195509,2024-05-13
2024-05-20,711.966552734375,713.3499755859375,737.4500122070312,688.0,699.5,612577,2024-05-20
2024-05-27,749.144287109375,750.5999755859375,794.9000244140625,703.0,715.0,1684180,2024-05-27
2024-06-03,743.2557983398438,744.7000122070312,773.4500122070312,627.9500122070312,770.0,485217,2024-06-03
2024-06-10,718.6036376953125,720.0,760.0,716.0499877929688,750.0,241355,2024-06-10
2024-06-17,758.5260620117188,760.0,764.0,718.0,720.0,602222,2024-06-17
2024-06-24,808.47900390625,810.0499877929688,888.0,762.9500122070312,762.9500122070312,2929169,2024-06-24
2024-07-01,819.85693359375,821.4500122070312,866.0,810.0499877929688,819.7000122070312,915864,2024-07-01
2024-07-08,752.9369506835938,754.4000244140625,828.3499755859375,750.0,821.5,563458,2024-07-08
2024-07-15,733.524658203125,734.9500122070312,766.9000244140625,722.1500244140625,759.9000244140625,388212,2024-07-15
2024-07-22,754.1845703125,755.6500244140625,783.0,708.5999755859375,725.0,409253,2024-07-22
2024-07-29,731.2291259765625,732.6500244140625,769.0,730.3499755859375,753.0,256155,2024-07-29
2024-08-05,701.1875,702.5499877929688,761.9500122070312,685.5999755859375,700.0,331888,2024-08-05
2024-08-12,718.8032836914062,720.2000122070312,769.9000244140625,710.0,725.0,687857,2024-08-12
2024-08-19,774.4950561523438,776.0,811.0,715.0,734.9000244140625,1070668,2024-08-19
2024-08-26,771.9500122070312,773.4500122070312,815.0,755.1500244140625,779.7999877929688,972554,2024-08-26
2024-09-02,807.2314453125,808.7999877929688,859.0,745.9500122070312,782.0,1800281,2024-09-02
2024-09-09,802.7999877929688,802.7999877929688,818.4000244140625,763.0999755859375,808.7999877929688,558553,2024-09-09
2024-09-16,768.25,768.25,823.9500122070312,755.6500244140625,809.5,402329,2024-09-16
2024-09-23,734.1500244140625,734.1500244140625,797.0,729.1500244140625,770.0,294492,2024-09-23
2024-09-30,741.2000122070312,741.2000122070312,749.0,710.9000244140625,739.9000244140625,210852,2024-09-30
2024-10-07,736.6500244140625,736.6500244140625,754.7999877929688,711.5499877929688,750.0,175362,2024-10-07
2024-10-14,741.5999755859375,741.5999755859375,776.0,721.6500244140625,751.7000122070312,442167,2024-10-14
2024-10-21,657.0999755859375,657.0999755859375,750.0,651.0999755859375,748.8499755859375,411480,2024-10-21
2024-10-28,717.0,717.0,740.5999755859375,655.0,675.0,537506,2024-10-28
