Date,Adj Close_PTCIL.NS,Close_PTCIL.NS,High_PTCIL.NS,Low_PTCIL.NS,Open_PTCIL.NS,Volume_PTCIL.NS,Date
2023-06-05,3070.14990234375,3070.14990234375,3149.949951171875,2950.0,3090.0,7308,2023-06-05
2023-06-12,3737.25,3737.25,3975.0,3129.949951171875,3132.0,147912,2023-06-12
2023-06-19,4518.85009765625,4518.85009765625,4674.2998046875,3750.0,3783.0,122862,2023-06-19
2023-06-26,4602.14990234375,4602.14990234375,4700.0,4333.2998046875,4552.0,26578,2023-06-26
2023-07-03,3870.75,3870.75,4586.0498046875,3850.0,4585.0498046875,29562,2023-07-03
2023-07-10,4014.75,4014.75,4318.75,3755.0,3860.0,24296,2023-07-10
2023-07-17,3896.14990234375,3896.14990234375,4123.25,3804.050048828125,4015.0,11631,2023-07-17
2023-07-24,3971.300048828125,3971.300048828125,4000.0,3825.0,3975.0,8481,2023-07-24
2023-07-31,4802.14990234375,4802.14990234375,4912.0,3902.0,3902.0,34055,2023-07-31
2023-08-07,5003.7998046875,5003.7998046875,5003.7998046875,4451.10009765625,4900.0,41649,2023-08-07
2023-08-14,5857.0498046875,5857.0498046875,6342.35009765625,5160.2001953125,5199.89990234375,140641,2023-08-14
2023-08-21,5908.10009765625,5908.10009765625,6134.5,5484.14990234375,5681.0,46335,2023-08-21
2023-08-28,5960.39990234375,5960.39990234375,6199.0,5700.0,6049.0,64656,2023-08-28
2023-09-04,6046.60009765625,6046.60009765625,6123.0,5670.0498046875,6048.0,15424,2023-09-04
2023-09-11,5887.35009765625,5887.35009765625,6185.0,5550.0,6100.0,29259,2023-09-11
2023-09-18,5531.4501953125,5531.4501953125,5910.5,5457.2998046875,5910.5,10416,2023-09-18
2023-09-25,5884.0,5884.0,6139.85009765625,5376.0,5535.25,17847,2023-09-25
2023-10-02,5486.5,5486.5,5928.14990234375,5424.0498046875,5884.0,12604,2023-10-02
2023-10-09,5215.4501953125,5215.4501953125,5565.0,5145.14990234375,5520.2998046875,11490,2023-10-09
2023-10-16,5084.10009765625,5084.10009765625,5460.0,5047.0,5156.0,24464,2023-10-16
2023-10-23,5013.14990234375,5013.14990234375,5138.9501953125,4692.0,5084.0,19676,2023-10-23
2023-10-30,5045.5,5045.5,5198.0,4848.0,5088.0,16036,2023-10-30
2023-11-06,4952.14990234375,4952.14990234375,5175.0,4799.25,5126.25,9916,2023-11-06
2023-11-13,5709.35009765625,5709.35009765625,5709.35009765625,4469.35009765625,4470.0,62830,2023-11-13
2023-11-20,5540.60009765625,5540.60009765625,5920.0,5430.0,5920.0,30969,2023-11-20
2023-11-27,5606.25,5606.25,5700.0,5460.0,5540.60009765625,17497,2023-11-27
2023-12-04,5459.60009765625,5459.60009765625,5790.0,5380.0,5790.0,13122,2023-12-04
2023-12-11,6079.10009765625,6079.10009765625,6741.89990234375,5325.0,5459.60009765625,84240,2023-12-11
2023-12-18,5893.60009765625,5893.60009765625,6295.0,5550.0,6295.0,27443,2023-12-18
2023-12-25,6000.14990234375,6000.14990234375,6280.0,5757.0,5893.60009765625,25135,2023-12-25
2024-01-01,7070.0498046875,7070.0498046875,7499.0,6097.0,6097.0,184005,2024-01-01
