Date,Adj Close_FAZE3Q.NS,Close_FAZE3Q.NS,High_FAZE3Q.NS,Low_FAZE3Q.NS,Open_FAZE3Q.NS,Volume_FAZE3Q.NS,Date
2022-11-14,306.5,306.5,319.79998779296875,303.1499938964844,318.79998779296875,26949,2022-11-14
2022-11-21,276.3999938964844,276.3999938964844,306.54998779296875,273.1499938964844,306.54998779296875,47207,2022-11-21
2022-11-28,309.5,309.5,312.0,268.04998779296875,281.5,51660,2022-11-28
2022-12-05,279.45001220703125,279.45001220703125,314.75,247.8000030517578,314.75,87430,2022-12-05
2022-12-12,282.6000061035156,282.6000061035156,289.0,270.0,287.0,46551,2022-12-12
2022-12-19,262.29998779296875,262.29998779296875,287.8999938964844,251.10000610351562,287.8999938964844,62595,2022-12-19
2022-12-26,285.0,285.0,298.0,262.25,263.04998779296875,31630,2022-12-26
2023-01-02,273.29998779296875,273.29998779296875,287.3999938964844,265.3999938964844,281.79998779296875,19402,2023-01-02
2023-01-09,284.3999938964844,284.3999938964844,292.8999938964844,270.1000061035156,270.1000061035156,25575,2023-01-09
2023-01-16,284.79998779296875,284.79998779296875,291.25,273.1499938964844,284.8500061035156,17715,2023-01-16
2023-01-23,282.3999938964844,282.3999938964844,291.25,272.0,291.25,27693,2023-01-23
2023-01-30,286.3500061035156,286.3500061035156,294.95001220703125,270.8999938964844,275.04998779296875,28208,2023-01-30
2023-02-06,284.0,284.0,288.45001220703125,275.3500061035156,287.0,12240,2023-02-06
2023-02-13,272.3999938964844,272.3999938964844,287.0,271.95001220703125,286.6000061035156,17214,2023-02-13
2023-02-20,280.45001220703125,280.45001220703125,286.0,251.0,275.0,28819,2023-02-20
2023-02-27,277.20001220703125,277.20001220703125,285.0,261.70001220703125,280.45001220703125,25504,2023-02-27
2023-03-06,293.95001220703125,293.95001220703125,298.8999938964844,272.0,279.0,26352,2023-03-06
2023-03-13,299.1499938964844,299.1499938964844,303.25,276.04998779296875,286.04998779296875,32319,2023-03-13
2023-03-20,300.1499938964844,300.1499938964844,309.79998779296875,298.0,300.04998779296875,20903,2023-03-20
2023-03-27,316.3500061035156,316.3500061035156,331.3999938964844,275.6499938964844,300.0,94903,2023-03-27
2023-04-03,329.3500061035156,329.3500061035156,339.3999938964844,320.0,321.8999938964844,45308,2023-04-03
2023-04-10,336.6499938964844,336.6499938964844,345.0,308.54998779296875,338.95001220703125,45750,2023-04-10
2023-04-17,359.1499938964844,359.1499938964844,387.04998779296875,327.1499938964844,342.5,104133,2023-04-17
2023-04-24,365.8500061035156,365.8500061035156,379.0,341.1499938964844,364.8500061035156,37297,2023-04-24
2023-05-01,370.25,370.25,380.75,359.79998779296875,365.8500061035156,43258,2023-05-01
2023-05-08,328.3500061035156,328.3500061035156,373.8999938964844,315.3999938964844,370.25,138305,2023-05-08
2023-05-15,340.20001220703125,340.20001220703125,353.45001220703125,310.0,321.0,86096,2023-05-15
2023-05-22,357.54998779296875,357.54998779296875,388.95001220703125,335.04998779296875,335.04998779296875,137625,2023-05-22
2023-05-29,352.6499938964844,352.6499938964844,361.79998779296875,338.04998779296875,360.0,64498,2023-05-29
2023-06-05,352.29998779296875,352.29998779296875,365.04998779296875,341.5,357.29998779296875,60366,2023-06-05
2023-06-12,398.75,398.75,425.0,350.1000061035156,352.3999938964844,314536,2023-06-12
2023-06-19,384.20001220703125,384.20001220703125,413.0,379.1499938964844,399.0,67118,2023-06-19
2023-06-26,403.20001220703125,403.20001220703125,420.95001220703125,383.54998779296875,389.95001220703125,60038,2023-06-26
2023-07-03,369.75,369.75,409.79998779296875,353.1499938964844,404.0,147500,2023-07-03
2023-07-10,411.45001220703125,411.45001220703125,436.95001220703125,362.0,373.04998779296875,404794,2023-07-10
2023-07-17,391.1499938964844,391.1499938964844,419.95001220703125,377.04998779296875,411.45001220703125,176019,2023-07-17
2023-07-24,362.70001220703125,362.70001220703125,393.8999938964844,359.0,390.0,118024,2023-07-24
2023-07-31,367.1499938964844,367.1499938964844,389.1499938964844,360.0,364.6499938964844,160604,2023-07-31
2023-08-07,371.75,371.75,387.3500061035156,359.95001220703125,370.8999938964844,79209,2023-08-07
2023-08-14,355.04998779296875,355.04998779296875,360.04998779296875,341.04998779296875,359.1499938964844,176516,2023-08-14
2023-08-21,382.54998779296875,382.54998779296875,412.95001220703125,355.04998779296875,355.04998779296875,243434,2023-08-21
2023-08-28,395.70001220703125,395.70001220703125,405.0,375.54998779296875,383.0,94262,2023-08-28
2023-09-04,399.3500061035156,399.3500061035156,414.95001220703125,395.20001220703125,395.25,190058,2023-09-04
2023-09-11,380.3999938964844,380.3999938964844,423.5,362.20001220703125,407.0,517848,2023-09-11
2023-09-18,359.25,359.25,389.0,354.54998779296875,382.5,122289,2023-09-18
2023-09-25,366.54998779296875,366.54998779296875,382.3500061035156,349.79998779296875,357.8999938964844,127255,2023-09-25
2023-10-02,376.04998779296875,376.04998779296875,377.95001220703125,363.0,366.54998779296875,40586,2023-10-02
2023-10-09,415.3500061035156,415.3500061035156,418.0,363.1000061035156,376.04998779296875,387710,2023-10-09
2023-10-16,477.45001220703125,477.45001220703125,540.0,420.0,424.45001220703125,1779366,2023-10-16
2023-10-23,465.20001220703125,465.20001220703125,485.0,403.3500061035156,485.0,452474,2023-10-23
2023-10-30,469.3500061035156,469.3500061035156,508.0,455.29998779296875,468.0,461989,2023-10-30
2023-11-06,444.1499938964844,444.1499938964844,482.0,436.5,475.0,299007,2023-11-06
2023-11-13,459.5,459.5,465.0,440.1000061035156,456.1499938964844,130166,2023-11-13
2023-11-20,482.45001220703125,482.45001220703125,499.5,445.54998779296875,459.0,304807,2023-11-20
2023-11-27,463.54998779296875,463.54998779296875,497.0,452.3999938964844,482.45001220703125,155224,2023-11-27
2023-12-04,451.6499938964844,451.6499938964844,473.20001220703125,444.6000061035156,470.45001220703125,117084,2023-12-04
2023-12-11,437.95001220703125,437.95001220703125,463.04998779296875,432.45001220703125,458.0,104325,2023-12-11
2023-12-18,440.20001220703125,440.20001220703125,458.0,425.0,440.0,144845,2023-12-18
2023-12-25,445.25,445.25,449.0,436.25,440.20001220703125,60487,2023-12-25
2024-01-01,446.04998779296875,446.04998779296875,466.0,363.25,445.79998779296875,154973,2024-01-01
2024-01-08,444.45001220703125,444.45001220703125,457.95001220703125,433.3500061035156,454.79998779296875,82462,2024-01-08
2024-01-15,439.45001220703125,439.45001220703125,447.8999938964844,419.6000061035156,444.45001220703125,82978,2024-01-15
2024-01-22,412.95001220703125,412.95001220703125,439.45001220703125,400.25,439.45001220703125,76424,2024-01-22
2024-01-29,451.8500061035156,451.8500061035156,477.95001220703125,396.3500061035156,410.04998779296875,319084,2024-01-29
2024-02-05,415.1499938964844,415.1499938964844,439.29998779296875,405.70001220703125,435.0,201118,2024-02-05
2024-02-12,416.8999938964844,416.8999938964844,421.0,395.1499938964844,417.20001220703125,139041,2024-02-12
2024-02-19,447.45001220703125,447.45001220703125,462.0,402.20001220703125,416.8999938964844,475556,2024-02-19
2024-02-26,427.8500061035156,427.8500061035156,450.0,414.45001220703125,448.0,179367,2024-02-26
2024-03-04,410.25,410.25,429.8999938964844,405.0,427.8999938964844,65540,2024-03-04
2024-03-11,379.45001220703125,379.45001220703125,415.20001220703125,350.0,415.0,160438,2024-03-11
2024-03-18,384.3999938964844,384.3999938964844,422.0,369.3999938964844,391.8999938964844,138728,2024-03-18
2024-03-25,359.1499938964844,359.1499938964844,383.54998779296875,344.5,380.0,143242,2024-03-25
2024-04-01,397.54998779296875,397.54998779296875,412.5,360.8500061035156,360.8999938964844,136819,2024-04-01
2024-04-08,389.0,389.0,405.0,387.0,400.0,52536,2024-04-08
2024-04-15,384.3999938964844,384.3999938964844,395.20001220703125,371.25,385.0,54412,2024-04-15
2024-04-22,422.29998779296875,422.29998779296875,451.29998779296875,375.54998779296875,386.3999938964844,442891,2024-04-22
2024-04-29,424.79998779296875,424.79998779296875,434.95001220703125,417.1000061035156,422.29998779296875,107308,2024-04-29
2024-05-06,441.1499938964844,441.1499938964844,444.0,410.3500061035156,423.54998779296875,147611,2024-05-06
2024-05-13,430.1000061035156,430.1000061035156,458.0,423.04998779296875,441.1499938964844,164027,2024-05-13
2024-05-20,404.45001220703125,404.45001220703125,440.3500061035156,383.54998779296875,418.29998779296875,281045,2024-05-20
2024-05-27,398.79998779296875,398.79998779296875,413.3999938964844,385.25,405.0,69577,2024-05-27
2024-06-03,397.45001220703125,397.45001220703125,412.0,348.8500061035156,404.0,89754,2024-06-03
2024-06-10,438.6000061035156,438.6000061035156,454.5,395.54998779296875,397.0,242351,2024-06-10
2024-06-17,415.1000061035156,415.1000061035156,452.0,412.54998779296875,435.0,175331,2024-06-17
2024-06-24,422.0,422.0,452.70001220703125,411.6499938964844,413.0,147740,2024-06-24
2024-07-01,452.20001220703125,452.20001220703125,468.95001220703125,420.04998779296875,423.79998779296875,301952,2024-07-01
2024-07-08,528.9500122070312,528.9500122070312,545.0,429.1499938964844,453.0,1169444,2024-07-08
2024-07-15,490.04998779296875,490.04998779296875,529.0,484.95001220703125,528.9500122070312,194412,2024-07-15
2024-07-22,537.5,537.5,573.0499877929688,461.0,490.0,1040464,2024-07-22
2024-07-29,546.4500122070312,546.4500122070312,556.0,500.95001220703125,537.5,487611,2024-07-29
2024-08-05,535.0999755859375,535.0999755859375,574.0,511.04998779296875,530.1500244140625,573839,2024-08-05
2024-08-12,496.95001220703125,496.95001220703125,584.4000244140625,484.3500061035156,532.25,371046,2024-08-12
2024-08-19,512.9000244140625,512.9000244140625,538.0,482.25,497.0,371476,2024-08-19
