Date,Adj Close_ORIENTALTL.NS,Close_ORIENTALTL.NS,High_ORIENTALTL.NS,Low_ORIENTALTL.NS,Open_ORIENTALTL.NS,Volume_ORIENTALTL.NS,Date
2020-07-13,13.199999809265137,13.199999809265137,14.550000190734863,13.199999809265137,14.550000190734863,11280,2020-07-13
2020-07-20,10.350000381469727,10.350000381469727,12.550000190734863,10.350000381469727,12.550000190734863,30897,2020-07-20
2020-07-27,8.449999809265137,8.449999809265137,10.300000190734863,8.449999809265137,9.850000381469727,660308,2020-07-27
2020-08-03,10.5,10.5,10.5,8.050000190734863,8.850000381469727,580645,2020-08-03
2020-08-10,12.0,12.0,13.050000190734863,11.0,11.0,468259,2020-08-10
2020-08-17,11.350000381469727,11.350000381469727,12.0,10.0,12.0,240993,2020-08-17
2020-08-24,10.550000190734863,10.550000190734863,11.25,10.100000381469727,10.899999618530273,170974,2020-08-24
2020-08-31,9.449999809265137,9.449999809265137,10.899999618530273,9.399999618530273,10.5,183924,2020-08-31
2020-09-07,11.550000190734863,11.550000190734863,11.899999618530273,9.350000381469727,9.899999618530273,372518,2020-09-07
2020-09-14,9.949999809265137,9.949999809265137,11.899999618530273,9.25,11.600000381469727,683320,2020-09-14
2020-09-21,9.399999618530273,9.399999618530273,10.399999618530273,8.800000190734863,10.300000190734863,127226,2020-09-21
2020-09-28,9.149999618530273,9.149999618530273,9.649999618530273,8.800000190734863,9.25,90447,2020-09-28
2020-10-05,8.949999809265137,8.949999809265137,9.699999809265137,8.899999618530273,9.0,82623,2020-10-05
2020-10-12,8.649999618530273,8.649999618530273,9.600000381469727,8.550000190734863,9.25,58689,2020-10-12
2020-10-19,8.800000190734863,8.800000190734863,9.25,8.149999618530273,8.350000381469727,63710,2020-10-19
2020-10-26,8.449999809265137,8.449999809265137,9.199999809265137,8.25,8.800000190734863,42580,2020-10-26
2020-11-02,7.75,7.75,8.449999809265137,7.300000190734863,8.449999809265137,93809,2020-11-02
2020-11-09,7.699999809265137,7.699999809265137,8.300000190734863,7.199999809265137,7.75,164081,2020-11-09
2020-11-16,7.550000190734863,7.550000190734863,8.0,7.449999809265137,7.5,77799,2020-11-16
