Date,Adj Close_TTKHLTCARE.NS,Close_TTKHLTCARE.NS,High_TTKHLTCARE.NS,Low_TTKHLTCARE.NS,Open_TTKHLTCARE.NS,Volume_TTKHLTCARE.NS,Date
2020-07-13,410.2980651855469,427.70001220703125,439.29998779296875,419.0,435.95001220703125,5046,2020-07-13
2020-07-20,405.8852233886719,423.1000061035156,460.0,421.1000061035156,436.0,33798,2020-07-20
2020-07-27,402.2398376464844,419.29998779296875,431.95001220703125,403.0,431.95001220703125,11392,2020-07-27
2020-08-03,452.1720886230469,471.3500061035156,493.5,420.0,428.95001220703125,79071,2020-08-03
2020-08-10,488.5780029296875,509.29998779296875,595.0,471.3500061035156,471.3500061035156,115266,2020-08-10
2020-08-17,482.0546569824219,502.5,522.0,478.20001220703125,511.29998779296875,23793,2020-08-17
2020-08-24,468.38446044921875,488.25,524.4000244140625,485.1499938964844,502.5,26540,2020-08-24
2020-08-31,445.9365234375,464.8500061035156,504.95001220703125,451.04998779296875,504.95001220703125,12355,2020-08-31
2020-09-07,449.0331726074219,465.1000061035156,496.8999938964844,440.95001220703125,469.95001220703125,13079,2020-09-07
2020-09-14,463.2253112792969,479.79998779296875,505.0,460.6000061035156,467.3500061035156,31776,2020-09-14
2020-09-21,443.57830810546875,459.45001220703125,492.0,430.0,481.6000061035156,11911,2020-09-21
2020-09-28,434.1651306152344,449.70001220703125,471.0,445.20001220703125,468.45001220703125,7872,2020-09-28
2020-10-05,427.84136962890625,443.1499938964844,462.0,440.0,454.6499938964844,5181,2020-10-05
2020-10-12,429.3861389160156,444.75,461.0,438.0,440.95001220703125,3648,2020-10-12
2020-10-19,424.17266845703125,439.3500061035156,457.8999938964844,429.04998779296875,457.8999938964844,6562,2020-10-19
2020-10-26,415.1456298828125,430.0,467.0,417.0,444.0,7068,2020-10-26
2020-11-02,436.868408203125,452.5,462.0,421.6000061035156,423.95001220703125,13253,2020-11-02
2020-11-09,469.5973205566406,486.3999938964844,511.70001220703125,432.6000061035156,452.0,71667,2020-11-09
2020-11-16,449.8537902832031,465.95001220703125,497.79998779296875,462.3999938964844,480.6000061035156,11171,2020-11-16
2020-11-23,460.5220031738281,477.0,481.0,461.54998779296875,478.8999938964844,9063,2020-11-23
2020-11-30,474.23150634765625,491.20001220703125,515.0,471.6000061035156,477.0,21176,2020-11-30
2020-12-07,575.7491455078125,596.3499755859375,635.0,488.04998779296875,493.95001220703125,85584,2020-12-07
2020-12-14,571.8872680664062,592.3499755859375,624.7999877929688,575.0,609.7999877929688,39861,2020-12-14
2020-12-21,558.0812377929688,578.0499877929688,600.0,488.0,593.0499877929688,17912,2020-12-21
2020-12-28,562.232666015625,582.3499755859375,610.0,565.4500122070312,587.9500122070312,19829,2020-12-28
2021-01-04,550.50244140625,570.2000122070312,598.0499877929688,551.0,590.9500122070312,20159,2021-01-04
2021-01-11,544.6130981445312,564.0999755859375,589.75,560.0,568.5499877929688,10877,2021-01-11
2021-01-18,541.6685180664062,561.0499877929688,606.9000244140625,531.5,578.0499877929688,22282,2021-01-18
2021-01-25,542.6822509765625,562.0999755859375,597.9500122070312,525.0,564.2000122070312,6026,2021-01-25
2021-02-01,579.466064453125,600.2000122070312,668.9000244140625,561.5,570.0,69222,2021-02-01
2021-02-08,554.2677001953125,574.0999755859375,611.0499877929688,550.0,611.0499877929688,31108,2021-02-08
2021-02-15,552.143798828125,571.9000244140625,590.5499877929688,555.0,575.0,18527,2021-02-15
2021-02-22,543.2615356445312,562.7000122070312,592.9500122070312,544.9500122070312,588.0,11837,2021-02-22
2021-03-01,535.1517333984375,554.2999877929688,585.0,545.0,565.7000122070312,10752,2021-03-01
2021-03-08,540.510009765625,559.8499755859375,580.0,555.5499877929688,564.5,6676,2021-03-08
2021-03-15,499.8643798828125,517.75,565.4000244140625,490.0,565.4000244140625,18022,2021-03-15
2021-03-22,469.1628723144531,485.95001220703125,541.0,457.8999938964844,527.5,48752,2021-03-22
2021-03-29,480.0724792480469,497.25,505.0,478.0,485.95001220703125,5820,2021-03-29
2021-04-05,499.62298583984375,517.5,525.0,484.95001220703125,497.5,10914,2021-04-05
2021-04-12,485.0445861816406,502.3999938964844,530.0,489.3500061035156,517.0,6002,2021-04-12
2021-04-19,670.6533203125,694.6500244140625,733.9000244140625,481.25,481.25,475227,2021-04-19
2021-04-26,593.561767578125,614.7999877929688,708.7999877929688,610.0499877929688,702.9000244140625,142894,2021-04-26
