Date,Adj Close_SENORES.NS,Close_SENORES.NS,High_SENORES.NS,Low_SENORES.NS,Open_SENORES.NS,Volume_SENORES.NS,Date
2024-12-30,573.1500244140625,573.1500244140625,609.6500244140625,538.8499755859375,600.0,22202205,2024-12-30
2025-01-06,502.8500061035156,502.8500061035156,576.3499755859375,500.25,576.3499755859375,3532879,2025-01-06
2025-01-13,525.4000244140625,525.4000244140625,530.9000244140625,435.25,494.20001220703125,3522715,2025-01-13
2025-01-20,560.6500244140625,560.6500244140625,589.9000244140625,490.04998779296875,530.0,8373130,2025-01-20
2025-01-27,534.0499877929688,534.0499877929688,557.2000122070312,470.54998779296875,549.7999877929688,5759187,2025-01-27
2025-02-03,588.6500244140625,588.6500244140625,644.7999877929688,506.70001220703125,524.9000244140625,12428057,2025-02-03
2025-02-10,515.0,515.0,587.8499755859375,498.8999938964844,582.5499877929688,5743502,2025-02-10
2025-02-17,562.3499755859375,562.3499755859375,576.0,492.95001220703125,508.75,4069202,2025-02-17
2025-02-24,544.8499755859375,544.8499755859375,585.0,533.75,542.0499877929688,3851659,2025-02-24
2025-03-03,568.25,568.25,618.0,516.5,550.9500122070312,5541345,2025-03-03
2025-03-10,566.7000122070312,566.7000122070312,587.9500122070312,530.9500122070312,567.5499877929688,2000405,2025-03-10
2025-03-17,627.0999755859375,627.0999755859375,665.0,563.0,566.7999877929688,5101486,2025-03-17
2025-03-24,570.5999755859375,570.5999755859375,648.0,549.0,639.1500244140625,5363924,2025-03-24
2025-03-31,531.8499755859375,531.8499755859375,598.9000244140625,523.6500244140625,570.5999755859375,3002740,2025-03-31
2025-04-07,553.4000244140625,553.4000244140625,557.0,440.29998779296875,440.29998779296875,2537936,2025-04-07
2025-04-14,549.5,549.5,570.0499877929688,538.25,553.4000244140625,1103350,2025-04-14
2025-04-21,517.0499877929688,517.0499877929688,553.9000244140625,507.75,549.9000244140625,1426854,2025-04-21
2025-04-28,506.3999938964844,506.3999938964844,521.1500244140625,500.6000061035156,512.0,751122,2025-04-28
2025-05-05,485.79998779296875,485.79998779296875,537.75,475.0,509.79998779296875,1404456,2025-05-05
2025-05-12,496.1000061035156,496.1000061035156,558.4000244140625,491.0,500.0,3297604,2025-05-12
2025-05-19,507.5,507.5,524.0999755859375,499.1499938964844,501.0,1263568,2025-05-19
2025-05-26,523.25,523.25,530.0,500.0,505.1000061035156,829010,2025-05-26
2025-06-02,532.9000244140625,532.9000244140625,541.9500122070312,510.25,524.5999755859375,976509,2025-06-02
2025-06-09,556.9500122070312,556.9500122070312,564.0,529.0999755859375,536.0,1624573,2025-06-09
2025-06-16,520.1500244140625,520.1500244140625,564.7999877929688,513.0,560.0,775246,2025-06-16
2025-06-23,568.2000122070312,568.2000122070312,580.0,515.0,520.0,1568051,2025-06-23
2025-06-30,566.7999877929688,566.7999877929688,595.0,547.7000122070312,561.0,1532199,2025-06-30
2025-07-07,611.5,611.5,624.7999877929688,558.5499877929688,567.0,1987367,2025-07-07
2025-07-14,627.9000244140625,627.9000244140625,635.0,602.2000122070312,611.5,630521,2025-07-14
