Date,Adj Close_ROSSELLIND.NS,Close_ROSSELLIND.NS,High_ROSSELLIND.NS,Low_ROSSELLIND.NS,Open_ROSSELLIND.NS,Volume_ROSSELLIND.NS,Date
2020-07-13,71.35381317138672,71.80000305175781,74.69999694824219,69.30000305175781,72.75,16784,2020-07-13
2020-07-20,75.77616119384766,76.25,77.25,71.1500015258789,74.4000015258789,45270,2020-07-20
2020-07-27,75.3786392211914,75.8499984741211,80.5,72.5,72.75,93568,2020-07-27
2020-08-03,91.08045959472656,91.6500015258789,91.9000015258789,72.4000015258789,72.4000015258789,95645,2020-08-03
2020-08-10,92.67052459716797,93.25,100.0999984741211,90.05000305175781,94.5999984741211,131526,2020-08-10
2020-08-17,103.70154571533203,104.3499984741211,104.3499984741211,91.1500015258789,95.4000015258789,103207,2020-08-17
2020-08-24,128.14866638183594,128.9499969482422,133.0500030517578,109.55000305175781,109.55000305175781,332796,2020-08-24
2020-08-31,131.17970275878906,132.0,132.0,116.44999694824219,122.55000305175781,144416,2020-08-31
2020-09-07,136.64553833007812,137.5,145.5,129.60000610351562,136.75,274715,2020-09-07
2020-09-14,168.49636840820312,169.5500030517578,169.5500030517578,138.64999389648438,143.8000030517578,244064,2020-09-14
2020-09-21,142.06442260742188,142.75,177.89999389648438,139.9499969482422,173.64999389648438,284224,2020-09-21
2020-09-28,146.94088745117188,147.64999389648438,165.14999389648438,141.0,143.0,96773,2020-09-28
2020-10-05,138.23289489746094,138.89999389648438,154.0,136.5500030517578,154.0,113568,2020-10-05
2020-10-12,125.94221496582031,126.55000305175781,138.9499969482422,126.0999984741211,138.85000610351562,107269,2020-10-12
2020-10-19,131.465576171875,132.10000610351562,132.64999389648438,125.0999984741211,132.64999389648438,47860,2020-10-19
2020-10-26,125.29534149169922,125.9000015258789,138.6999969482422,125.0,136.60000610351562,44221,2020-10-26
2020-11-02,128.77853393554688,129.39999389648438,133.9499969482422,125.80000305175781,125.8499984741211,39806,2020-11-02
2020-11-09,119.32417297363281,119.9000015258789,134.60000610351562,119.0,133.3000030517578,164058,2020-11-09
2020-11-16,130.17181396484375,130.8000030517578,133.1999969482422,113.94999694824219,125.25,192814,2020-11-16
2020-11-23,127.48478698730469,128.10000610351562,138.0,127.19999694824219,135.14999389648438,82401,2020-11-23
2020-11-30,124.1010971069336,124.69999694824219,129.85000610351562,121.1500015258789,128.10000610351562,87520,2020-11-30
2020-12-07,130.52011108398438,131.14999389648438,137.8000030517578,124.80000305175781,124.80000305175781,140665,2020-12-07
2020-12-14,131.8138885498047,132.4499969482422,142.5,129.0,134.39999389648438,167974,2020-12-14
2020-12-21,124.64846801757812,125.25,132.0500030517578,113.3499984741211,132.0500030517578,84247,2020-12-21
2020-12-28,126.14126586914062,126.75,132.0,125.3499984741211,129.8000030517578,84397,2020-12-28
2021-01-04,124.44942474365234,125.05000305175781,130.0,124.05000305175781,128.75,61635,2021-01-04
2021-01-11,120.36911010742188,120.94999694824219,128.9499969482422,119.0,125.9000015258789,90521,2021-01-11
2021-01-18,121.56336212158203,122.1500015258789,127.9000015258789,118.55000305175781,121.5,81966,2021-01-18
2021-01-25,122.65807342529297,123.25,126.0,114.0,123.30000305175781,46879,2021-01-25
2021-02-01,129.52493286132812,130.14999389648438,132.0,119.1500015258789,123.25,120432,2021-02-01
2021-02-08,114.2486572265625,114.80000305175781,132.75,111.0999984741211,131.89999389648438,197895,2021-02-08
2021-02-15,109.22290802001953,109.75,117.3499984741211,107.94999694824219,114.80000305175781,63091,2021-02-15
2021-02-22,107.38179016113281,107.9000015258789,119.9000015258789,103.3499984741211,112.94999694824219,39361,2021-02-22
2021-03-01,119.07535552978516,119.6500015258789,132.5,103.8499984741211,107.44999694824219,565595,2021-03-01
2021-03-08,118.42847442626953,119.0,125.94999694824219,117.0,122.9000015258789,72872,2021-03-08
2021-03-15,112.00946807861328,112.55000305175781,120.6500015258789,103.55000305175781,120.4000015258789,85275,2021-03-15
2021-03-22,106.28707885742188,106.80000305175781,118.0,105.0,112.55000305175781,112300,2021-03-22
2021-03-29,109.17314147949219,109.69999694824219,111.94999694824219,104.05000305175781,106.80000305175781,39459,2021-03-29
2021-04-05,111.46210479736328,112.0,115.0,105.0,109.25,40846,2021-04-05
2021-04-12,103.35124206542969,103.8499984741211,113.4000015258789,100.5,113.4000015258789,52604,2021-04-12
2021-04-19,104.39619445800781,104.9000015258789,109.0,98.25,103.8499984741211,30094,2021-04-19
2021-04-26,119.17488098144531,119.75,123.69999694824219,104.19999694824219,106.0999984741211,123726,2021-04-26
2021-05-03,119.67247772216797,120.25,129.75,117.0999984741211,120.0,286480,2021-05-03
2021-05-10,121.86190795898438,122.44999694824219,137.85000610351562,115.0,123.0,2911837,2021-05-10
2021-05-17,118.92607879638672,119.5,126.80000305175781,118.1500015258789,125.19999694824219,786504,2021-05-17
2021-05-24,118.57776641845703,119.1500015258789,125.25,117.94999694824219,120.5999984741211,860011,2021-05-24
2021-05-31,121.86190795898438,122.44999694824219,124.9000015258789,118.5,119.69999694824219,1243905,2021-05-31
2021-06-07,136.09324645996094,136.75,142.6999969482422,122.0,122.5999984741211,3517470,2021-06-07
2021-06-14,147.88633728027344,148.60000610351562,168.5,126.30000305175781,137.6999969482422,6175450,2021-06-14
2021-06-21,144.60218811035156,145.3000030517578,156.0,140.1999969482422,145.0,1464787,2021-06-21
2021-06-28,154.00677490234375,154.75,168.89999389648438,144.5,146.0,4326847,2021-06-28
2021-07-05,153.85751342773438,154.60000610351562,159.0,148.5500030517578,156.64999389648438,756986,2021-07-05
2021-07-12,171.3729705810547,172.1999969482422,183.0,154.5,155.8000030517578,3464712,2021-07-12
2021-07-19,187.4951629638672,188.39999389648438,199.9499969482422,169.0,170.89999389648438,2904721,2021-07-19
2021-07-26,194.76010131835938,195.6999969482422,211.0,185.8000030517578,189.35000610351562,2661490,2021-07-26
2021-08-02,182.7679901123047,183.64999389648438,212.0,175.0,197.60000610351562,1973722,2021-08-02
2021-08-09,166.695556640625,167.5,184.1999969482422,145.10000610351562,181.0,1915233,2021-08-09
2021-08-16,147.83656311035156,148.5500030517578,167.5500030517578,147.0,167.0,458476,2021-08-16
2021-08-23,154.753173828125,155.5,165.5,138.64999389648438,154.0,700039,2021-08-23
2021-08-30,158.8832550048828,159.64999389648438,170.0,157.0,159.9499969482422,568711,2021-08-30
2021-09-06,169.94993591308594,170.4499969482422,173.3000030517578,157.60000610351562,159.9499969482422,811658,2021-09-06
2021-09-13,168.80332946777344,169.3000030517578,179.0,165.64999389648438,174.0,1208579,2021-09-13
2021-09-20,159.68014526367188,160.14999389648438,169.6999969482422,153.85000610351562,165.39999389648438,515161,2021-09-20
2021-09-27,155.0437774658203,155.5,164.39999389648438,155.0,161.89999389648438,294521,2021-09-27
2021-10-04,169.0525665283203,169.5500030517578,174.8000030517578,156.25,157.5,1376570,2021-10-04
2021-10-11,169.99978637695312,170.5,181.0,167.4499969482422,170.39999389648438,1060720,2021-10-11
2021-10-18,155.0437774658203,155.5,173.0,150.5500030517578,171.25,428984,2021-10-18
2021-10-25,154.8942413330078,155.35000610351562,166.5,151.10000610351562,159.89999389648438,418621,2021-10-25
2021-11-01,159.92941284179688,160.39999389648438,161.85000610351562,155.0,156.64999389648438,91629,2021-11-01
2021-11-08,144.32533264160156,144.75,167.9499969482422,143.10000610351562,162.6999969482422,848479,2021-11-08
2021-11-15,138.59219360351562,139.0,150.0,137.4499969482422,144.0,371923,2021-11-15
2021-11-22,130.41627502441406,130.8000030517578,140.75,128.14999389648438,140.75,402770,2021-11-22
2021-11-29,131.51303100585938,131.89999389648438,134.8000030517578,123.0,130.0,228821,2021-11-29
2021-12-06,137.9939422607422,138.39999389648438,142.4499969482422,128.0,132.89999389648438,199003,2021-12-06
2021-12-13,133.65673828125,134.0500030517578,141.0,130.0500030517578,139.4499969482422,190548,2021-12-13
2021-12-20,130.1669921875,130.5500030517578,138.39999389648438,127.80000305175781,132.60000610351562,177832,2021-12-20
2021-12-27,140.6361846923828,141.0500030517578,146.0,128.6999969482422,128.6999969482422,261535,2021-12-27
2022-01-03,151.70361328125,152.14999389648438,163.5,138.0,138.60000610351562,1120251,2022-01-03
2022-01-10,153.8971710205078,154.35000610351562,166.4499969482422,148.0,152.39999389648438,602564,2022-01-10
2022-01-17,152.75054931640625,153.1999969482422,167.0,152.5,155.64999389648438,338888,2022-01-17
