Date,Adj Close_ROSSELLIND.NS,Close_ROSSELLIND.NS,High_ROSSELLIND.NS,Low_ROSSELLIND.NS,Open_ROSSELLIND.NS,Volume_ROSSELLIND.NS,Date
2022-01-24,141.03501892089844,141.4499969482422,155.9499969482422,135.14999389648438,155.9499969482422,340442,2022-01-24
2022-01-31,144.02621459960938,144.4499969482422,150.5,140.5,142.6999969482422,313698,2022-01-31
2022-02-07,136.34881591796875,136.75,149.0,132.10000610351562,144.0500030517578,279713,2022-02-07
2022-02-14,131.86199951171875,132.25,136.89999389648438,126.55000305175781,135.0,176566,2022-02-14
2022-02-21,122.98812103271484,123.3499984741211,134.9499969482422,119.5999984741211,133.4499969482422,181209,2022-02-21
2022-02-28,140.38693237304688,140.8000030517578,156.39999389648438,114.5,121.55000305175781,956113,2022-02-28
2022-03-07,147.96461486816406,148.39999389648438,152.5,136.10000610351562,137.8000030517578,346426,2022-03-07
2022-03-14,158.7827911376953,159.25,167.4499969482422,146.64999389648438,154.0,557400,2022-03-14
2022-03-21,174.63613891601562,175.14999389648438,177.75,158.0500030517578,159.6999969482422,827194,2022-03-21
2022-03-28,184.5569610595703,185.10000610351562,203.0,171.8000030517578,177.5,846312,2022-03-28
2022-04-04,191.0877227783203,191.64999389648438,204.0,182.8000030517578,187.5,900592,2022-04-04
2022-04-11,190.7886199951172,191.35000610351562,195.0,181.0,189.10000610351562,272067,2022-04-11
2022-04-18,211.527587890625,212.14999389648438,225.8000030517578,183.60000610351562,190.3000030517578,1772112,2022-04-18
2022-04-25,202.7035675048828,203.3000030517578,223.3000030517578,202.14999389648438,208.0,800956,2022-04-25
2022-05-02,179.07308959960938,179.60000610351562,202.60000610351562,175.0,199.0,340364,2022-05-02
2022-05-09,173.5892333984375,174.10000610351562,187.14999389648438,166.25,175.10000610351562,239492,2022-05-09
2022-05-16,184.1082763671875,184.64999389648438,190.0,171.75,175.0,177073,2022-05-16
2022-05-23,167.2578582763672,167.75,188.75,160.5500030517578,186.0500030517578,155657,2022-05-23
2022-05-30,172.5423126220703,173.0500030517578,183.0,165.25,169.35000610351562,121978,2022-05-30
2022-06-06,184.35752868652344,184.89999389648438,190.85000610351562,169.75,173.9499969482422,258451,2022-06-06
2022-06-13,161.8737030029297,162.35000610351562,184.85000610351562,160.14999389648438,176.5,87813,2022-06-13
2022-06-20,174.43673706054688,174.9499969482422,179.8000030517578,144.0,164.0,137597,2022-06-20
2022-06-27,168.00564575195312,168.5,184.75,167.10000610351562,176.64999389648438,68707,2022-06-27
2022-07-04,170.3986053466797,170.89999389648438,176.60000610351562,165.10000610351562,170.14999389648438,109257,2022-07-04
2022-07-11,180.2197265625,180.75,192.9499969482422,169.10000610351562,169.10000610351562,260343,2022-07-11
2022-07-18,200.41030883789062,201.0,215.89999389648438,180.9499969482422,184.35000610351562,637512,2022-07-18
2022-07-25,220.60089111328125,221.25,225.0,195.0,200.0,509829,2022-07-25
2022-08-01,208.8955078125,209.1999969482422,235.60000610351562,206.35000610351562,235.60000610351562,625117,2022-08-01
2022-08-08,212.19070434570312,212.5,221.89999389648438,207.3000030517578,209.0,167186,2022-08-08
2022-08-15,242.54644775390625,242.89999389648438,262.0,209.14999389648438,212.5,1299500,2022-08-15
2022-08-22,227.0190887451172,227.35000610351562,252.64999389648438,226.0,242.10000610351562,341718,2022-08-22
2022-08-29,269.90655517578125,270.29998779296875,280.0,222.0,229.0,1422969,2022-08-29
2022-09-05,297.2667236328125,297.70001220703125,338.3500061035156,265.3500061035156,270.29998779296875,3037417,2022-09-05
2022-09-12,294.02142333984375,294.45001220703125,317.29998779296875,291.1000061035156,295.75,527317,2022-09-12
2022-09-19,275.049072265625,275.45001220703125,312.0,267.0,291.04998779296875,390150,2022-09-19
2022-09-26,274.849365234375,275.25,279.0,250.14999389648438,271.3500061035156,323862,2022-09-26
2022-10-03,282.63800048828125,283.04998779296875,284.25,259.79998779296875,279.79998779296875,140922,2022-10-03
2022-10-10,281.68939208984375,282.1000061035156,315.5,276.1499938964844,280.0,557175,2022-10-10
2022-10-17,282.2885437011719,282.70001220703125,297.0,274.04998779296875,285.0,200868,2022-10-17
2022-10-24,279.94195556640625,280.3500061035156,290.0,277.70001220703125,285.0,83907,2022-10-24
2022-10-31,287.6307067871094,288.04998779296875,308.3999938964844,278.5,280.1000061035156,279490,2022-10-31
2022-11-07,297.86578369140625,298.29998779296875,306.0,255.25,288.0,638013,2022-11-07
2022-11-14,306.40338134765625,306.8500061035156,361.5,286.79998779296875,300.8500061035156,2856181,2022-11-14
2022-11-21,372.5069885253906,373.04998779296875,384.95001220703125,297.1000061035156,306.0,3199134,2022-11-21
2022-11-28,346.0455627441406,346.54998779296875,373.3999938964844,340.6000061035156,373.3999938964844,611457,2022-11-28
2022-12-05,324.32720947265625,324.79998779296875,372.0,318.04998779296875,349.8500061035156,592624,2022-12-05
2022-12-12,336.9588317871094,337.45001220703125,359.0,319.0,319.0,571415,2022-12-12
2022-12-19,285.9831237792969,286.3999938964844,343.29998779296875,280.6000061035156,340.79998779296875,351635,2022-12-19
2022-12-26,317.2375793457031,317.70001220703125,336.79998779296875,287.04998779296875,289.95001220703125,378686,2022-12-26
2023-01-02,309.09942626953125,309.54998779296875,329.0,305.54998779296875,318.8999938964844,144752,2023-01-02
2023-01-09,316.0892333984375,316.54998779296875,323.75,309.0,311.1000061035156,149296,2023-01-09
2023-01-16,318.48577880859375,318.95001220703125,325.5,312.0,320.0,96899,2023-01-16
2023-01-23,301.5604248046875,302.0,323.0,291.54998779296875,318.95001220703125,111726,2023-01-23
2023-01-30,282.1886901855469,282.6000061035156,309.0,278.5,304.6499938964844,128016,2023-01-30
2023-02-06,263.0166015625,263.3999938964844,303.79998779296875,256.5,282.6000061035156,210918,2023-02-06
2023-02-13,286.1828308105469,286.6000061035156,305.5,221.1999969482422,258.04998779296875,848159,2023-02-13
2023-02-20,246.29098510742188,246.64999389648438,287.0,246.0,286.6000061035156,113756,2023-02-20
2023-02-27,256.7257995605469,257.1000061035156,266.45001220703125,237.5500030517578,248.8000030517578,143973,2023-02-27
2023-03-06,269.60699462890625,270.0,275.95001220703125,256.0,261.8999938964844,163831,2023-03-06
2023-03-13,250.28515625,250.64999389648438,270.0,241.14999389648438,270.0,103367,2023-03-13
2023-03-20,237.40394592285156,237.75,257.8999938964844,235.4499969482422,250.64999389648438,161769,2023-03-20
2023-03-27,241.89739990234375,242.25,247.3000030517578,221.0,235.0500030517578,230937,2023-03-27
2023-04-03,255.2279815673828,255.60000610351562,258.0,238.4499969482422,247.0,118895,2023-04-03
2023-04-10,256.17657470703125,256.54998779296875,270.0,251.75,251.75,103275,2023-04-10
2023-04-17,249.8358154296875,250.1999969482422,268.6499938964844,243.10000610351562,257.95001220703125,176765,2023-04-17
2023-04-24,260.3704833984375,260.75,263.8500061035156,245.5500030517578,251.64999389648438,107816,2023-04-24
2023-05-01,262.1678161621094,262.54998779296875,274.8500061035156,256.1000061035156,260.75,95073,2023-05-01
2023-05-08,289.1784973144531,289.6000061035156,304.3999938964844,252.75,262.54998779296875,375310,2023-05-08
2023-05-15,289.0286865234375,289.45001220703125,293.20001220703125,276.5,290.0,162663,2023-05-15
2023-05-22,293.4222717285156,293.8500061035156,305.20001220703125,281.5,291.45001220703125,174281,2023-05-22
2023-05-29,307.9510803222656,308.3999938964844,313.45001220703125,266.6000061035156,283.3500061035156,723709,2023-05-29
2023-06-05,329.8691711425781,330.3500061035156,341.54998779296875,296.54998779296875,309.95001220703125,1216206,2023-06-05
2023-06-12,324.7765808105469,325.25,351.3500061035156,318.0,330.3500061035156,576892,2023-06-12
2023-06-19,343.5491943359375,344.04998779296875,351.0,315.3500061035156,327.8999938964844,417381,2023-06-19
2023-06-26,367.364501953125,367.8999938964844,371.6000061035156,341.25,347.75,435298,2023-06-26
2023-07-03,358.82696533203125,359.3500061035156,373.1499938964844,341.45001220703125,369.8999938964844,329193,2023-07-03
2023-07-10,425.82928466796875,426.45001220703125,437.5,361.0,364.79998779296875,1842485,2023-07-10
2023-07-17,426.72796630859375,427.3500061035156,444.8999938964844,412.1499938964844,429.0,485615,2023-07-17
2023-07-24,451.5676574707031,451.79998779296875,457.95001220703125,424.04998779296875,428.20001220703125,611885,2023-07-24
2023-07-31,443.3719177246094,443.6000061035156,462.0,410.1499938964844,454.54998779296875,617921,2023-07-31
2023-08-07,410.4388427734375,410.6499938964844,449.79998779296875,405.75,446.0,292667,2023-08-07
2023-08-14,419.68408203125,419.8999938964844,441.0,397.25,414.25,310562,2023-08-14
2023-08-21,428.3796081542969,428.6000061035156,438.0,409.1000061035156,418.0,267306,2023-08-21
2023-08-28,491.3971862792969,491.6499938964844,502.8500061035156,415.29998779296875,425.0,1764343,2023-08-28
2023-09-04,519.7825927734375,520.0499877929688,537.7999877929688,466.20001220703125,504.8999938964844,1405008,2023-09-04
2023-09-11,510.1875305175781,510.45001220703125,549.0,462.6000061035156,522.6500244140625,1143346,2023-09-11
2023-09-18,528.378173828125,528.6500244140625,539.0,480.1499938964844,510.29998779296875,704018,2023-09-18
2023-09-25,515.1849365234375,515.4500122070312,526.9000244140625,490.6000061035156,523.0,575950,2023-09-25
2023-10-02,515.9845581054688,516.25,534.7999877929688,506.0,515.4500122070312,451311,2023-10-02
2023-10-09,499.4930114746094,499.75,513.9500122070312,488.04998779296875,502.0,231104,2023-10-09
2023-10-16,489.4482116699219,489.70001220703125,509.0,483.1499938964844,499.75,266148,2023-10-16
2023-10-23,453.61663818359375,453.8500061035156,491.04998779296875,423.6499938964844,489.5,371299,2023-10-23
2023-10-30,462.2621765136719,462.5,472.95001220703125,445.0,455.0,200359,2023-10-30
2023-11-06,452.1673583984375,452.3999938964844,490.95001220703125,443.0,462.54998779296875,255227,2023-11-06
2023-11-13,449.76861572265625,450.0,472.0,445.1499938964844,459.29998779296875,118051,2023-11-13
2023-11-20,454.6161193847656,454.8500061035156,490.0,441.04998779296875,452.6499938964844,320787,2023-11-20
2023-11-27,494.0957946777344,494.3500061035156,524.7000122070312,446.6499938964844,454.8500061035156,2143875,2023-11-27
2023-12-04,471.20758056640625,471.45001220703125,506.20001220703125,465.95001220703125,498.1000061035156,412181,2023-12-04
2023-12-11,466.659912109375,466.8999938964844,481.3500061035156,460.0,476.6499938964844,244740,2023-12-11
2023-12-18,475.8551940917969,476.1000061035156,488.8999938964844,443.79998779296875,466.5,479970,2023-12-18
2023-12-25,469.05865478515625,469.29998779296875,494.3999938964844,463.45001220703125,476.1000061035156,243233,2023-12-25
2024-01-01,460.3631591796875,460.6000061035156,476.54998779296875,449.8500061035156,463.0,193399,2024-01-01
2024-01-08,458.0643310546875,458.29998779296875,474.8500061035156,446.5,463.29998779296875,181353,2024-01-08
2024-01-15,449.26885986328125,449.5,468.0,424.8999938964844,461.0,176392,2024-01-15
2024-01-22,450.56817626953125,450.79998779296875,458.0,418.0,449.5,107906,2024-01-22
2024-01-29,460.9128723144531,461.1499938964844,481.6000061035156,440.0,453.54998779296875,372801,2024-01-29
2024-02-05,433.1271667480469,433.3500061035156,466.0,426.70001220703125,461.20001220703125,221199,2024-02-05
2024-02-12,466.2601318359375,466.5,472.0,397.3500061035156,433.1000061035156,230429,2024-02-12
2024-02-19,450.66815185546875,450.8999938964844,474.8500061035156,446.6000061035156,466.0,120271,2024-02-19
2024-02-26,421.0833435058594,421.29998779296875,464.8500061035156,417.20001220703125,449.5,161720,2024-02-26
2024-03-04,405.2914733886719,405.5,439.3999938964844,399.6000061035156,420.25,159505,2024-03-04
2024-03-11,366.7113342285156,366.8999938964844,408.0,341.6000061035156,405.54998779296875,220384,2024-03-11
2024-03-18,385.4017333984375,385.6000061035156,389.8999938964844,356.0,368.70001220703125,247495,2024-03-18
2024-03-25,354.7674865722656,354.95001220703125,397.45001220703125,350.3999938964844,385.6000061035156,222414,2024-03-25
2024-04-01,405.1915283203125,405.3999938964844,418.0,356.75,356.75,263349,2024-04-01
2024-04-08,405.7912292480469,406.0,411.1499938964844,393.3999938964844,408.0,116149,2024-04-08
2024-04-15,394.5470275878906,394.75,413.20001220703125,384.79998779296875,395.0,84734,2024-04-15
2024-04-22,468.1091613769531,468.3500061035156,468.3500061035156,385.29998779296875,391.0,625789,2024-04-22
2024-04-29,464.3111267089844,464.54998779296875,516.9500122070312,450.0,508.95001220703125,1081941,2024-04-29
2024-05-06,460.9128723144531,461.1499938964844,481.0,435.95001220703125,464.1000061035156,369871,2024-05-06
2024-05-13,485.6001892089844,485.8500061035156,492.70001220703125,441.25,461.20001220703125,307357,2024-05-13
2024-05-20,498.3436279296875,498.6000061035156,515.9500122070312,462.54998779296875,474.25,351425,2024-05-20
2024-05-27,444.7212219238281,444.95001220703125,504.0,440.79998779296875,500.0,387530,2024-05-27
2024-06-03,441.9726257324219,442.20001220703125,472.8999938964844,363.6000061035156,448.04998779296875,295971,2024-06-03
2024-06-10,492.3467102050781,492.6000061035156,506.0,442.25,442.25,653979,2024-06-10
2024-06-17,470.258056640625,470.5,512.0,467.8999938964844,492.6000061035156,373730,2024-06-17
2024-06-24,568.1077270507812,568.4000244140625,600.8499755859375,467.3500061035156,468.79998779296875,4165249,2024-06-24
2024-07-01,576.50341796875,576.7999877929688,590.0,561.6500244140625,570.0,562065,2024-07-01
2024-07-08,586.1984252929688,586.5,664.4000244140625,571.0,580.0,1999108,2024-07-08
2024-07-15,565.2591552734375,565.5499877929688,629.0,561.0,590.0,541791,2024-07-15
2024-07-22,608.8867797851562,609.2000122070312,631.0,550.0,562.5,447605,2024-07-22
2024-07-29,608.0371704101562,608.3499755859375,634.9500122070312,571.5499877929688,612.2000122070312,344950,2024-07-29
2024-08-05,583.1000366210938,583.4000244140625,601.5499877929688,546.3499755859375,595.2999877929688,283486,2024-08-05
2024-08-12,577.5528564453125,577.8499755859375,589.9500122070312,558.7999877929688,581.4000244140625,156949,2024-08-12
2024-08-19,583.6500244140625,583.6500244140625,612.0,576.0,582.0,162452,2024-08-19
2024-08-26,567.2000122070312,567.2000122070312,595.0,563.5,585.2000122070312,156484,2024-08-26
2024-09-02,565.6500244140625,565.6500244140625,634.4000244140625,558.1500244140625,582.0,892313,2024-09-02
2024-09-09,564.5999755859375,564.5999755859375,595.0999755859375,553.3499755859375,564.2000122070312,280634,2024-09-09
2024-09-16,170.85000610351562,170.85000610351562,639.7999877929688,170.85000610351562,564.6500244140625,1227347,2024-09-16
2024-09-23,132.25,132.25,162.3000030517578,132.25,162.3000030517578,80378,2024-09-23
2024-09-30,119.05000305175781,119.05000305175781,125.6500015258789,113.38999938964844,125.6500015258789,953676,2024-09-30
2024-10-07,102.51000213623047,102.51000213623047,113.41000366210938,96.19999694824219,112.1500015258789,1326461,2024-10-07
2024-10-14,97.91999816894531,97.91999816894531,104.5,95.5999984741211,104.5,197564,2024-10-14
2024-10-21,78.66000366210938,78.66000366210938,100.80000305175781,78.66000366210938,99.38999938964844,211934,2024-10-21
2024-10-28,90.79000091552734,90.79000091552734,90.79000091552734,70.9800033569336,75.87000274658203,342894,2024-10-28
2024-11-04,89.30999755859375,89.30999755859375,95.31999969482422,89.30999755859375,95.31999969482422,220616,2024-11-04
2024-11-11,82.3499984741211,82.3499984741211,89.30999755859375,82.3499984741211,87.5199966430664,40056,2024-11-11
2024-11-18,76.0,76.0,80.69999694824219,75.98999786376953,80.69999694824219,53849,2024-11-18
2024-11-25,83.9000015258789,83.9000015258789,83.9000015258789,77.5199966430664,77.5199966430664,25777,2024-11-25
2024-12-02,92.61000061035156,92.61000061035156,92.61000061035156,85.56999969482422,85.56999969482422,89307,2024-12-02
2024-12-09,80.02999877929688,80.02999877929688,97.23999786376953,78.41999816894531,97.23999786376953,542020,2024-12-09
2024-12-16,76.98999786376953,76.98999786376953,82.9000015258789,74.69999694824219,82.9000015258789,262688,2024-12-16
2024-12-23,76.12999725341797,76.12999725341797,79.9000015258789,75.80000305175781,78.0,83673,2024-12-23
2024-12-30,80.68000030517578,80.68000030517578,82.5,74.05000305175781,77.0,173728,2024-12-30
2025-01-06,71.19000244140625,71.19000244140625,80.5,70.23999786376953,79.0999984741211,162031,2025-01-06
2025-01-13,71.9000015258789,71.9000015258789,74.9800033569336,68.5,71.94999694824219,152304,2025-01-13
2025-01-20,70.38999938964844,70.38999938964844,73.3499984741211,69.0,71.9000015258789,81111,2025-01-20
2025-01-27,68.97000122070312,68.97000122070312,72.08999633789062,65.2300033569336,70.05000305175781,171426,2025-01-27
2025-02-03,68.79000091552734,68.79000091552734,72.4000015258789,68.0,71.94000244140625,601535,2025-02-03
2025-02-10,62.16999816894531,62.16999816894531,70.5999984741211,61.54999923706055,69.0,106455,2025-02-10
2025-02-17,60.97999954223633,60.97999954223633,64.94999694824219,58.0,64.94999694824219,106970,2025-02-17
2025-02-24,57.65999984741211,57.65999984741211,63.599998474121094,55.5,63.599998474121094,60584,2025-02-24
2025-03-03,62.2400016784668,62.2400016784668,62.2400016784668,54.0,60.5,271036,2025-03-03
2025-03-10,57.58000183105469,57.58000183105469,65.3499984741211,57.29999923706055,64.44999694824219,231377,2025-03-10
2025-03-17,59.529998779296875,59.529998779296875,61.0,55.25,59.900001525878906,129143,2025-03-17
2025-03-24,53.86000061035156,53.86000061035156,62.90999984741211,53.29999923706055,61.02000045776367,384210,2025-03-24
2025-03-31,71.04000091552734,71.04000091552734,74.80000305175781,53.86000061035156,53.86000061035156,975245,2025-03-31
2025-04-07,79.25,79.25,82.5,61.220001220703125,65.02999877929688,1193021,2025-04-07
2025-04-14,77.66000366210938,77.66000366210938,87.0999984741211,76.88999938964844,79.25,490438,2025-04-14
2025-04-21,71.94999694824219,71.94999694824219,79.0,71.31999969482422,75.0999984741211,171438,2025-04-21
2025-04-28,70.9000015258789,70.9000015258789,74.38999938964844,70.20999908447266,72.0,82190,2025-04-28
2025-05-05,68.16999816894531,68.16999816894531,72.0,61.79999923706055,71.0,134073,2025-05-05
2025-05-12,76.12000274658203,76.12000274658203,77.0,71.5,71.56999969482422,186811,2025-05-12
2025-05-19,72.91000366210938,72.91000366210938,77.5,71.55000305175781,76.48999786376953,104355,2025-05-19
2025-05-26,71.31999969482422,71.31999969482422,75.80000305175781,69.69999694824219,72.0,127481,2025-05-26
2025-06-02,67.05999755859375,67.05999755859375,72.0,66.55000305175781,71.31999969482422,143452,2025-06-02
2025-06-09,72.30000305175781,72.30000305175781,76.88999938964844,67.0,67.5,186129,2025-06-09
2025-06-16,70.12000274658203,70.12000274658203,74.0,67.55999755859375,72.3499984741211,119775,2025-06-16
2025-06-23,69.06999969482422,69.06999969482422,71.68000030517578,68.22000122070312,70.12000274658203,86918,2025-06-23
2025-06-30,72.11000061035156,72.11000061035156,72.11000061035156,66.9000015258789,70.0,136967,2025-06-30
2025-07-07,73.68000030517578,73.68000030517578,75.80000305175781,71.0999984741211,74.94999694824219,251053,2025-07-07
2025-07-14,71.4000015258789,71.4000015258789,74.22000122070312,70.3499984741211,73.68000030517578,36261,2025-07-14
