Date,Adj Close_ITDCEM.NS,Close_ITDCEM.NS,High_ITDCEM.NS,Low_ITDCEM.NS,Open_ITDCEM.NS,Volume_ITDCEM.NS,Date
2021-09-20,77.11576843261719,77.94999694824219,82.30000305175781,74.5,78.9000015258789,4025929,2021-09-20
2021-09-27,77.31362915039062,78.1500015258789,80.4000015258789,75.30000305175781,78.94999694824219,5924864,2021-09-27
2021-10-04,87.10768127441406,88.05000305175781,91.30000305175781,77.4000015258789,78.94999694824219,12578520,2021-10-04
2021-10-11,91.26272583007812,92.25,93.9000015258789,84.5,88.6500015258789,8423398,2021-10-11
2021-10-18,86.06890869140625,87.0,96.80000305175781,85.5,93.0999984741211,6639613,2021-10-18
2021-10-25,80.23206329345703,81.0999984741211,87.69999694824219,78.75,87.5999984741211,3760892,2021-10-25
2021-11-01,79.44062805175781,80.30000305175781,83.05000305175781,77.75,81.69999694824219,5008158,2021-11-01
2021-11-08,76.37379455566406,77.19999694824219,82.94999694824219,76.05000305175781,80.9000015258789,6542165,2021-11-08
2021-11-15,75.3844985961914,76.19999694824219,79.94999694824219,75.4000015258789,77.94999694824219,2296461,2021-11-15
2021-11-22,72.51553344726562,73.30000305175781,78.25,72.19999694824219,76.80000305175781,2167628,2021-11-22
2021-11-29,74.29627227783203,75.0999984741211,77.5999984741211,71.75,74.05000305175781,1776620,2021-11-29
2021-12-06,82.0127944946289,82.9000015258789,83.69999694824219,75.0999984741211,75.0999984741211,2760277,2021-12-06
2021-12-13,75.3844985961914,76.19999694824219,83.9000015258789,76.0,83.1500015258789,2597509,2021-12-13
2021-12-20,75.78021240234375,76.5999984741211,78.80000305175781,72.0,75.5999984741211,1404998,2021-12-20
2021-12-27,79.7374038696289,80.5999984741211,81.55000305175781,75.6500015258789,77.0,2353891,2021-12-27
2022-01-03,79.34169006347656,80.19999694824219,82.0,77.4000015258789,81.0,3575418,2022-01-03
2022-01-10,85.32694244384766,86.25,89.94999694824219,79.75,80.6500015258789,8837253,2022-01-10
2022-01-17,78.99543762207031,79.8499984741211,86.9000015258789,79.0,86.80000305175781,3411115,2022-01-17
2022-01-24,73.35643768310547,74.1500015258789,81.44999694824219,71.3499984741211,79.9000015258789,3960124,2022-01-24
2022-01-31,76.07701110839844,76.9000015258789,80.4000015258789,73.4000015258789,75.19999694824219,7053195,2022-01-31
2022-02-07,75.4339599609375,76.25,79.80000305175781,74.6500015258789,77.25,3179324,2022-02-07
2022-02-14,71.7735595703125,72.55000305175781,76.25,71.25,74.80000305175781,2039892,2022-02-14
2022-02-21,66.7776107788086,67.5,73.0999984741211,63.599998474121094,72.0,2555730,2022-02-21
2022-02-28,61.48486328125,62.150001525878906,67.75,61.20000076293945,66.9000015258789,2110537,2022-02-28
2022-03-07,62.27629852294922,62.95000076293945,64.94999694824219,59.5,61.0,3461805,2022-03-07
2022-03-14,67.02493286132812,67.75,69.0,60.54999923706055,63.20000076293945,4692769,2022-03-14
2022-03-21,65.19473266601562,65.9000015258789,69.5999984741211,64.5,67.80000305175781,3934797,2022-03-21
2022-03-28,66.38188934326172,67.0999984741211,67.5,62.79999923706055,66.5,3165761,2022-03-28
2022-04-04,68.65727233886719,69.4000015258789,71.5999984741211,67.25,68.05000305175781,2712408,2022-04-04
2022-04-11,68.21208953857422,68.94999694824219,71.25,67.9000015258789,68.94999694824219,1391544,2022-04-11
2022-04-18,69.84442901611328,70.5999984741211,74.9000015258789,66.0,68.0999984741211,4775000,2022-04-18
2022-04-25,67.4701156616211,68.19999694824219,72.5,67.1500015258789,69.94999694824219,2202886,2022-04-25
2022-05-02,60.149314880371094,60.79999923706055,68.4000015258789,60.099998474121094,67.19999694824219,1841064,2022-05-02
2022-05-09,56.9340934753418,57.54999923706055,61.70000076293945,55.599998474121094,60.29999923706055,1719685,2022-05-09
2022-05-16,60.347171783447266,61.0,61.5,57.20000076293945,57.849998474121094,1177054,2022-05-16
2022-05-23,58.269649505615234,58.900001525878906,65.5999984741211,57.599998474121094,61.54999923706055,2534291,2022-05-23
2022-05-30,60.44609832763672,61.099998474121094,62.95000076293945,58.599998474121094,59.45000076293945,1633297,2022-05-30
2022-06-06,67.420654296875,68.1500015258789,69.69999694824219,59.29999923706055,60.54999923706055,6654958,2022-06-06
2022-06-13,63.265602111816406,63.95000076293945,67.3499984741211,61.099998474121094,66.0999984741211,1641785,2022-06-13
2022-06-20,63.46345901489258,64.1500015258789,66.0,60.5,63.95000076293945,1364489,2022-06-20
2022-06-27,63.16667175292969,63.849998474121094,67.0,62.70000076293945,65.0,1580516,2022-06-27
2022-07-04,69.44869995117188,70.19999694824219,72.0,63.900001525878906,64.19999694824219,4417649,2022-07-04
2022-07-11,74.0489501953125,74.8499984741211,75.4000015258789,70.3499984741211,70.94999694824219,3334522,2022-07-11
2022-07-18,80.1825942993164,81.05000305175781,81.69999694824219,74.5,75.0,6178661,2022-07-18
2022-07-25,80.57831573486328,81.44999694824219,85.80000305175781,80.05000305175781,80.25,6744496,2022-07-25
2022-08-01,85.42587280273438,86.3499984741211,89.25,81.55000305175781,81.94999694824219,6482409,2022-08-01
2022-08-08,83.69459533691406,84.5999984741211,88.0,83.30000305175781,86.75,2700262,2022-08-08
2022-08-15,94.23062133789062,95.25,99.69999694824219,84.55000305175781,84.5999984741211,11938480,2022-08-15
2022-08-22,96.70387268066406,97.75,100.44999694824219,92.3499984741211,95.0,11313655,2022-08-22
2022-08-29,108.22918701171875,109.4000015258789,112.80000305175781,93.05000305175781,94.9000015258789,14293890,2022-08-29
2022-09-05,112.13690948486328,113.3499984741211,118.94999694824219,108.69999694824219,110.0,8261511,2022-09-05
2022-09-12,109.41635131835938,110.5999984741211,117.75,110.0999984741211,113.94999694824219,5031429,2022-09-12
2022-09-19,113.67208099365234,114.44999694824219,121.94999694824219,108.05000305175781,110.5999984741211,8098121,2022-09-19
